co_owners,keepers,league_id,owner_id,player_map,players,reserve,roster_id,starters,taxi,metadata_record,metadata_streak,settings_fpts,settings_fpts_against,settings_fpts_against_decimal,settings_fpts_decimal,settings_losses,settings_ppts,settings_ppts_decimal,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_allow_pn_scoring,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1689,metadata_p_nick_2382,metadata_p_nick_2410,metadata_p_nick_3161,metadata_p_nick_3286,metadata_p_nick_3321,metadata_p_nick_4040,metadata_p_nick_4663,metadata_p_nick_4973,metadata_p_nick_4984,metadata_p_nick_5857,metadata_p_nick_6156
,,650070203996131328,451807541647634432,,"['2307', '4046', '4082', '4147', '4602', '5248', '5859', '5985', '6074', '6126', '6136', '6806', '6824', '6895', '6918', '6960', '7537', '7538', '7547', '7565', '7588', '7606', '7720']","['4602', '5248', '6126', '6806', '6895']",1,"['4046', '7537', '7588', '5859', '7547', '5985', '6074', '6960', '7538']",['7565'],WLWLLLLWLLLLLL,6L,1500,1830,66,44,11,1770,88,0,0,786,8,3,,,,,,,,,,,,,,
,,650070203996131328,561715408029736960,,"['138', '3225', '3327', '4029', '4089', '4531', '4881', '5026', '5185', '5872', '5892', '5987', '6803', '6814', '6828', '6931', '6984', '7530', '7561', '7574', '96']",,2,"['96', '5892', '5987', '5872', '6803', '4089', '3225', '5185', '138']","['7530', '7574']",LWLLWWLLLLWWWW,4W,1846,1922,34,34,7,2148,40,0,0,907,5,7,,,,,,,,,,,,,,
,,650070203996131328,472136033526345728,,"['1166', '1387', '167', '184', '3297', '3969', '4036', '4219', '4273', '4951', '4972', '5022', '5038', '5089', '5844', '5927', '5955', '6148', '6151', '6794', '6798', '6804', '6955', '7045', '7088', '7090', '7528', '7539', '7593', '7794', '7891']","['3969', '4036', '4273', '4951', '5844', '6955', '7088', '7593']",3,"['167', '1387', '7528', '5927', '6794', '5022', '7090', '5955', '5038']","['6804', '7045', '7539', '7794']",WLLWWWWWLWLWWW,3W,1936,1700,80,12,4,2239,36,0,0,909,2,10,,,,,,,,,,,,,,
,,650070203996131328,594730254984077312,,"['1339', '1848', '2133', '2216', '3294', '3634', '4199', '4950', '5086', '5549', '6768', '6783', '6790', '6797', '6805', '6826', '6845', '6853', '6943', '6945', '7533', '7569']","['1848', '6805']",4,"['6797', '4199', '6790', '2133', '5086', '1339', '6853', '4950', '3294']","['6845', '7533', '7569']",LLWLWLWLWWWLLL,3L,1935,1847,48,58,8,2298,74,0,0,1000,1,6,,,,,,,,,,,,,,
,,650070203996131328,561747196680642560,,"['1067', '1837', '2078', '2306', '3164', '3209', '3423', '421', '4217', '4981', '4985', '4988', '5122', '5917', '5937', '5967', '6011', '6039', '6989', '7083', '7525', '7572', '7583', '7591', '7594', '7601']","['2306', '4981']",5,"['421', '4988', '3164', '7525', '5937', '4217', '4985', '2078', '7083']","['7572', '7601']",LWWLLLLLWWLWWW,3W,1738,1809,18,24,7,2120,30,0,0,934,12,7,,,,,,,,,,,,,,
,,650070203996131328,558483388996636672,,"['2197', '2325', '3214', '3803', '4034', '4319', '4949', '5131', '536', '538', '7523', '7527', '7554', '7571', '7587', '7596']","['4034', '7596']",6,"['7523', '5131', '0', '538', '7571', '0', '536', '3214', '7527']","['7554', '7587']",LLWLLWLLLWLLLL,4L,1403,1765,8,48,11,1697,14,0,0,918,3,3,,,,,,,,,,,,,,
,,650070203996131328,548317142968336384,,"['2257', '2374', '2505', '3199', '3242', '4018', '4098', '4137', '4157', '4741', '6801', '6819', '6885', '6886', '6904', '7543', '7553', '7581', '7585']","['2257', '3199', '3242', '4157', '4741', '7543']",7,"['6904', '0', '4018', '6819', '6801', '7553', '0', '2374', '0']","['6885', '7581', '7585']",WWLWLLWWWWWWWL,1L,1862,1670,42,6,4,2173,16,0,0,951,9,10,,,,,,,,,,,,,,
,,650070203996131328,605920336407511040,,"['1144', '1408', '1466', '1479', '1833', '2152', '2319', '2378', '2549', '3664', '367', '4068', '4335', '5347', '5848', '5849', '5850', '6271', '6659', '6789', '7535', '7567', '7608', '7612', '943', '954']","['3664', '4335']",8,"['5849', '5347', '5850', '1479', '5848', '1466', '2319', '1144', '4068']","['7535', '7608', '7612']",WWWLWLLLWLWWWL,1L,1720,1739,62,78,6,1970,28,0,0,943,10,8,off,,,,,,,,,,,,,
,,650070203996131328,595331324689047552,,"['1234', '1476', '1535', '1689', '1825', '2028', '2391', '2749', '3157', '3163', '4035', '4037', '4144', '4149', '4718', '4983', '5001', '515', '5284', '5916', '5947', '6786', '6870', '6938', '7066', '7526', '7568', '7828', '7944', '956']","['1689', '2749', '3157', '4037', '5916']",9,"['1234', '1535', '4035', '4983', '6786', '515', '7526', '7066', '2028']","['7568', '7828', '7944']",WWWWWWWWWLLLWW,2W,1837,1630,58,20,3,2220,26,0,0,934,7,11,,,,,,,,,,,,,,
,,650070203996131328,595421624581287936,,"['1352', '2431', '2449', '2476', '3200', '4131', '4571', '4993', '5045', '5110', '5536', '5845', '5854', '5870', '5890', '6770', '6813', '6820', '6849', '6869', '7607', '7610', '7611', '7670', '928']","['1352', '3200', '4571', '5870', '928']",10,"['6770', '7607', '6813', '5110', '2449', '4993', '4131', '5890', '7610']","['6849', '7670']",LLLWLWWWWLWWLL,2L,1718,1596,40,52,7,2058,50,0,0,960,11,7,,,,,,,,,,,,,,
,,650070203996131328,595464158774878208,,"['1049', '1379', '1426', '2168', '24', '2460', '3198', '3306', '4039', '4381', '4454', '4455', '4892', '4962', '5000', '5012', '5121', '5846', '5906', '6149', '6996', '7564', '7589', '7600', '7605', '7694']","['1426', '3198']",11,"['4381', '4962', '2168', '7564', '5846', '5012', '5000', '4039', '1049']","['7589', '7600', '7605']",LWLWWLWLLLLLLW,1W,1909,1935,14,42,9,2215,48,0,0,927,4,5,off,on,,,,,,,,,,,,
,,650070203996131328,607649560164122624,,"['2320', '2359', '2382', '2410', '3161', '3286', '3321', '4040', '4054', '4150', '4663', '4973', '4984', '5052', '5113', '5857', '5880', '6012', '6156', '6973', '7529', '7562', '7563', '7599']","['4040', '5880', '6012']",12,"['4984', '4663', '2320', '2410', '3321', '5857', '2382', '5052', '3161']","['7529', '7562', '7563', '7599']",WLLWLWLWLWWLLW,1W,1603,1563,96,48,7,1720,88,0,0,958,6,7,,,💩,🐥,🥃,💦,👘,🆓,🍬,⚡️,🌾,🚀,🦅,👃🏼
