status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4351,adds_2711,adds_7066,drops_2238,adds_5127,metadata,settings,adds_4147,adds_4455,settings_expires_at,adds_4017,adds_4866,drops_4017,drops_4866,adds_5123,adds_1535,adds_6973,adds_2168,adds_4150,adds,drops_7789,adds_4319,adds_5131,drops_7597,adds_7944,drops_7729,adds_956,drops_7541,adds_6984,adds_3327,adds_7098,drops_6136,adds_3634,drops_7583,drops_2331,adds_2257,adds_7771,adds_2161,adds_2583,drops_559,adds_7583,adds_3209,adds_5122,adds_6989,adds_4972,adds_2588,adds_6823,adds_928,adds_7088,adds_7828,adds_5947,settings_priority,adds_4435,adds_4985,adds_7541,adds_7713,adds_7604,adds_4055,adds_7064,adds_1386,adds_6824,adds_6039,adds_1833,adds_6271,adds_6918,adds_7537,adds_4089,adds_1339,adds_4152,adds_2315,adds_1848,adds_5549,adds_3202,adds_1817,adds_6853,adds_2331,drops_1339,settings_is_counter,adds_4131,adds_6804,drops_4131,drops_6804,drops_6956,adds_5880,drops_5880,adds_7789,adds_7530,adds_7597,adds_7533,adds_6798,drops_6798,drops_6909,adds_4098,adds_6136,drops_4098,adds_830,drops_830,adds_1689,adds_2320,adds_5052,drops_1689,drops_2320,drops_5052,adds_6895,adds_2238,adds_3664,adds_367,adds_6943,adds_6826,adds_5086,drops_5086,adds_827,adds_5347,adds_5026,adds_4949,adds_3200,adds_4602,adds_4993,adds_2251,adds_6149,adds_138,adds_6849,drops_138,drops_6849,adds_559,adds_515,adds_5170,adds_2325,adds_1144,adds_829,adds_1476,adds_4149,adds_2749,adds_1110,adds_5854,adds_2319,adds_2378,adds_538,adds_4950,adds_5110,adds_3969,adds_2306,adds_947,adds_2078,adds_4137,adds_4943,adds_1408,adds_333,adds_6148,adds_7090,drops_6148,drops_7090,drops_947,adds_4018,adds_5000,adds_2197,adds_4068,adds_5848,drops_4068,drops_5848,adds_2431,adds_5870,adds_167,drops_2319,adds_1479,adds_4046,adds_5849,drops_1479,drops_4046,drops_5849,adds_3423,adds_1067,adds_5872,adds_5980,adds_4036,adds_6955,adds_2374,adds_4741,adds_3242,adds_5248,adds_2307,drops_6007,drops_3423,drops_1067,drops_5947,drops_5915,drops_2251,drops_4455,drops_5131,drops_5000,drops_1029,drops_2374,drops_5001,drops_6826,drops_3242,drops_5122,drops_7064,drops_4036,drops_6955,drops_1911,drops_2822,drops_5026,drops_6088,drops_4033,drops_1592,drops_4150,drops_956,drops_5248,drops_6178,drops_178,drops_6943,drops_5872,drops_367,drops_4950,drops_5980,drops_1848,drops_6919,drops_2583,drops_1387,drops_1817,drops_6059,drops_5110,drops_5007,drops_1144,drops_515,drops_2749,drops_5284,drops_4149,drops_3664,drops_3209,drops_333,drops_4464,drops_1737,drops_6847,drops_928,drops_147,drops_2168,drops_3328,drops_2325,drops_4602,drops_2118,drops_2588,drops_4187,drops_4622,drops_5906,drops_6918,drops_5347,drops_1386,drops_3976,drops_2307,drops_4741,drops_1408,drops_6063,drops_6853,drops_4994,drops_4152,drops_5032,drops_5013,drops_2257,drops_344,drops_3200,drops_167,drops_4089,drops_1110,drops_642,drops_5549,drops_1476,adds_2309,adds_4082,adds_6786,drops_2309,drops_4082,drops_6786,adds_2133,adds_4040,adds_5857,drops_2133,drops_4040,drops_5857,drops_6996,drops_5885,drops_490,drops_2229,drops_2197,drops_6908,drops_6068,drops_4319,drops_3895,drops_4175,drops_289,drops_4127,drops_2673,drops_6744,drops_4171,drops_58,adds_5892,drops_5892,drops_4055,drops_3342,drops_4454,drops_6037,drops_4335,adds_1992,adds_4157,drops_1992,drops_4157,drops_2146,drops_1793,drops_5127,drops_4137,drops_6001,drops_331,drops_1500,adds_4199,adds_6770,drops_4199,drops_6770
failed,waiver,1631688697027,1,[],595331324689047552,743759938484039680,,[9],[9],1631718442977,[],This player was claimed by another owner.,5.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1631684235435,1,[],595331324689047552,743741225210867712,,[9],[9],1631718442977,[],This player was claimed by another owner.,3.0,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1631665900426,1,[],451807541647634432,743664322609311744,,[1],[1],1631718442977,[],This player was claimed by another owner.,1.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1631665879515,1,[],451807541647634432,743664234902237184,,[1],[1],1631718442977,[],Your waiver claim was processed successfully!,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1631637006514,1,[],548317142968336384,743543132758740992,,[7],[7],1631718442977,[],Your waiver claim was processed successfully!,4.0,7.0,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1631636916684,1,[],548317142968336384,743542755984363520,,[7],[7],1631718442977,[],Your waiver claim was processed successfully!,9.0,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1631636844461,1,[],548317142968336384,743542453059092480,,[7],[7],1631718442977,[],Your waiver claim was processed successfully!,0.0,13.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1631614991528,1,[],607649560164122624,743450795210571776,,[12],[12],1631718442977,[],This player was claimed by another owner.,7.0,3.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1631561689895,1,[],605920336407511040,743227231962300416,,[8],[8],1631718442977,[],This player was claimed by another owner.,8.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1631465099458,1,[],451807541647634432,742822102306267136,,[1],[1],1631465099458,[],,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
