status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_1387,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_3445,drops_4152,adds_4111,adds_333,adds_4335,drops_333,drops_4335,drops_1373,adds_4137,adds_6130,adds_7565,adds_7585,drops_4137,drops_6130,drops_7565,drops_7585,drops_4187,drops_6878,drops_5026,drops_1386,drops_4033,drops,adds_4187,drops_5131,adds_4983,adds_515,adds_5916,adds_7571,drops_4983,drops_515,drops_5916,drops_7571,adds_3257
complete,free_agent,,1637129322315,,10,[],548317142968336384,766579574891991040,,[7],[7],1637129322315,[],7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,,1637127385849,,10,[],561715408029736960,766571452764909568,,[2],[2],1637165225603,[],,Your waiver claim was processed successfully!,0.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,,1637127321655,,10,[],561715408029736960,766571183515795456,,[2],[2],1637165225603,[],,This player was claimed by another owner.,1.0,2.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,,1637125734186,,10,[],548317142968336384,766564525188243456,,"[7, 8]","[7, 8]",1637156525405,[],,,,,,,,,7.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1637125497821,,10,[],548317142968336384,766563533801500672,,[7],[7],1637125497821,[],,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,,1637125234783,,10,"[{'round': 3, 'season': '2022', 'league_id': None, 'roster_id': 1, 'owner_id': 7, 'previous_owner_id': 1}, {'round': 2, 'season': '2022', 'league_id': None, 'roster_id': 7, 'owner_id': 1, 'previous_owner_id': 7}]",548317142968336384,766562430540222464,,"[1, 7]","[1, 7]",1637125395118,[],,,,,,,,,,,,,,7.0,7.0,1.0,7.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,
complete,free_agent,,1637052737546,,10,[],558483388996636672,766258355089084416,,[6],[6],1637052737546,[],,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
complete,free_agent,,1637041668639,,10,[],472136033526345728,766211928728133632,,[3],[3],1637041668639,[],,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
complete,free_agent,,1636867274682,,10,[],595331324689047552,765480467456761856,,[9],[9],1636867274682,[],,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
complete,free_agent,,1636866592165,,10,[],595331324689047552,765477604772945920,,[9],[9],1636866592165,[],,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
complete,free_agent,,1636862403270,,10,[],595331324689047552,765460035273859072,,[9],[9],1636862403270,[],,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
complete,free_agent,,1636862308627,,10,[],558483388996636672,765459638312402944,,[6],[6],1636862308627,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
complete,free_agent,,1636862276726,,10,[],558483388996636672,765459504509906944,,[6],[6],1636862276726,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
complete,trade,,1636842990657,,10,[],558483388996636672,765378612873596928,,"[6, 9]","[6, 9]",1636843537821,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,6.0,6.0,6.0,6.0,9.0,
complete,waiver,,1636551678982,,10,[],595421624581287936,764156763149852672,,[10],[10],1636560441421,[],,Your waiver claim was processed successfully!,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
