status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_5854,drops,metadata_notes,settings_seq,settings_waiver_bid,adds_5026,adds_5113,adds_6012,drops_7609,drops_7098,drops_4531,adds_4150,drops_1737,settings_is_counter,adds_1144,adds_2391,adds_5131,drops_1144,drops_2391,drops_5131,drops_1110,adds_4111,drops_6753
complete,free_agent,,1637696711318,,11,[],548317142968336384,768959376856936448,,[7],[7],1637696711318,[],7.0,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,,1637673242041,,11,[],561715408029736960,768860939574505472,,[2],[2],1637770008679,[],,,Your waiver claim was processed successfully!,0.0,5.0,2.0,,,,,,,,,,,,,,,,,
complete,free_agent,,1637505980181,,11,[],607649560164122624,768159392485998592,,[12],[12],1637505980181,[],,,,,,,12.0,,,,,,,,,,,,,,,,
complete,free_agent,,1637505968134,,11,[],607649560164122624,768159341957287936,,[12],[12],1637505968134,[],,,,,,,,12.0,,,,,,,,,,,,,,,
complete,free_agent,,1637483805761,,11,[],595331324689047552,768066386227523584,,[9],[9],1637483805761,[],,,,,,,,,9.0,,,,,,,,,,,,,,
complete,free_agent,,1637467428345,,11,[],561715408029736960,767997694366076928,,[2],[2],1637467428345,[],,,,,,,,,,2.0,,,,,,,,,,,,,
complete,free_agent,,1637467340876,,11,[],561715408029736960,767997327494479872,,[2],[2],1637467340876,[],,,,,,,,,,,2.0,,,,,,,,,,,,
complete,free_agent,,1637273928232,,11,[],607649560164122624,767186096068128768,,[12],[12],1637273928232,[],,,,,,,,,,,,12.0,,,,,,,,,,,
complete,free_agent,,1637265082975,,11,[],605920336407511040,767148996367151104,,[8],[8],1637265082975,[],,,,,,,,,,,,,8.0,,,,,,,,,,
complete,trade,,1637243084301,,11,"[{'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 8, 'owner_id': 6, 'previous_owner_id': 8}]",605920336407511040,767056727244914688,,"[6, 8]","[6, 8]",1637247682701,[],,,,,,,,,,,,,,1.0,8.0,6.0,8.0,6.0,8.0,6.0,,,
complete,waiver,,1637207474783,,11,[],558483388996636672,766907370101182464,,[6],[6],1637222829719,[],,,Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,6.0,,,,,,
complete,free_agent,,1637207323181,,11,[],558483388996636672,766906734236258304,,[6],[6],1637207323181,[],,,,,,,,,,,,,,,,,,,,,6.0,,
complete,waiver,,1637165201207,,11,[],548317142968336384,766730061872222208,,[7],[7],1637165225603,[],,,Your waiver claim was processed successfully!,0.0,5.0,,,,,,,,,,,,,,,,,7.0,
complete,free_agent,,1637156710149,,11,[],605920336407511040,766694447793713152,,[8],[8],1637156710149,[],,,,,,,,,,,,,,,,,,,,,,,8.0
