status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_7066,drops,adds_5536,adds_4455,metadata_notes,settings_seq,settings_waiver_bid,adds_3225,drops_6843,drops_3225,drops_3445,drops_4198,adds_4454,drops_6927
complete,free_agent,,1638120559427,,12,[],548317142968336384,770737124675977216,,[7],[7],1638120559427,[],7.0,,,,,,,,,,,,,
complete,free_agent,,1638109654642,,12,[],595421624581287936,770691386692530176,,[10],[10],1638109654642,[],,,10.0,,,,,,,,,,,
complete,free_agent,,1637875639437,,12,[],595464158774878208,769709855782322176,,[11],[11],1637875639437,[],,,,11.0,,,,,,,,,,
complete,waiver,,1637864925242,,12,[],561715408029736960,769664917191491584,,[2],[2],1638034025169,[],,,,,Your waiver claim was processed successfully!,0.0,2.0,2.0,,,,,,
complete,free_agent,,1637864825666,,12,[],561715408029736960,769664499539410944,,[2],[2],1637864825666,[],,,,,,,,,2.0,,,,,
complete,free_agent,,1637864820546,,12,[],561715408029736960,769664478064427008,,[2],[2],1637864820546,[],,,,,,,,,,2.0,,,,
complete,free_agent,,1637864814020,,12,[],561715408029736960,769664450692595712,,[2],[2],1637864814020,[],,,,,,,,,,,2.0,,,
complete,free_agent,,1637864806155,,12,[],561715408029736960,769664417704312832,,[2],[2],1637864806155,[],,,,,,,,,,,,2.0,,
complete,waiver,,1637797108771,,12,[],595464158774878208,769380474295570432,,[11],[11],1637827613078,[],,,,,Your waiver claim was processed successfully!,0.0,0.0,,,,,,11.0,
complete,free_agent,,1637777138701,,12,[],472136033526345728,769296713751060480,,[3],[3],1637777138701,[],,,,,,,,,,,,,,3.0
