status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6824,adds_830,metadata,settings,adds_4323,adds,drops_3271,adds_7891,adds_829,adds_3803,drops_4351,drops_830,adds_5220,adds_3594,adds_5131,drops_5133,adds_7496,adds_2391
complete,waiver,1639543630850,14,[],451807541647634432,776705918837633024,,[1],[1],1639584416570,[],Your waiver claim was processed successfully!,0.0,4.0,1.0,,,,,,,,,,,,,,,,,
complete,waiver,1639532299989,14,[],548317142968336384,776658393761972224,,[7],[7],1639584416570,[],Your waiver claim was processed successfully!,1.0,4.0,,7.0,,,,,,,,,,,,,,,,
complete,free_agent,1639415121197,14,[],558483388996636672,776166910286045184,,[6],[6],1639415121197,[],,,,,,,,6.0,,,,,,,,,,,,,
complete,free_agent,1639415076887,14,[],558483388996636672,776166724436434944,,[6],[6],1639415076887,[],,,,,,,,,,6.0,,,,,,,,,,,
complete,free_agent,1639342315495,14,[],472136033526345728,775861541038952448,,[3],[3],1639342315495,[],,,,,,,,,,,3.0,,,,,,,,,,
complete,free_agent,1639325981438,14,[],558483388996636672,775793031038455808,,[6],[6],1639325981438,[],,,,,,,,,,,,6.0,,,,,,,,,
complete,free_agent,1639325934299,14,[],558483388996636672,775792833323175936,,[6],[6],1639325934299,[],,,,,,,,,,,,,6.0,,,,,,,,
complete,free_agent,1639325029982,14,[],451807541647634432,775789040342597632,,[1],[1],1639325029982,[],,,,,,,,,,,,,,1.0,,,,,,,
complete,free_agent,1639325021633,14,[],451807541647634432,775789005324402688,,[1],[1],1639325021633,[],,,,,,,,,,,,,,,1.0,,,,,,
complete,free_agent,1639220445764,14,[],594730254984077312,775350382338682880,,[4],[4],1639220445764,[],,,,,,,,,,,,,,,,4.0,,,,,
complete,free_agent,1639097857395,14,[],558483388996636672,774836209452400640,,[6],[6],1639097857395,[],,,,,,,,,,,,,,,,,6.0,,,,
complete,free_agent,1639097820931,14,[],558483388996636672,774836056511238144,,[6],[6],1639097820931,[],,,,,,,,,,,,,,,,,,6.0,,,
complete,free_agent,1639086947005,14,[],451807541647634432,774790447959752704,,[1],[1],1639086947005,[],,,,,,,,,,,,,,,,,,,1.0,,
complete,waiver,1639008308339,14,[],548317142968336384,774460613488431104,,[7],[7],1639037231633,[],Your waiver claim was processed successfully!,1.0,2.0,,,,,,,,,,,,,,,,,7.0,
complete,waiver,1639002503663,14,[],595331324689047552,774436266912686080,,[9],[9],1639037231633,[],Your waiver claim was processed successfully!,0.0,5.0,,,,,,,,,,,,,,,,,,9.0
