status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_4017,drops_829,drops_3594,drops_4323,drops_333,drops_830,drops_1034,drops_4866,drops_1992,drops_5170,drops_7496,drops_6130,drops_4111,drops_6694,drops_827,drops_2711,drops,adds_1387,drops_4943,drops_1817,drops_4066,drops_3202,drops_5220,drops_7540,drops_2309,drops_5980,drops_7595,drops_2251,drops_947,adds_4718,drops_260,adds_7083,drops_4435
complete,free_agent,,1641146330980,,17,[],558483388996636672,783428130403815424,,[6],[6],1641146330980,[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145739185,,17,[],558483388996636672,783425648235757568,,[6],[6],1641145739185,[],,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145724351,,17,[],558483388996636672,783425586017300480,,[6],[6],1641145724351,[],,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145715047,,17,[],558483388996636672,783425546993639424,,[6],[6],1641145715047,[],,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145139687,,17,[],548317142968336384,783423133758967808,,[7],[7],1641145139687,[],,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145010228,,17,[],548317142968336384,783422590768336896,,[7],[7],1641145010228,[],,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641145006294,,17,[],548317142968336384,783422574267961344,,[7],[7],1641145006294,[],,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144958779,,17,[],548317142968336384,783422374975602688,,[7],[7],1641144958779,[],,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144944028,,17,[],548317142968336384,783422313105379328,,[7],[7],1641144944028,[],,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144912693,,17,[],548317142968336384,783422181677125632,,[7],[7],1641144912693,[],,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144900711,,17,[],548317142968336384,783422131420917760,,[7],[7],1641144900711,[],,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144874137,,17,[],548317142968336384,783422019961593856,,[7],[7],1641144874137,[],,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144868707,,17,[],548317142968336384,783421997186379776,,[7],[7],1641144868707,[],,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144861977,,17,[],548317142968336384,783421968958558208,,[7],[7],1641144861977,[],,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144857045,,17,[],548317142968336384,783421948272275456,,[7],[7],1641144857045,[],,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
complete,free_agent,,1641144852221,,17,[],548317142968336384,783421928039022592,,[7],[7],1641144852221,[],,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
complete,free_agent,,1641143896465,,17,[],472136033526345728,783417919307718656,,[3],[3],1641143896465,[],,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
complete,free_agent,,1641139698428,,17,[],451807541647634432,783400311464255488,,[1],[1],1641139698428,[],,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
complete,free_agent,,1641139128195,,17,[],594730254984077312,783397919733702656,,[4],[4],1641139128195,[],,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
