status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5046,drops_7771,drops,adds_5133,adds_1379,adds_7694,metadata,settings,adds_4219,adds_5121,adds_5906,adds_4033,drops_4055,adds_6108,adds_7609,adds_5284,adds_3257
complete,waiver,1632898008706,3,[],548317142968336384,748832159296507904,[7],[7],1632928006820,[],Your waiver claim was processed successfully!,1.0,4.0,7.0,7.0,,,,,,,,,,,,,,,
complete,waiver,1632887914340,3,[],451807541647634432,748789820456812544,[1],[1],1632928006820,[],Your waiver claim was processed successfully!,2.0,3.0,,,,1.0,,,,,,,,,,,,,
failed,waiver,1632875295097,3,[],594730254984077312,748736891515453440,[4],[4],1632928006820,[],This player was claimed by another owner.,3.0,3.0,,,,4.0,,,,,,,,,,,,,
complete,waiver,1632875065388,3,[],595464158774878208,748735928046071808,[11],[11],1632928006820,[],Your waiver claim was processed successfully!,0.0,5.0,,,,,11.0,,,,,,,,,,,,
complete,waiver,1632875012362,3,[],595464158774878208,748735705638965248,[11],[11],1632928006820,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,11.0,,,,,,,,,,,
complete,free_agent,1632670942254,3,[],451807541647634432,747879773568860160,[1],[1],1632670942254,[],,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,1632622365872,3,[],595464158774878208,747676029455360000,[11],[11],1632622365872,[],,,,,,,,,,,,,11.0,,,,,,,
complete,free_agent,1632444545342,3,[],595464158774878208,746930196095328256,[11],[11],1632444545342,[],,,,,,,,,,,,,,11.0,,,,,,
complete,free_agent,1632381973285,3,[],595331324689047552,746667749861904384,[9],[9],1632381973285,[],,,,,,,,,,,,,,,9.0,9.0,,,,
complete,free_agent,1632381377655,3,[],595331324689047552,746665251612827648,[9],[9],1632381377655,[],,,,,,,,,,,,,,,,,9.0,,,
complete,free_agent,1632381353090,3,[],595331324689047552,746665148579721216,[9],[9],1632381353090,[],,,,,,,,,,,,,,,,,,9.0,,
complete,free_agent,1632380949453,3,[],595331324689047552,746663455603486720,[9],[9],1632380949453,[],,,,,,,,,,,,,,,,,,,9.0,
complete,waiver,1632337378550,3,[],548317142968336384,746480705990713344,[7],[7],1632380842747,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,,,,,,,,7.0
failed,waiver,1632323968924,3,[],605920336407511040,746424461942792192,[8],[8],1632380842747,[],This player was claimed by another owner.,1.0,2.0,,,,,,,,,,,,,,,,,8.0
