status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_829,drops_2583,adds_2152,drops_2152,drops_3594,drops,metadata_notes,settings_seq,settings_waiver_bid,adds_6951,adds_4219,adds_5022,drops_4219,drops_5022,drops_6137,adds_6137,drops_3257,adds_2549,adds_3306,drops_2588,adds_4335,adds_3297,adds_1387,drops_2161,adds_6753,adds_184,adds_5089
complete,free_agent,,1636524008797,,9,[],558483388996636672,764040705982267392,,[6],[6],1636524008797,[],6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1636523828631,,9,[],605920336407511040,764039950311301120,,[8],[8],1636523828631,[],,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,,1636517692420,,9,"[{'round': 2, 'season': '2024', 'league_id': None, 'roster_id': 8, 'owner_id': 6, 'previous_owner_id': 8}]",558483388996636672,764014213176881152,,"[6, 8]","[6, 8]",1636523767150,[],,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1636516856381,,9,[],558483388996636672,764010706575204352,,[6],[6],1636516856381,[],,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,,1636503753565,,9,[],595464158774878208,763955749381623808,,[11],[11],1636560441421,[],,,,,,,Your waiver claim was processed successfully!,0.0,13.0,11.0,,,,,,,,,,,,,,,,,
complete,trade,,1636214816301,,9,"[{'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 3, 'owner_id': 1, 'previous_owner_id': 3}]",472136033526345728,762743858659520512,,"[1, 3]","[1, 3]",1636215538391,[],,,,,,,,,,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
complete,free_agent,,1636211965395,,9,[],472136033526345728,762731901093036032,,[3],[3],1636211965395,[],,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
complete,free_agent,,1636210980772,,9,[],472136033526345728,762727771284865024,,[3],[3],1636210980772,[],,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
complete,free_agent,,1636157499282,,9,[],548317142968336384,762503453657387008,,[7],[7],1636157499282,[],,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
complete,free_agent,,1636139280884,,9,[],605920336407511040,762427040157818880,,[8],[8],1636139280884,[],,,,,,,,,,,,,,,,,,8.0,,,,,,,,,
complete,free_agent,,1636139193684,,9,[],595464158774878208,762426674414501888,,[11],[11],1636139193684,[],,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
complete,free_agent,,1636064235022,,9,[],472136033526345728,762112274998636544,,[3],[3],1636064235022,[],,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
complete,free_agent,,1636040868525,,9,[],548317142968336384,762014268806791168,,[7],[7],1636040868525,[],,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
complete,waiver,,1635956365234,,9,[],472136033526345728,761659836315328512,,[3],[3],1636009626392,[],,,,,,,Your waiver claim was processed successfully!,0.0,2.0,,,,,,,,,,,,,3.0,,,,,
complete,waiver,,1635924193411,,9,[],548317142968336384,761524897909506048,,[7],[7],1635952022736,[],,,,,,,Your waiver claim was processed successfully!,5.0,4.0,,,,,,,,,,,,,,7.0,7.0,,,
failed,waiver,,1635924173809,,9,[],548317142968336384,761524815692754944,,[7],[7],1635952022736,[],,,,,,,This player was claimed by another owner.,10.0,2.0,,,,,,,,,,,,,,,7.0,7.0,,
failed,waiver,,1635924160119,,9,[],548317142968336384,761524758272663552,,[7],[7],1635952022736,[],,,,,,,This player was claimed by another owner.,4.0,5.0,,,,,,,,,,,,,,,7.0,,7.0,
failed,waiver,,1635924098315,,9,[],548317142968336384,761524499047927808,,[7],[7],1635952022736,[],,,,,,,This player was claimed by another owner.,3.0,6.0,,,,,,,,7.0,,,,,,,,,,7.0
