co_owners,keepers,league_id,owner_id,player_map,players,reserve,roster_id,starters,taxi,metadata_record,metadata_streak,settings_fpts,settings_fpts_against,settings_fpts_against_decimal,settings_fpts_decimal,settings_losses,settings_ppts,settings_ppts_decimal,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_p_nick_1166,metadata_p_nick_1535,metadata_p_nick_2374,metadata_p_nick_2399,metadata_p_nick_2505,metadata_p_nick_3199,metadata_p_nick_3200,metadata_p_nick_4018,metadata_p_nick_4137,metadata_p_nick_4663,metadata_p_nick_4892,metadata_p_nick_6151,metadata_p_nick_6801,metadata_p_nick_6819,metadata_p_nick_6843,metadata_p_nick_6904,metadata_p_nick_6945,metadata_p_nick_7090,metadata_p_nick_7585,metadata_p_nick_8112,metadata_p_nick_8131,metadata_p_nick_8132,metadata_p_nick_8147,metadata_p_nick_8148,metadata_p_nick_8154,metadata_p_nick_8176,metadata_p_nick_8223,metadata_p_nick_830,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1689,metadata_p_nick_2382,metadata_p_nick_2410,metadata_p_nick_3161,metadata_p_nick_3286,metadata_p_nick_3321,metadata_p_nick_4040,metadata_p_nick_4973,metadata_p_nick_4984,metadata_p_nick_5857,metadata_p_nick_6156
,,806801792825397248,451807541647634432,,"['1049', '1352', '2161', '2307', '3294', '4602', '4866', '5001', '5859', '6806', '7547', '7588', '7606', '7611', '8134', '8139', '8144', '8146', '8153', '8228']","['1049', '2307', '7588']",1,"['3294', '4866', '7611', '5859', '8146', '5001', '2161', '7547', '6806']","['8134', '8139', '8153', '8228']",WLWWLLLWLWLLWL,1L,1718,1621,46,80,8,2045,4,0,0,998,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,561715408029736960,,"['1479', '3225', '4029', '4034', '4089', '4881', '5185', '5872', '5890', '5892', '5987', '6803', '6814', '6828', '6886', '6931', '7002', '7210', '7527', '7561', '7574', '8174', '8208']",['7561'],2,"['7527', '4029', '4034', '5185', '1479', '4089', '6803', '5892', '6828']","['7574', '8174', '8208']",LWWWLWLWLLWLWL,1L,1654,1778,84,98,7,1928,48,0,0,941,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,472136033526345728,,"['1034', '167', '4036', '4098', '4951', '5549', '5927', '5947', '6151', '6783', '6804', '6819', '6847', '6955', '7528', '7585', '7670', '7794', '8121', '8137', '8138', '8159', '8160', '8162', '8189', '8210']",['5549'],3,"['167', '7528', '6151', '8137', '7670', '8210', '4098', '6783', '5927']","['8159', '8162', '8189']",WLLLLLLWWLLWLW,1W,1529,1712,28,52,9,1803,58,0,0,968,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,594730254984077312,,"['1387', '2133', '4046', '4066', '4147', '4199', '4455', '4943', '5086', '6786', '6790', '6797', '6805', '7066', '7533', '7543', '7553', '7569', '8112', '8168']","['6805', '7553']",4,"['4046', '7543', '6790', '2133', '6786', '4066', '4199', '8112', '6797']","['7533', '7569', '8168']",WWWWWLLWWWWWWL,1L,1887,1632,6,48,3,2130,14,0,0,954,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,561747196680642560,,"['1067', '1476', '1837', '2078', '2197', '2306', '2309', '3423', '421', '4217', '4973', '4981', '4988', '5122', '5937', '6149', '6694', '7523', '7525', '7572', '7591', '7594', '7601', '8118', '8151', '8171', '8230']","['421', '4981', '7601']",5,"['7523', '4988', '8151', '2309', '7525', '4217', '5937', '1476', '7591']","['7572', '8118', '8171', '8230']",LWWLLWWLLWWLLW,1W,1647,1746,74,58,7,1958,40,0,0,863,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,558483388996636672,,"['1817', '3214', '3269', '3271', '3976', '4017', '4033', '4080', '5137', '5917', '5955', '5967', '5980', '6126', '6290', '6845', '7045', '7554', '7571', '7587', '7596', '8076', '8136', '8155']","['5917', '6126', '7571', '8155']",6,"['4017', '5967', '8136', '4080', '5137', '3271', '7596', '3214', '3269']","['7554', '7587']",LLLLLLLLLLLLLW,1W,1160,1721,56,32,13,1431,42,0,0,865,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,548317142968336384,,"['1166', '2374', '2711', '3200', '4018', '4137', '4663', '4892', '5022', '6011', '6156', '6794', '6801', '6826', '6904', '6945', '7090', '7565', '8122', '8131', '8132', '8135', '8147', '8148', '8154', '8176', '8223', '8408']","['3200', '7090', '8147']",7,"['6011', '8154', '4137', '6794', '6801', '5022', '4018', '4663', '1166']","['8132', '8135', '8176', '8223']",WLLLWWWLWWLWWW,3W,2024,1662,54,92,5,2342,66,0,0,906,11,9,Kissin’,The Warehouse,The Key,Ward,Build The,Wendy’s,Silver,Subway Knockout,Roseanne,Texas,Mixed Dozen,I Would Walk 500,Plain White,Great First Name,Fat,Rental Car,Banderas,Paul,The General,Aubrey,Un,The Creator,Fuck Cancer,Irish Whiskey,Life Of,Mr. Tanner,This Is,Envy,,,,,,,,,,,,,,,
,,806801792825397248,605920336407511040,,"['1339', '1373', '1466', '1689', '2028', '2319', '2325', '2750', '3242', '3664', '4068', '4177', '4985', '533', '5347', '5848', '5849', '5850', '6130', '6824', '6853', '7535', '7567', '7608', '7612', '8179']","['1339', '3664', '4985', '5849']",8,"['1373', '6130', '5850', '6824', '1689', '1466', '4068', '5848', '6853']","['7535', '7612', '8179']",LLWWWLWLWLLWWW,3W,1842,1778,36,44,6,2173,76,0,0,859,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,off,on,,,,,,,,,,,
,,806801792825397248,595331324689047552,,"['1234', '1825', '2251', '2749', '3163', '3202', '345', '4035', '4037', '4149', '4197', '4983', '5089', '5133', '5284', '5846', '5916', '6136', '6938', '7526', '7568', '8119', '8123', '8140', '8150', '8161', '8164', '8172', '947']","['1825', '345', '8140', '8172']",9,"['3163', '6938', '4035', '4983', '7526', '5133', '4037', '5846', '5089']","['8123', '8150', '8161', '8164']",LWLWWWWWLLLWLW,1W,1573,1581,42,8,6,1975,94,0,0,995,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,806801792825397248,595421624581287936,,"['1992', '2216', '2449', '3321', '4082', '5110', '5806', '5844', '5870', '5880', '6037', '6770', '6813', '6850', '6920', '6984', '6996', '7551', '7607', '7610', '8111', '8117', '8126', '8129', '8188', '8225', '829', '928']","['1992', '7610', '8126', '8129']",10,"['6770', '7551', '7607', '2449', '3321', '5844', '4082', '2216', '5870']","['8111', '8117']",LWLLWWWLWWWLLL,3L,1794,1734,74,32,7,2171,72,0,0,975,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
