years_exp,search_last_name,swish_id,team_changed_at,hashtag,high_school,injury_notes,active,age,college,first_name,rotowire_id,player_id,injury_start_date,team,yahoo_id,injury_body_part,status,rotoworld_id,opta_id,search_first_name,weight,practice_participation,team_abbr,search_rank,full_name,search_full_name,news_updated,depth_chart_position,last_name,birth_state,gsis_id,birth_city,fantasy_data_id,fantasy_positions,injury_status,birth_date,practice_description,pandascore_id,height,position,number,oddsjam_id,sport,sportradar_id,competitions,espn_id,stats_id,birth_country,depth_chart_order,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
3.0,richardson,,,#ellisrichardson-NFL-FA-45,Douglas County,,True,26.0,Georgia Southern,Ellis,14134.0,6462,,,32262.0,,Active,,,ellis,245,,,9999999.0,Ellis Richardson,ellisrichardson,,,Richardson,, 00-0035057,,21427.0,['TE'],,1995-02-12,,,75,TE,45.0,,nfl,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,[],3926590.0,887183.0,,,1116853254748110848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,amoah,1052592.0,,#nickamoah-NFL-FA-0,Davis (CA),,True,,UC Davis,Nick,,11255,,,,,Active,,,nick,306,,,9999999.0,Nick Amoah,nickamoah,,,Amoah,,,,,['OL'],,,,,74,OL,0.0,,nfl,55510c00-ead2-11ed-999e-03b49558b5db,[],,,,,1116852669114220544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,morrison,1131137.0,,#malkelmmorrison-NFL-FA-0,Iona Prep (NY),,True,,Army,Malkelm,16558.0,8842,,,,,Injured Reserve,,,malkelm,186,,,9999999.0,Malkelm Morrison,malkelmmorrison,1653351613345.0,,Morrison,,,,,['DB'],,,,,70,CB,0.0,,nfl,3c804b10-d3a8-11ec-96a0-c3471a31202c,[],,,,,1116853537213513728,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,tucker,866047.0,,#carltucker-NFL-FA-0,Hough (NC),,True,24.0,Alabama,Carl,15412.0,7926,,,,,Active,,,carl,250,,,426.0,Carl Tucker,carltucker,1631568053348.0,,Tucker,,,,,['TE'],,1997-02-06,,,74,TE,0.0,,nfl,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,[],,,,,1116853436709601280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,mosley,557173.0,,#cjmosley-NFL-FA-57,Theodore (AL),,True,32.0,Alabama,C.J.,9380.0,1875,,,27545.0,Neck,Active,9631.0,,cj,231,,,216.0,C.J. Mosley,cjmosley,1741823416400.0,,Mosley,,00-0031296,,16093.0,['LB'],Questionable,1992-06-19,,,74,LB,57.0,97CDFFA7FA4D,nfl,bf5f7564-349a-439a-a8a9-4ddb10448a8d,[],16720.0,,,,1113708745461886977,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,womack,1085180.0,,#samuelwomack-NFL-IND-33,East English Village Prep (MI),,True,25.0,Toledo,Samuel,16274.0,8478,,IND,,,Active,,,samuel,189,,,9999999.0,Samuel Womack,samuelwomack,1737226242174.0,LCB,Womack,,,,,['DB'],,1999-07-07,,,71,CB,33.0,0823DA35726D,nfl,75c1ed8d-4f05-43c1-b398-f212984b6b8b,[],,,,2.0,1113708876978483201,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,parker,,,#ronparker-NFL-FA-0,Beaufort (SC),,False,34.0,Newberry,Ron,7817.0,995,,,25090.0,,Injured Reserve,6811.0,,ron,206,,,9999999.0,Ron Parker,ronparker,1578330037366.0,,Parker,,00-0028445,,13476.0,['DB'],,1987-08-17,,,72,FS,0.0,,nfl,e9a0297a-0b34-4c55-af1f-ca113d672195,[],14297.0,512802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,bell,543654.0,,#leveonbell-NFL-TB-6,Groveport Madison (OH),,True,29.0,Michigan State,Le'Veon,8617.0,1408,,TB,26671.0,,Active,8390.0,,leveon,225,,,235.0,Le'Veon Bell,leveonbell,1707165960874.0,,Bell,,00-0030496,,14967.0,['RB'],,1992-02-18,,,73,RB,6.0,,nfl,7735c02a-ee75-447c-86e6-6c2168500050,[],15825.0,543654.0,,,1116852736248250368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,seybert,,,#mattseybert-NFL-FA-41,St. Francis (MI),,True,24.0,Michigan State,Matt,15785.0,8074,,,,,Active,,,matt,252,,,,Matt Seybert,mattseybert,1629836727949.0,,Seybert,,,,,['TE'],,1997-05-02,,,76,TE,41.0,,nfl,22ec09a7-6001-43b7-adf9-cf0df941ad0e,[],,,,,1116853462399713280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,gay,,,#williamgay-NFL-FA-25,James R. Rickards (FL),,False,35.0,Louisville,William,6211.0,156,,,8424.0,,Inactive,4319.0,,william,187,,,9999999.0,William Gay,williamgay,1534088707204.0,,Gay,,00-0025557,,4122.0,['DB'],,1985-01-01,,,"5'10""",CB,25.0,,nfl,a2907a39-139b-483f-8369-e278c26a6951,[],10613.0,229499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,white,881687.0,,#javinwhite-NFL-FA-60,McClymonds (CA),,True,27.0,UNLV,Javin,14902.0,7311,,,33318.0,,Active,,,javin,211,,,9999999.0,Javin White,javinwhite,1721609703351.0,,White,,,,22303.0,"['DB', 'LB']",,1997-02-21,,,74,LB,60.0,8ADDCA292DD5,nfl,3f95afdc-2140-424b-8250-7d4e273c2efc,[],3921709.0,,,,1116853366710861824,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,breeland,560235.0,,#bashaudbreeland-NFL-ARI-24,Allendale-Fairfax (SC),,True,30.0,Clemson,Bashaud,9648.0,2091,,ARI,27630.0,,Active,9585.0,,bashaud,197,,,9999999.0,Bashaud Breeland,bashaudbreeland,1641345029845.0,,Breeland,, 00-0031052,,16407.0,['DB'],,1992-01-30,,,71,CB,24.0,,nfl,ba905b34-8412-4553-9055-3460368cc608,[],16890.0,560235.0,,,1116852779298586624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,dent,,,#kinkeaddent-NFL-FA,Jackson Academy (MS),,True,24.0,Tennessee-Martin,Kinkead,,13175,,,,,Active,,,kinkead,215,,,9999999.0,Kinkead Dent,kinkeaddent,,,Dent,,,,,['QB'],,2000-07-27,,,76,QB,,,nfl,b1b21920-2b81-11f0-a7dc-b36f60eb4d60,[],,,,,1225943136610562048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,aubrey,1454349.0,,#brandonaubrey-NFL-DAL-17,Plano Senior (TX),Surgery,True,30.0,Notre Dame,Brandon,17649.0,11533,,DAL,,Shoulder,Active,,,brandon,218,,,150.0,Brandon Aubrey,brandonaubrey,1741134040465.0,K,Aubrey,,,,,['K'],Questionable,1995-03-14,,,75,K,17.0,872D94B3727D,nfl,110e6fe0-1c34-11ee-8294-af17faac15de,[],,,,1.0,1113708850915078145,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,herrera,,,#amarloherrera-NFL-FA-56,North Clayton,,False,28.0,Georgia,Amarlo,10372.0,2508,,,28595.0,,Inactive,,,amarlo,249,,,9999999.0,Amarlo Herrera,amarloherrera,,,Herrera,,,,16967.0,['LB'],,1991-09-20,,,"6'1""",LB,56.0,,nfl,faf5f854-73af-4ab9-8f19-95ea75431d45,[],2578542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,edebali,,,#kasimedebali-NFL-FA-95,Kimball Union (NH),,True,32.0,Boston College,Kasim,9378.0,2199,,,27923.0,,Inactive,,,kasim,253,,,9999999.0,Kasim Edebali,kasimedebali,1572497732686.0,,Edebali,,00-0031255,,16570.0,"['DL', 'LB']",,1989-08-17,,,74,DE,95.0,,nfl,25a958c9-4035-43ad-8c9c-1309ea592e66,[],17141.0,498200.0,,,1116852786479235072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
