status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4574,adds_8408,adds_5122,drops_2460,adds_6845,drops_4054,adds_19,drops_7562,adds_4147,drops_2410,adds_1387,metadata,settings,adds,drops_4152,settings_expires_at,adds_1535,adds_6826,adds_8112,adds_8135,drops_1535,drops_6826,drops_8112,drops_8135,adds_2359,adds_4381,drops_8190,drops_6011,adds_2197,adds_7523,drops_2197,drops_7523,drops_7565,adds_8228,adds_4080,adds_7045,adds_2399,adds_8131,drops_7581,adds_3200,drops_8111,adds_8143,drops_1110,drops_4351,settings_priority,adds_2431,adds_4197,adds_5284,adds_1110,adds_5878,adds_7794,adds_6957,adds_6984,adds_8111,adds_2161,adds_6951,adds_4054,adds_956,adds_2216,adds_3294,adds_4046,adds_4131,adds_4943,drops_2216,drops_3294,drops_4046,drops_4131,drops_4943,adds_5880,adds_5549,adds_2410,adds_2251,adds_4111,adds_1833,adds_947,adds_5916,adds_6271,adds_1029,adds_5536,drops_7599,drops_7563,drops_8125,adds_4351,adds_4082,drops_2325,drops_538,adds_4455,adds_7066,adds_2214,adds_7496,adds_6885,drops_6885,drops_3200,drops_2431,adds_5846,adds_6768,drops_5846,drops_6768,drops_7530,adds_8171,adds_8125,adds_8176,adds_3242,adds_8223,drops_3242,drops_8223,drops_4741,drops_4157,drops_4571,settings_is_counter,adds_4950,adds_6943,drops_4950,drops_6943,adds_5133,adds_4454,adds_1244,adds_4973,adds_2460,adds_3202,adds_830,adds_1817,adds_928,adds_6847,adds_6694,drops_536,drops_4949,adds_4066,adds_5980,adds_5917,adds_4033,adds_3271,adds_1352,adds_4152,adds_5947,drops_7539,adds_3976,adds_5001,adds_6945,adds_7553,drops_6945,drops_7553,adds_5854,adds_6843,adds_6130,adds_1689,adds_2309,adds_1479,adds_4017,adds_1992,adds_3257,adds_4866,adds_1373,adds_5890,drops_7794,adds_4199,adds_96,drops_6149,adds_4983,adds_3969,adds_5038,drops_3969,drops_5038,adds_2028,adds_5955,drops_5955,adds_5844,adds_3157,drops_3157,adds_6895,drops_6895,adds_2133,adds_5906,adds_2505,adds_4663,adds_2449,adds_4985,adds_6853,drops_6845,adds_1339,adds_2320,adds_6886,adds_6824,adds_4089,adds_1049,adds_6126,adds_5967,adds_4098,adds_3225,adds_5052,adds_4892,drops_5880,drops_5113,drops_4973,drops_4150,drops_6012,drops_5052,drops_2320,drops_6973,drops_2382,drops_4663,drops_2359,drops_5917,drops_6989,drops_6039,drops_5967,drops_4985,drops_3209,drops_7083,drops_5122,drops_7583,drops_5026,drops_3225,drops_4531,drops_4089,drops_6984,drops_3327,drops_138,drops_96,drops_7045,drops_6798,drops_5844,drops_7088,drops_6886,drops_2505,drops_4098,drops_5906,drops_4381,drops_1049,drops_4892,drops_2449,drops_1352,drops_928,drops_5890,drops_6853,drops_3634,drops_2133,drops_1339,drops_1848,drops_5549,drops_4199,drops_6960,drops_6824,drops_4082,drops_6126,drops_5985,drops_6074,drops_4147,drops_6918,drops_7720,drops_7537,drops_6136,drops_954,drops_6271,drops_1479,drops_1144,drops_367,drops_1833,drops_6659,drops_2549,drops_2152,drops_4335,drops_4319,drops_5131,drops_3803,drops_7944,drops_7828,drops_7066,drops_5947,drops_4983,drops_1689,drops_515,drops_4144,drops_5001,drops_956,drops_1476,drops_5284,drops_2391,drops_5916,drops_4718,drops_2028,drops_2168,drops_3306,drops_4455,drops_6996,drops_1379,drops_4454,drops_5121,drops_7694,drops_5536,drops_5854,adds_1166,adds_6151,adds_7090,adds_7543,drops_1166,drops_6151,drops_7090,drops_7543,adds_3164,drops_3164,drops_6789,drops_2257,drops_5845,drops_4219,drops_1387,drops_4972,drops_5089,drops_184,drops_7891,drops_3297,drops_2476
complete,waiver,1663131572442,1,[],548317142968336384,875640916608839680,,[7],[7],1663168041593,[],Your waiver claim was processed successfully!,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663131559523,1,[],548317142968336384,875640862422487040,,[7],[7],1663168041593,[],This player was claimed by another owner.,3.0,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663098524671,1,[],561747196680642560,875502304210612224,,[5],[5],1663168041593,[],Your waiver claim was processed successfully!,0.0,10.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663095251124,1,[],558483388996636672,875488573959360512,,[6],[6],1663168041593,[],Your waiver claim was processed successfully!,1.0,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663094810745,1,[],451807541647634432,875486726875938816,,[1],[1],1663168041593,[],Your waiver claim was processed successfully!,2.0,5.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663027548693,1,[],451807541647634432,875204609382662144,,[1],[1],1663168041593,[],Your waiver claim was processed successfully!,5.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1662724205704,1,[],741144911407095808,873932296670068736,,[12],[12],1663168041593,[],This player was claimed by another owner.,6.0,2.0,,,,,12.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1662547249119,1,[],594730254984077312,873190086957830144,,[4],[4],1662563192188,[],Your waiver claim was processed successfully!,3.0,2.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1662546919158,1,[],594730254984077312,873188703001034752,,[4],[4],1662563192188,[],Your waiver claim was processed successfully!,0.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1662546833478,1,[],594730254984077312,873188343633113088,,[4],[4],1662546833478,[],,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
