status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7496,drops_956,metadata,settings,adds_2216,adds_6820,adds_6996,adds_7611,drops_2216,drops_6820,drops_6996,drops_7611,settings_expires_at,adds_7527,adds_96,drops_7527,drops_96,adds,drops_19,drops,adds_8076,adds_6290,adds_1817,drops_3157,settings_is_counter,adds_5022,adds_6151,adds_6794,adds_6819,adds_7585,drops_5022,drops_6151,drops_6794,drops_6819,drops_7585,adds_4177,drops_1408,drops_6037,adds_1737,drops_8157,drops_5010
complete,waiver,1668569827035,10,[],451807541647634432,898450609601146880,[1],[1],1668614840399,[],Your waiver claim was processed successfully!,0.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1668555138932,10,"[{'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 8, 'owner_id': 10, 'previous_owner_id': 1}]",451807541647634432,898389003232079872,"[1, 10]","[1, 10]",1668555164336,[],,,,,,,,10.0,1.0,10.0,1.0,1.0,10.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1668401640299,10,"[{'round': 2, 'season': '2023', 'league_id': None, 'roster_id': 2, 'owner_id': 6, 'previous_owner_id': 2}, {'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 8, 'owner_id': 2, 'previous_owner_id': 6}]",558483388996636672,897745183301758976,"[2, 6]","[2, 6]",1668437201623,[],,,,,,,,,,,,,,,,1668488040.0,2.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668306693235,10,[],451807541647634432,897346946451251200,[1],[1],1668306693235,[],,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668238625152,10,[],558483388996636672,897061448218451968,[6],[6],1668238625152,[],,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668238578049,10,[],558483388996636672,897061250654150656,[6],[6],1668238578049,[],,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668232508187,10,[],558483388996636672,897035791807684608,[6],[6],1668232508187,[],,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1668232453994,10,[],558483388996636672,897035564505767936,[6],[6],1668232453994,[],,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,
complete,trade,1668230029971,10,"[{'round': 4, 'season': '2023', 'league_id': None, 'roster_id': 3, 'owner_id': 7, 'previous_owner_id': 3}, {'round': 1, 'season': '2024', 'league_id': None, 'roster_id': 7, 'owner_id': 3, 'previous_owner_id': 7}]",472136033526345728,897025397416509440,"[3, 7]","[3, 7]",1668231051284,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,3.0,7.0,3.0,3.0,3.0,7.0,3.0,7.0,7.0,,,,,,
complete,free_agent,1668131813535,10,[],605920336407511040,896613447826128896,[8],[8],1668131813535,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,
complete,free_agent,1668128510658,10,[],594730254984077312,896599594555904001,[4],[4],1668128510658,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
complete,waiver,1668000900176,10,[],741144911407095808,896064357400879104,[12],[12],1668010048252,[],Your waiver claim was processed successfully!,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,
failed,waiver,1667999699438,10,[],595421624581287936,896059321140752384,[10],[10],1668010048252,[],This player was claimed by another owner.,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,10.0
