status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6156,drops_7757,drops,adds_8408,adds_8122,drops_7496,metadata,settings,adds,drops_6148,settings_expires_at,adds_8137,drops_8137,drops_2320,adds_2711,drops_7583,adds_3199,adds_4131,adds_5854,drops_3199,drops_4131,drops_5854,adds_5127,drops_2711,adds_5846,adds_6786,drops_5846,drops_6786,drops_8195,drops_6951,drops_4234,adds_4993,adds_5844,adds_7670,drops_4993,drops_5844,drops_7670,settings_is_counter,adds_3321,adds_5045,drops_3321,drops_5045,adds_7335,drops_8143,drops_6820,adds_5089,drops_4152
complete,waiver,1669790521712,12,[],548317142968336384,903570574167719936,[7],[7],1669824470144,[],Your waiver claim was processed successfully!,2.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669790464345,12,[],548317142968336384,903570333553070080,[7],[7],1669824470144,[],Your waiver claim was processed successfully!,1.0,10.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669790348812,12,[],548317142968336384,903569848972709888,[7],[7],1669824470144,[],Your waiver claim was processed successfully!,0.0,22.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669785702235,12,[],451807541647634432,903550359816237056,[1],[1],1669824470144,[],This player was claimed by another owner.,3.0,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669703843820,12,[],472136033526345728,903207020738527232,[3],[3],1669703843820,[],,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1669613861433,12,"[{'round': 1, 'season': '2024', 'league_id': None, 'roster_id': 3, 'owner_id': 6, 'previous_owner_id': 3}]",558483388996636672,902829607253045248,"[3, 6]","[3, 6]",1669613905951,[],,,,,,,,,,,,,,1669617461.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669568757651,12,[],741144911407095808,902640428279644160,[12],[12],1669568757651,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669261971313,12,[],605920336407511040,901353673115029504,[8],[8],1669420628765,[],This player was claimed by another owner.,1.0,2.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669261793748,12,[],548317142968336384,901352928353337344,[7],[7],1669261793748,[],,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1669261270278,12,"[{'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 7, 'owner_id': 12, 'previous_owner_id': 7}]",548317142968336384,901350732761092096,"[7, 12]","[7, 12]",1669261592041,[],,,,,,,,,,,,,,,,,,,,12.0,7.0,7.0,7.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669258656685,12,[],548317142968336384,901339770557689856,[7],[7],1669420628765,[],Your waiver claim was processed successfully!,0.0,9.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669251139180,12,[],741144911407095808,901308239856148480,[12],[12],1669251139180,[],,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669251025502,12,[],594730254984077312,901307763056058368,[4],[4],1669251025502,[],,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1669250528613,12,"[{'round': 2, 'season': '2023', 'league_id': None, 'roster_id': 6, 'owner_id': 12, 'previous_owner_id': 6}]",558483388996636672,901305678952779776,"[6, 12]","[6, 12]",1669250673202,[],,,,,,,,,,,,,,1669276799.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1669247920211,12,"[{'round': 2, 'season': '2023', 'league_id': None, 'roster_id': 1, 'owner_id': 9, 'previous_owner_id': 4}]",594730254984077312,901294738521788416,"[4, 9]","[4, 9]",1669248477059,[],,,,,,,,,,,,,,1669265999.0,,,,,,,,,,,,,,9.0,4.0,4.0,9.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669247752062,12,[],741144911407095808,901294033253572608,[12],[12],1669247752062,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1669247721341,12,[],741144911407095808,901293904400359424,[12],[12],1669247721341,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
complete,free_agent,1669246612298,12,[],472136033526345728,901289252736868352,[3],[3],1669246612298,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
complete,trade,1669246400496,12,[],595421624581287936,901288364375121920,"[3, 10]","[3, 10]",1669246508183,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,3.0,10.0,3.0,10.0,,,,,,,,,,
complete,trade,1669244805781,12,"[{'round': 1, 'season': '2023', 'league_id': None, 'roster_id': 10, 'owner_id': 12, 'previous_owner_id': 10}, {'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 10, 'owner_id': 12, 'previous_owner_id': 10}, {'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 12, 'owner_id': 10, 'previous_owner_id': 12}]",595421624581287936,901281675655503872,"[10, 12]","[10, 12]",1669244851171,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,12.0,12.0,10.0,,,,,
complete,free_agent,1669242141245,12,[],451807541647634432,901270499781386240,[1],[1],1669242141245,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
complete,trade,1669232051412,12,"[{'round': 3, 'season': '2023', 'league_id': None, 'roster_id': 11, 'owner_id': 12, 'previous_owner_id': 4}, {'round': 4, 'season': '2025', 'league_id': None, 'roster_id': 12, 'owner_id': 4, 'previous_owner_id': 12}]",594730254984077312,901228179954544640,"[4, 12]","[4, 12]",1669247696696,[],,,,,,,,,,,,,,1669318451.0,,,,,,,12.0,12.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669227517241,12,[],451807541647634432,901209162262913024,[1],[1],1669227517241,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
complete,free_agent,1669224527593,12,[],595331324689047552,901196622770348032,[9],[9],1669224527593,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
