status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_3257,adds_6920,drops_7946,drops,adds_7210,adds_6012,drops_7741,drops_7496,adds_5806,adds_8210,drops_4993,metadata_notes,settings_seq,settings_waiver_bid,adds_8183,drops_3202,adds_7083,adds_8225,adds_6984
complete,free_agent,,1670911592960,,14,[],451807541647634432,908272687787421696,,[1],[1],1670911592960,[],1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,,1670777277771,,14,[],595421624581287936,907709329053036544,,[10],[10],1670777277771,[],,10.0,10.0,,,,,,,,,,,,,,,,
complete,free_agent,,1670772794790,,14,[],561715408029736960,907690526067896320,,[2],[2],1670772794790,[],,,,,2.0,,,,,,,,,,,,,,
complete,free_agent,,1670730991897,,14,[],451807541647634432,907515192026476544,,[1],[1],1670730991897,[],,,,,,1.0,1.0,,,,,,,,,,,,
complete,free_agent,,1670730975716,,14,[],451807541647634432,907515124158443520,,[1],[1],1670730975716,[],,,,,,,,1.0,,,,,,,,,,,
complete,free_agent,,1670518570457,,14,[],595421624581287936,906624231931002880,,[10],[10],1670518570457,[],,,,,,,,,10.0,,,,,,,,,,
complete,free_agent,,1670430976322,,14,[],472136033526345728,906256835500191744,,[3],[3],1670430976322,[],,,,,,,,,,3.0,3.0,,,,,,,,
failed,waiver,,1670422368243,,14,[],595421624581287936,906220730600222720,,[10],[10],1670429267100,[],,,,,,,,,,,,This player was claimed by another owner.,12.0,2.0,10.0,,,,
failed,waiver,,1670404161289,,14,[],595331324689047552,906144365100134400,,[9],[9],1670429267100,[],,,,,,,,,,,,This player was claimed by another owner.,8.0,5.0,9.0,9.0,,,
failed,waiver,,1670404135890,,14,[],595331324689047552,906144258564833280,,[9],[9],1670429267100,[],,,,,,,,,,,,This player was claimed by another owner.,7.0,5.0,,9.0,9.0,,
failed,waiver,,1670403647930,,14,[],595421624581287936,906142211916550144,,[10],[10],1670429267100,[],,,,,,,,,,,,This player was claimed by another owner.,6.0,8.0,,,10.0,,
complete,waiver,,1670403619030,,14,[],595421624581287936,906142090700947456,,[10],[10],1670429267100,[],,,,,,,,,,,,Your waiver claim was processed successfully!,11.0,2.0,,,,10.0,
complete,waiver,,1670403599203,,14,[],595421624581287936,906142007540584448,,[10],[10],1670429267100,[],,,,,,,,,,,,Your waiver claim was processed successfully!,10.0,3.0,,,,,10.0
