status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_96,drops_1535,drops_5209,drops_2152,drops_1346,drops_1833,drops_4335,drops_7083,drops_6957,drops_7757,drops_943,drops_7335,drops_5248,drops_7538,drops_6012,drops_5052,drops_2505,adds_6136,drops_5974,drops,adds_2152
complete,free_agent,,1672792954160,,17,[],558483388996636672,916163688594227200,,[6],[6],1672792954160,[],6.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1672590071988,,17,[],594730254984077312,915312739088777216,,[4],[4],1672590071988,[],,4.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1672590063383,,17,[],594730254984077312,915312702996791296,,[4],[4],1672590063383,[],,,4.0,,,,,,,,,,,,,,,,,,
complete,free_agent,,1672590045959,,17,[],594730254984077312,915312629915238400,,[4],[4],1672590045959,[],,,,4.0,,,,,,,,,,,,,,,,,
complete,free_agent,,1672590033131,,17,[],594730254984077312,915312576110706688,,[4],[4],1672590033131,[],,,,,4.0,,,,,,,,,,,,,,,,
complete,free_agent,,1672590022558,,17,[],594730254984077312,915312531764330496,,[4],[4],1672590022558,[],,,,,,4.0,,,,,,,,,,,,,,,
complete,free_agent,,1672590018129,,17,[],594730254984077312,915312513187758080,,[4],[4],1672590018129,[],,,,,,,4.0,,,,,,,,,,,,,,
complete,free_agent,,1672548825639,,17,[],451807541647634432,915139739362082816,,[1],[1],1672548825639,[],,,,,,,,1.0,,,,,,,,,,,,,
complete,free_agent,,1672548808232,,17,[],605920336407511040,915139666351833088,,[8],[8],1672548808232,[],,,,,,,,,8.0,,,,,,,,,,,,
complete,free_agent,,1672548800286,,17,[],605920336407511040,915139633023893504,,[8],[8],1672548800286,[],,,,,,,,,,8.0,,,,,,,,,,,
complete,free_agent,,1672548793122,,17,[],605920336407511040,915139602975899648,,[8],[8],1672548793122,[],,,,,,,,,,,8.0,,,,,,,,,,
complete,free_agent,,1672548704333,,17,[],451807541647634432,915139230567841792,,[1],[1],1672548704333,[],,,,,,,,,,,,1.0,,,,,,,,,
complete,free_agent,,1672548686753,,17,[],451807541647634432,915139156831977472,,[1],[1],1672548686753,[],,,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,,1672548683100,,17,[],451807541647634432,915139141510184960,,[1],[1],1672548683100,[],,,,,,,,,,,,,,1.0,,,,,,,
complete,free_agent,,1672548663451,,17,[],451807541647634432,915139059096305664,,[1],[1],1672548663451,[],,,,,,,,,,,,,,,1.0,,,,,,
complete,free_agent,,1672548641672,,17,[],451807541647634432,915138967748558848,,[1],[1],1672548641672,[],,,,,,,,,,,,,,,,1.0,,,,,
complete,free_agent,,1672538428789,,17,[],548317142968336384,915096131812540416,,[7],[7],1672538428789,[],,,,,,,,,,,,,,,,,7.0,,,,
complete,free_agent,,1672273720932,,17,[],595331324689047552,913985866589093888,,[9],[9],1672273720932,[],,,,,,,,,,,,,,,,,,9.0,9.0,,
complete,free_agent,,1672245801730,,17,[],594730254984077312,913868764968468480,,[4],[4],1672245801730,[],,,,,,,,,,,,,,,,,,,,,4.0
