status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7565,drops_830,drops,adds_7583,metadata,settings,adds,drops_4574,drops_8225,drops_2152,drops_3202,adds_2152,adds_6037,drops_490,adds_5985,drops_6843,adds_2161,drops_5026,adds_8157,drops_2161,adds_4335
complete,waiver,1666765232455,7,[],548317142968336384,890881591335985152,[7],[7],1666796830860,[],Your waiver claim was processed successfully!,7.0,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
complete,waiver,1666765141406,7,[],548317142968336384,890881209448792064,[7],[7],1666796830860,[],Your waiver claim was processed successfully!,0.0,22.0,,,,7.0,,,,,,,,,,,,,,,,,
complete,free_agent,1666765027047,7,[],548317142968336384,890880729792356352,[7],[7],1666765027047,[],,,,,,,,,,,7.0,,,,,,,,,,,,,
failed,waiver,1666763220176,7,[],595421624581287936,890873151226261504,[10],[10],1666796830860,[],This player was claimed by another owner.,3.0,6.0,,,,10.0,,,,,10.0,,,,,,,,,,,,
failed,waiver,1666730694441,7,[],741144911407095808,890736728405815296,[12],[12],1666796830860,[],This player was claimed by another owner.,1.0,15.0,,,,12.0,,,,,,12.0,,,,,,,,,,,
failed,waiver,1666661521557,7,[],605920336407511040,890446596301713408,[8],[8],1666796830860,[],This player was claimed by another owner.,4.0,5.0,,,,8.0,,,,,,,,,,,,,,,,,
failed,waiver,1666660372644,7,[],595331324689047552,890441777411637248,[9],[9],1666796830860,[],This player was claimed by another owner.,5.0,5.0,,,,9.0,,,,,,,9.0,,,,,,,,,,
complete,free_agent,1666532807091,7,[],741144911407095808,889906728702201856,[12],[12],1666532807091,[],,,,,,,,,,,,,,,12.0,,,,,,,,,
complete,free_agent,1666457937307,7,[],594730254984077312,889592702067470336,[4],[4],1666457937307,[],,,,,,,,,,,,,,,,4.0,4.0,,,,,,,
complete,free_agent,1666386770402,7,[],548317142968336384,889294206433361920,[7],[7],1666386770402,[],,,,,,,,,,,,,,,,,,7.0,7.0,,,,,
complete,waiver,1666304247500,7,[],451807541647634432,888948080295325696,[1],[1],1666397841671,[],Your waiver claim was processed successfully!,0.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,
complete,free_agent,1666304226092,7,[],451807541647634432,888947990503530496,[1],[1],1666304226092,[],,,,,,,,,,,,,,,,,,,,,1.0,,,
complete,free_agent,1666228245951,7,[],741144911407095808,888629306694234112,[12],[12],1666228245951,[],,,,,,,,,,,,,,,,,,,,,,12.0,12.0,
complete,waiver,1666210529602,7,[],594730254984077312,888554998940884992,[4],[4],1666307265792,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,4.0,,,,,,,,,,,4.0
