roster_id,matchup_id,starters,players
1,3,"['3294', '4866', '9221', '9493', '8144', '10236', '7547', '5859', '4464']","['10231', '10236', '1049', '1352', '2307', '3294', '4068', '4464', '4866', '5001', '5859', '7547', '7568', '7588', '7606', '7611', '8119', '8143', '8144', '9221', '9222', '9228', '9493', '9511', '9758']"
2,2,"['4881', '4034', '6828', '5185', '6803', '4089', '7562', '3225', '8157']","['10210', '10222', '1479', '3225', '4029', '4034', '4089', '4881', '5012', '5046', '5122', '5185', '6074', '6144', '6803', '6828', '6886', '6918', '7527', '7561', '7562', '8157', '8195', '8408', '9490', '9497', '9504', '9512']"
3,5,"['6804', '7528', '8138', '6819', '8137', '3271', '8228', '8121', '8162']","['1837', '2359', '3271', '4098', '4951', '5880', '5947', '6151', '6804', '6819', '6847', '7528', '7585', '7670', '8121', '8131', '8137', '8138', '8159', '8160', '8162', '8189', '8228', '9224']"
4,1,"['4984', '7543', '5892', '6786', '8112', '4066', '2133', '6790', '4046']","['11114', '2133', '4046', '4066', '4179', '4984', '5127', '5854', '5892', '6786', '6790', '6820', '6845', '7045', '7543', '7553', '7569', '8110', '8112', '8168', '9488', '9756']"
5,5,"['7591', '8151', '7594', '7525', '2309', '4217', '2078', '4981', '421']","['11199', '11256', '11439', '2078', '2251', '2306', '2309', '3423', '421', '4217', '4981', '4988', '5995', '6694', '7523', '7525', '7591', '7594', '7601', '8118', '8151', '8171', '8230', '9231', '9481', '9484', '9757']"
6,4,"['1737', '5967', '8136', '10229', '8146', '4033', '6813', '8155', '5927']","['10213', '10229', '10235', '10860', '1737', '4017', '4033', '4972', '5848', '5927', '5955', '5967', '6813', '7571', '7596', '8136', '8146', '8155', '8210', '9229', '96', '9753', '9754']"
7,3,"['4892', '4663', '4018', '6794', '2216', '5022', '6801', '4137', '6904']","['10444', '11292', '1166', '2216', '2374', '3976', '4018', '4137', '4663', '4892', '5022', '5937', '6794', '6801', '6826', '6904', '6927', '8132', '8135', '8147', '8148', '8154', '9482', '9487', '9492', '9500', '9505']"
8,6,"['1373', '6130', '9226', '1689', '6783', '1466', '5248', '8134', '5849']","['10217', '10218', '1339', '1373', '1466', '1689', '2028', '2319', '4985', '5038', '5133', '5248', '5849', '5850', '5917', '6130', '6149', '6783', '6824', '7567', '7608', '8134', '8179', '8756', '9226']"
9,1,"['1234', '8150', '4035', '7526', '5846', '10859', '4037', '4983', '3163']","['10232', '10859', '1234', '2505', '3163', '3214', '4035', '4037', '4111', '4983', '5846', '5916', '6938', '6945', '7526', '7538', '8111', '8139', '8140', '8150', '8161', '8172', '8676', '9494', '9506', '9999']"
10,4,"['19', '9509', '9508', '3321', '2449', '5844', '4082', '9486', '2711']","['10216', '10862', '10866', '10871', '19', '1992', '2161', '2449', '2711', '3321', '4040', '4080', '4082', '4234', '5110', '5844', '5870', '6185', '6770', '7607', '7610', '8117', '8126', '8129', '9479', '9486', '9501', '9508', '9509']"
11,2,"['8183', '3198', '8205', '4039', '5872', '4381', '1426', '5045', '6768']","['10228', '10863', '1426', '2197', '3198', '3969', '4039', '4381', '4454', '4854', '5045', '5872', '5906', '5987', '6768', '7564', '7600', '7605', '8183', '8205', '8221', '9225']"
12,6,"['6011', '3164', '2749', '6943', '9997', '8130', '4199', '8142', '6111']","['10225', '10857', '10867', '1476', '2749', '3164', '3199', '4171', '4199', '4950', '5284', '5857', '5890', '6011', '6111', '6797', '6895', '6943', '7021', '7066', '8116', '8130', '8142', '8167', '8219', '9220', '9227', '9502', '9997', '9998']"
