Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028
Chad,1,RFA,2024,QB,Jared Goff,$42.00,$42.00
Chad,1,2023-R1,2023,QB,Will Levis,$5.75,$5.75
Chad,1,UFA,2023,RB,Antonio Gibson,$10.50,$10.50
Chad,2,UFA,2024,RB,James Conner,$15.00,$15.00,$15.00
Chad,1,2023-R2,2023,TE,Sam LaPorta,$3.25,$3.25
Chad,1,RFA,2024,WR,DJ Moore,$26.50,$26.50
Chad,1,2023-R2,2023,WR,Marvin Mims,$4.25,$4.25
Chad,1,2023-R3,2023,WR,Michael Wilson,$1.75,$1.75
Chad,2,2024-R1,2024,WR,Xavier Worthy,$7.25,$7.25,$7.25
Chad-TS,2,2024-R3,2024,RB,Kimani Vidal,$4.00,$4.00,$4.00
Chad-TS,2,2024-R3,2024,TE,Ja'Tavion Sanders,$2.50,$2.50,$2.50
Chad-TS,2,2024-R4,2024,WR,Johnny Wilson,$1.00,$1.00,$1.00
Jim,1,FT,2025,QB,Jalen Hurts,$47.25,$47.25
Jim,3,FM,2024,QB,Matthew Stafford,$26.00,$26.00,$26.00,$26.00
Jim,1,2022-R1,2022,RB,Breece Hall,$7.75,$23.50
Jim,1,FM,2022,RB,Tony Pollard,$10.00,$10.00
Jim,2,2023-R1,2023,RB,Zach Charbonnet,$6.00,$6.00,$23.50
Jim,2,2024-R1,2024,TE,Brock Bowers,$8.00,$8.00,$8.00
Jim,1,UFA,2022,TE,David Njoku,$6.25,$6.25
Jim,1,RFA,2024,WR,Elijah Moore,$12.25,$12.25
Jim,1,2022-R1,2022,WR,Garrett Wilson,$5.75,$18.00
Jim,2,2024-R1,2024,WR,Malik Nabers,$9.00,$9.00,$9.00
Jim,1,UFA,2023,WR,Hollywood Brown,$15.00,$15.00
Jim,2,2024-R1,2024,WR,Marvin Harrison,$9.75,$9.75,$9.75
Jim,2,2023-R1,2023,WR,Quentin Johnston,$6.75,$6.75,$18.00
Jim,1,FM,2024,WR,Rashod Bateman,$3.00,$3.00
Jim,1,RFA,2024,WR,Tee Higgins,$18.25,$18.25
Jim,1,RFA,2024,WR,Terry McLaurin,$18.25,$18.25
Jim,1,2023-R4,2023,WR,Tre Tucker,$1.50,$1.50
Jim-TS,2,2024-R2,2024,QB,Michael Penix,$6.50,$6.50,$6.50
Kevin,2,2023-R1,2023,QB,C.J. Stroud,$7.25,$7.25,$23.75
Kevin,2,FM,2024,RB,David Montgomery,$21.50,$21.50,$21.50
Kevin,2,2023-R1,2023,RB,Jahmyr Gibbs,$7.75,$7.75,$23.50
Kevin,2,UFA,2023,RB,Jerome Ford,$4.50,$4.50,$4.50
Kevin,1,UFA,2022,RB,Saquon Barkley,$33.50,$33.50
Kevin,3,FM,2024,TE,Travis Kelce,$18.00,$18.00,$18.00,$18.00
Kevin,1,RFA,2024,WR,A.J. Brown,$25.00,$25.00
Kevin,3,FM,2024,WR,Amon-Ra St. Brown,$46.50,$46.50,$46.50,$46.50
Kevin,3,UFA/Rstr2024,2024,WR,Chris Godwin,$22.00,$11.00,$11.00,$11.00
Kevin,1,2023-R2,2023,WR,Josh Downs,$3.50,$3.50
Kevin,2,2024-R1,2024,WR,Ladd McConkey,$7.00,$7.00,$7.00
Kevin,1,2023-R4,2023,WR,Puka Nacua,$1.00,$1.00
Kevin,2,2024-R1,2024,QB,Drake Maye,$7.50,$7.50,$7.50
Kevin-TS,2,2024-R2,2024,RB,Blake Corum,$5.75,$5.75,$5.75
Marcus,1,RFA,2024,QB,Patrick Mahomes,$55.00,$82.50
Marcus,1,2022-R1,2022,RB,Kenneth Walker,$7.50,$11.75
Marcus,3,UFA,2024,RB,Samaje Perine,$1.00,$1.00,$1.00,$1.00
Marcus,1,2023-R1,2023,TE,Dalton Kincaid,$6.25,$6.25,$9.75
Marcus,1,RFA,2024,WR,Brandon Aiyuk,$19.50,$19.50
Marcus,1,FT,2025,WR,CeeDee Lamb,$43.50,$43.50
Marcus,1,2022-R1,2022,WR,Drake London,$7.00,$18.00
Marcus,2,2023-R1,2023,WR,Jaxon Smith-Njigba,$7.50,$7.50,$18.00
Zeke,1,RFA,2024,WR,Nico Collins,$20.00,$20.00
Marcus-TS,2,2024-R4,2024,TE,Cade Stover,$1.00,$1.00,$1.00
Marcus-TS,2,2024-R3,2024,WR,Jalen McMillan,$2.50,$2.50,$2.50
Matt,2,2024-R1,2024,QB,Jayden Daniels,$9.25,$9.25,$9.25
Matt,1,RFA,2024,QB,Joe Burrow,$46.00,$46.00
Matt,2,2023-R1,2023,RB,Bijan Robinson,$8.50,$8.50,$23.50
Matt,2,2024-R3,2024,RB,Braelon Allen,$3.00,$3.00,$3.00
Matt,2,UFA,2024,RB,Rico Dowdle,$5.00,$5.00,$5.00
Matt,1,2023-R2,2023,RB,Tyjae Spears,$4.00,$4.00
Matt,2,2024-R4,2024,RB,Tyrone Tracy,$2.00,$2.00,$2.00
Matt,3,FM,2024,TE,T.J. Hockenson,$17.50,$17.50,$17.50,$17.50
Matt,2,2024-R2,2024,WR,Brian Thomas,$6.00,$6.00,$6.00
Matt,1,FM,2023,WR,Curtis Samuel,$3.50,$3.50
Matt,3,FM,2024,WR,DK Metcalf,$33.50,$33.50,$33.50,$33.50
Matt,2,UFA,2024,WR,Joshua Palmer,$13.00,$13.00,$13.00
Matt,2,2024-R3,2024,WR,Malachi Corley,$3.50,$3.50,$3.50
Matt,1,RFA,2024,WR,Stefon Diggs,$21.00,$21.00
Mike K,1,RFA,2024,QB,Tua Tagovailoa,$40.00,$40.00
Mike K,1,FM,2023,RB,Alexander Mattison,$9.25,$9.25
Mike K,1,RFA,2024,RB,Derrick Henry,$35.00,$35.00
Mike K,1,RFA,2024,RB,Josh Jacobs,$38.00,$38.00
Mike K,1,2023-R2,2023,RB,Tank Bigsby,$3.75,$3.75
Mike K,2,2024-R4,2024,RB,Will Shipley,$2.25,$2.25,$2.25
Mike K,1,UFA,2024,TE,Hunter Henry,$9.00,$9.00
Mike K,3,FM,2024,TE,Pat Freiermuth,$11.00,$11.00,$11.00,$11.00
Mike K,1,RFA,2024,WR,Cooper Kupp,$24.50,$24.50
Mike K,2,UFA,2023,WR,Courtland Sutton,$9.25,$9.25,$9.25
Mike K,1,FT,2025,WR,JaMarr Chase,$43.50,$43.50
Mike K,1,UFA,2022,WR,Kendrick Bourne ,$3.00,$3.00
Mike K-TS,2,2024-R4,2024,RB,Frank Gore,$1.25,$1.25,$1.25
Mike N,1,2023-R1,2023,QB,Bryce Young,$8.25,$8.25,$23.75
Mike N,1,RFA,2024,QB,Justin Herbert,$37.75,$37.75
Mike N,1,2023-R4,2023,RB,Deuce Vaughn,$1.50,$1.50
Mike N,1,UFA,2024,RB,Khalil Herbert,$2.50,$2.50
Mike N,2,2024-R3,2024,TE,Ben Sinnott,$3.25,$3.25,$3.25
Mike N,3,FM,2024,TE,Jake Ferguson,$8.00,$8.00,$8.00,$8.00
Mike N,3,FM,2024,TE,Mark Andrews,$24.50,$12.25,$12.25,$12.25
Mike N,1,2022-R1,2022,WR,Chris Olave,$6.75,$18.00
Mike N,2,2024-R2,2024,WR,Ja'Lynn Polk,$4.00,$4.00,$4.00
Mike N,1,2023-R2,2023,WR,Jayden Reed,$3.75,$3.75
Mike N,2,2024-R2,2024,WR,Keon Coleman,$6.25,$6.25,$6.25
Nick,2,2024-R3,2024,WR,Luke McCaffrey,$2.75,$2.75,$2.75
Mike N,1,2023-R3,2023,WR,Tank Dell,$2.00,$2.00
Mike N,1,2023-R4,2023,WR,Trey Palmer,$1.00,$1.00
Mike N-TS,2,2024-R1,2024,QB,Caleb Williams,$9.50,$9.50,$9.50
Mike N-TS,2,2024-R3,2024,RB,Isaac Guerendo,$2.50,$2.50,$2.50
Mike N-TS,2,2024-R2,2024,WR,Troy Franklin,$5.00,$5.00,$5.00
Nick,2,UFA,2024,QB,Drew Lock,$4.00,$4.00,$4.00
Tommy,1,RFA,2024,QB,Jordan Love,$37.75,$37.75
Nick,3,UFA,2024,QB,Russell Wilson,$24.00,$24.00,$24.00,$24.00
Nick,2,2024-R3,2024,RB,Bucky Irving,$3.00,$3.00,$3.00
Nick,1,2023-R3,2023,RB,Chase Brown,$3.00,$3.00
Nick,2,2023-R1,2023,RB,DeVon Achane,$6.50,$6.50,$23.50
Nick,1,2022-R1,2022,RB,James Cook,$6.00,$23.50
Tommy,1,RFA,2024,RB,Rhamondre Stevenson,$27.00,$27.00
Nick,3,UFA,2024,RB,Zack Moss,$13.00,$13.00,$13.00,$13.00
Mike N,3,FM,2024,RB,Zamir White,$27.00,$27.00,$27.00,$27.00
Nick,1,RFA,2024,WR,Davante Adams,$30.00,$30.00
Nick,1,UFA,2024,WR,DeMario Douglas,$11.00,$11.00
Ruben,3,FM,2024,QB,Kyler Murray,$62.00,$72.25,$72.25,$72.50
Ruben,1,RFA,2024,QB,Lamar Jackson,$54.00,$54.00
Ruben,3,UFA,2024,RB,Jaleel McLaughlin,$4.50,$4.50,$4.50,$4.50
Ruben,2,UFA,2023,RB,Jaylen Warren,$2.25,$2.25,$2.25
Ruben-IR,2,2024-R1,2024,RB,Jonathon Brooks,$7.75,$0.00,$7.75
Ruben,3,UFA,2024,RB,Keaton Mitchell,$4.75,$4.75,$4.75,$4.75
Ruben,3,UFA,2024,TE,Cade Otton,$0.75,$0.75,$0.75,$0.75
Ruben-IR,2,2024-R4,2024,TE,Erick All,$1.25,$0.00,$1.25
Ruben,3,UFA,2024,TE,Isaiah Likely,$9.75,$9.75,$9.75,$9.75
Ruben,3,FM,2024,WR,Dontayvion Wicks,$12.50,$12.50,$12.50,$12.50
Ruben,1,RFA/Rstr2024,2024,WR,Justin Jefferson,$41.00,$20.50
Ruben-TS,2,2024-R3,2024,RB,Ray Davis,$3.25,$3.25,$3.25
Ruben,1,2023-R3,2023,WR,Jalin Hyatt,$2.75,$2.75
Ruben-TS,2,2024-R3,2024,WR,Malik Washington,$2.50,$2.50,$2.50
Tommy-IR,1,UFA,2022,QB,Deshaun Watson,$42.00,$0.00
