status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7538,drops_6149,drops,adds_5995,drops_8153,drops_8800,drops_7828,metadata,settings,adds,drops_4036,adds_5133,adds_7562,drops_6955,adds_7828,drops_4973,adds_11370,drops_10870,drops_8208,drops_8174,adds_5127,adds_4179,adds_8125,adds_11439,adds_6869,drops_7720,adds_10866,adds_11114,drops_862,adds_8110,drops_5127,adds_10862,adds_7021,drops_928,drops_2320,adds_3242,drops_4351,adds_10870,adds_6149,drops_8123,adds_3214,drops_5133,adds_7551,drops_7562,drops_4962,adds_2359,adds_6955,drops_2711,adds_2320,adds_7002,drops_4602,adds_4351,adds_6920,drops_7568,adds_4962,adds_10217,adds_8134,adds_4973,settings_priority,adds_8139,adds_1535,adds_8676,adds_2197,adds_5987,drops_2197,drops_5987,adds_8408,adds_7720,adds_5880,adds_2711,adds_3257,adds_5052,adds_5089,adds_8157,adds_8153,adds_7565,adds_4455,adds_7045,adds_8800,adds_6845,adds_862,drops_3202,settings_is_counter,adds_5890,drops_5890,drops_8164,drops_8176,drops_8223,adds_10231,adds_10210,adds_10223,adds_9479,adds_9490,adds_5012,adds_5872,drops_5012,drops_5872,drops_8139,drops_8134,adds_6945,adds_8119,drops_6945,drops_8119,settings_expires_at,adds_6813,adds_8129,drops_6813,drops_8129,adds_8146,drops_8146,drops_5980,drops_3976,drops_7554,drops_7587,adds_4080,adds_8143,adds_5284,adds_6011,adds_4111,adds_6820,adds_5038,adds_4149,drops_4149,adds_8228,adds_5248,adds_4993,adds_8131,adds_5045,adds_4199,adds_4984,adds_6797,drops_4199,drops_4984,drops_6797,adds_2749,adds_8210,adds_4147,adds_4068,adds_4040,adds_96,adds_2505,drops_2505,adds_5848,adds_3271,adds_5927,drops_3271,drops_5927,adds_1166,adds_4082,adds_2216,adds_5892,adds_2307,adds_4137,adds_1837,adds_5937,adds_2161,adds_7066,drops_7572,drops_7574,drops_7533,adds_4035,adds_6786,adds_6819,adds_6790,adds_3321,adds_8183,adds_5022,adds_4029,drops_8131,drops_6011,drops_167,drops_5026,drops_4381,drops_8255,drops_4040,drops_5045,drops_7891,drops_1067,drops_1476,drops_1837,drops_5937,drops_5122,drops_7210,drops_7002,drops_5892,drops_4029,drops_6819,drops_5549,drops_7794,drops_8210,drops_1034,drops_8122,drops_7565,drops_3200,drops_1166,drops_8408,drops_4137,drops_5022,drops_6271,drops_5038,drops_6885,drops_5536,drops_4111,drops_5000,drops_8183,drops_3321,drops_2216,drops_4082,drops_8111,drops_4147,drops_1387,drops_4455,drops_6805,drops_7066,drops_6790,drops_6786,drops_2161,drops_2307,drops_8228,drops_5347,drops_2325,drops_4068,drops_5848,drops_4177,drops_3242,drops_3664,drops_2750,drops_533,drops_4080,drops_6845,drops_6290,drops_1817,drops_5137,drops_7045,drops_3214,drops_3269,drops_2749,drops_5089,drops_2251,drops_947,drops_5284,drops_1825,drops_6136,drops_4197,drops_5916,drops_345,drops_4035,drops_8076,drops_1029,drops_7551,drops_8225,drops_6850,drops_5880,drops_6996,drops_1737,drops_8211,drops_5878,drops_4171,drops_3286,drops_3161,drops_6920,drops_6984,drops_829,drops_7589,drops_24,drops_6156,drops_6037,drops_5806
complete,waiver,1694584201271,1,[],595331324689047552,1007562803518652416,[9],[9],1694617619728,[],Your waiver claim was processed successfully!,0.0,14.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694575372457,1,[],561747196680642560,1007525772788723712,[5],[5],1694617619728,[],Your waiver claim was processed successfully!,3.0,12.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694575335315,1,[],561747196680642560,1007525617005871104,[5],[5],1694617619728,[],This player was claimed by another owner.,7.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694572480482,1,[],594730254984077312,1007513642967195648,[4],[4],1694617619728,[],This player was claimed by another owner.,8.0,5.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694572426564,1,[],594730254984077312,1007513416817520640,[4],[4],1694617619728,[],This player was claimed by another owner.,1.0,13.0,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694534355309,1,[],595421624581287936,1007353734399123456,[10],[10],1694617619728,[],This player was claimed by another owner.,2.0,13.0,10.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694519111113,1,[],741144911407095808,1007289795608879104,[12],[12],1694617619728,[],This player was claimed by another owner.,5.0,10.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694519094550,1,[],741144911407095808,1007289726140182528,[12],[12],1694617619728,[],This player was claimed by another owner.,4.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694146213894,1,[],472136033526345728,1005725751309668352,[3],[3],1694146213894,[],,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694131246065,1,[],605920336407511040,1005662971684622336,[8],[8],1694131246065,[],,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
