status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_7562,drops_7090,adds_6783,adds_8228,drops_6783,drops_8228,drops_6806,drops_4335,drops_4080,drops_6820,adds_5374,drops_5970,drops,adds_5970,adds_6074,drops_4943,drops_4455,drops_4149,drops_5086,drops_829,settings_expires_at,adds_4149,adds_4455,adds_4943,adds_5086,adds_7066,adds_829,drops_7066,adds_5257,drops_4993
complete,free_agent,,1701030957734,,12,[],548317142968336384,1034602459936817152,,[7],[7],1701030957734,[],7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1701030826138,,12,[],548317142968336384,1034601907983187968,,[7],[7],1701030826138,[],,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,,1700956879124,,12,[],472136033526345728,1034291751726559232,,"[3, 8]","[3, 8]",1700967543394,[],,,8.0,3.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700954813111,,12,[],451807541647634432,1034283086239842304,,[1],[1],1700954813111,[],,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700948510804,,12,[],558483388996636672,1034256652448382976,,[6],[6],1700948510804,[],,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700946505693,,12,[],558483388996636672,1034248242403295232,,[6],[6],1700946505693,[],,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700946446249,,12,[],558483388996636672,1034247993077088256,,[6],[6],1700946446249,[],,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700939664772,,12,[],595421624581287936,1034219549500981248,,[10],[10],1700939664772,[],,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,
complete,free_agent,,1700938692773,,12,[],595421624581287936,1034215472641687552,,[10],[10],1700938692773,[],,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
complete,free_agent,,1700707003167,,12,[],561715408029736960,1033243696000483328,,[2],[2],1700707003167,[],,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
complete,free_agent,,1700677826459,,12,[],741144911407095808,1033121320017420288,,[12],[12],1700677826459,[],,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,
complete,free_agent,,1700677680279,,12,[],741144911407095808,1033120706894061568,,[12],[12],1700677680279,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
complete,free_agent,,1700677667838,,12,[],741144911407095808,1033120654712725504,,[12],[12],1700677667838,[],,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
complete,free_agent,,1700677651316,,12,[],741144911407095808,1033120585414434816,,[12],[12],1700677651316,[],,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
complete,free_agent,,1700677638065,,12,[],741144911407095808,1033120529835712512,,[12],[12],1700677638065,[],,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
complete,trade,,1700676622057,,12,"[{'round': 4, 'season': '2026', 'league_id': None, 'roster_id': 12, 'owner_id': 4, 'previous_owner_id': 12}, {'round': 3, 'season': '2024', 'league_id': None, 'roster_id': 4, 'owner_id': 12, 'previous_owner_id': 4}]",594730254984077312,1033116268389355520,,"[4, 12]","[4, 12]",1700677612403,[],,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,1700763021.0,12.0,12.0,12.0,12.0,12.0,12.0,4.0,,
complete,free_agent,,1700672051461,,12,[],548317142968336384,1033097097920208896,,[7],[7],1700672051461,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
