status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_9501,drops_345,metadata,settings,adds_345,drops_8188,adds_947,drops_2711,drops,adds_5916,adds_4381,drops_7593,adds_5917,adds_5046,drops_6931,adds_6149,adds_6136,drops_6814,adds_6659,adds_4144,drops_3976
complete,waiver,1698213611983,7,[],595421624581287936,1022785655383912448,[10],[10],1698246462315,[],Your waiver claim was processed successfully!,1.0,6.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697989383811,7,[],595421624581287936,1021845174265282560,[10],[10],1697989383811,[],,,,,,,,10.0,10.0,,,,,,,,,,,,,,,
complete,free_agent,1697973112922,7,[],595331324689047552,1021776929210318848,[9],[9],1697973112922,[],,,,,,,,,,9.0,9.0,,,,,,,,,,,,,
complete,free_agent,1697972693212,7,[],595331324689047552,1021775168818987008,[9],[9],1697972693212,[],,,,,,,,,,,,,9.0,,,,,,,,,,,
complete,waiver,1697897890293,7,[],595464158774878208,1021461422636732416,[11],[11],1698246462315,[],Your waiver claim was processed successfully!,0.0,12.0,,,,,,,,,,,11.0,,,,,,,,,,
failed,waiver,1697835317818,7,[],561715408029736960,1021198974654550016,[2],[2],1698246462315,[],This player was claimed by another owner.,3.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,
complete,free_agent,1697835162947,7,[],605920336407511040,1021198325078376448,[8],[8],1697835162947,[],,,,,,,,,,,,,,,,8.0,,,,,,,,
failed,waiver,1697776773974,7,[],561715408029736960,1020953423975870464,[2],[2],1698246462315,[],This player was claimed by another owner.,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,
complete,free_agent,1697776643164,7,[],561715408029736960,1020952875318611968,[2],[2],1697776643164,[],,,,,,,,,,,,,,,,,2.0,2.0,,,,,,
complete,free_agent,1697760984544,7,[],605920336407511040,1020887198306111488,[8],[8],1697760984544,[],,,,,,,,,,,,,,,,,,,8.0,,,,,
complete,free_agent,1697673768253,7,[],561715408029736960,1020521386667757568,[2],[2],1697673768253,[],,,,,,,,,,,,,,,,,,,,2.0,2.0,,,
complete,free_agent,1697673389760,7,[],561715408029736960,1020519799153053696,[2],[2],1697673389760,[],,,,,,,,,,,,,,,,,,,,,,2.0,,
complete,waiver,1697638938159,7,[],595421624581287936,1020375298665271296,[10],[10],1697641634808,[],Your waiver claim was processed successfully!,1.0,7.0,,,,,,,,,,,,,,,,,,,,10.0,10.0
