co_owners,keepers,league_id,owner_id,player_map,players,reserve,roster_id,starters,taxi,metadata_record,metadata_streak,settings_fpts,settings_fpts_against,settings_fpts_against_decimal,settings_fpts_decimal,settings_losses,settings_ppts,settings_ppts_decimal,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_p_nick_2374,metadata_p_nick_1535,metadata_p_nick_6904,metadata_p_nick_2505,metadata_p_nick_6801,metadata_p_nick_8223,metadata_p_nick_4663,metadata_p_nick_7090,metadata_p_nick_7585,metadata_p_nick_8135,metadata_p_nick_8154,metadata_p_nick_8131,metadata_p_nick_6819,metadata_p_nick_6826,metadata_p_nick_8132,metadata_p_nick_6794,metadata_p_nick_8148,metadata_p_nick_4892,metadata_p_nick_8112,metadata_p_nick_8176,metadata_p_nick_8147,metadata_p_nick_3199,metadata_p_nick_5937,metadata_p_nick_2399,metadata_p_nick_4137,metadata_p_nick_6843,metadata_p_nick_3200,metadata_p_nick_830,metadata_p_nick_1166,metadata_p_nick_2216,metadata_p_nick_5022,metadata_p_nick_4993,metadata_p_nick_6151,metadata_p_nick_4018,metadata_p_nick_6945,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1689,metadata_p_nick_2382,metadata_p_nick_2410,metadata_p_nick_3161,metadata_p_nick_3286,metadata_p_nick_3321,metadata_p_nick_4040,metadata_p_nick_4973,metadata_p_nick_4984,metadata_p_nick_5857,metadata_p_nick_6156
,,1068009064141062144,451807541647634432,,"['10226', '11564', '11571', '11574', '11586', '11635', '1166', '1426', '1466', '4037', '4574', '4866', '4892', '5859', '5892', '6011', '6826', '7547', '7567', '7588', '8143', '8220', '9221', '9480', '9493', '9500', '9758']","['4037', '6011', '8220']",1,"['9758', '9221', '4866', '11635', '9493', '1466', '5859', '7547', '4892']","['11564', '11574', '11586']",WWWWLWWWLWWWLL,2L,2103,1752,12,14,4,2420,0,0,0,1000,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,561715408029736960,,"['11439', '11575', '11583', '11592', '11610', '11748', '2374', '4234', '4881', '5849', '5985', '6794', '7090', '7594', '8111', '8131', '8154', '8228', '8255', '8676', '9486', '9497', '9504', '9511']","['11583', '11592', '11748', '4234', '8676']",2,"['5849', '8154', '8228', '7090', '6794', '5985', '8255', '9486', '4881']","['11575', '11610', '9497']",LLLWWLWLWWLLLW,1W,1660,1719,22,26,8,1915,40,0,0,893,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,472136033526345728,,"['11584', '1234', '2133', '5022', '5854', '5947', '6804', '6819', '6845', '6963', '7528', '7591', '7611', '8121', '8130', '8137', '8138', '8139', '8159', '8160', '8162', '9224', '9226', '9501']","['5022', '6845', '8139']",3,"['6804', '9224', '9226', '2133', '5947', '8130', '8138', '11584', '1234']",,WWLWLLLLLWWWWL,1L,1789,1658,94,94,7,2137,92,0,0,951,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,594730254984077312,,"['10236', '11292', '11599', '11618', '3286', '4046', '4098', '4144', '4147', '4943', '4972', '4984', '6012', '6149', '6786', '6790', '6803', '6820', '6828', '7064', '7543', '7553', '7561', '7569', '8112', '8151', '9488']","['6803', '6828', '7561']",4,"['4984', '7543', '6790', '7569', '6786', '4144', '8112', '9488', '4943']","['11599', '11618']",LWWWWWWWWLLLWW,2W,1904,1680,26,62,4,2196,2,0,0,954,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,561747196680642560,,"['10235', '10866', '11563', '11581', '11589', '11620', '11621', '11629', '11640', '11643', '11645', '11834', '2028', '2078', '4217', '4981', '4988', '6783', '7049', '7523', '7525', '8117', '8208', '8230', '9481', '9484', '9756', '9757']","['11581', '4988', '7523', '8208']",5,"['11563', '10235', '9757', '7049', '7525', '4217', '4981', '9756', '10866']","['11621', '11629', '11640']",LWLLWLLLWLLLLW,1W,1524,1744,28,86,10,1837,34,0,0,809,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,558483388996636672,,"['10213', '11559', '11604', '11628', '11632', '4033', '421', '5010', '5848', '5927', '5967', '6801', '6813', '6904', '7571', '7596', '8136', '8146', '8155', '96', '9753', '9754']",,6,"['421', '6813', '8155', '8146', '11632', '11604', '6801', '5927', '11559']",,WWWWWLLLWWLWWW,3W,1896,1627,88,20,4,2321,38,0,0,947,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,548317142968336384,,"['10222', '10862', '11560', '11596', '11619', '11627', '11637', '11646', '11650', '11651', '11729', '5012', '6797', '7608', '8110', '8144', '9228', '9482', '9492', '9502', '9505']",['8144'],7,"['6797', '11729', '7608', '10222', '9502', '5012', '11646', '11637', '9228']","['11560', '11627', '11651', '9482']",LLWLLWLWLLWLLL,3L,1351,1774,40,48,10,1717,60,0,0,912,2,4,The Key,The Warehouse,Rental Car,Build The,Plain White,This Is,Texas,Paul,The General,Ellis,Life Of,Un,Great First Name,Nat King,The Creator,Moving On Up,Irish Whiskey,Mixed Dozen,Aubrey,Mr. Tanner,Fuck Cancer,Wendy’s,Huge,Ward,Roseanne,Fat,Silver,Envy,Kissin’,Great Name,That’s,Great Name,I Would Walk 500,Subway Knockout,Banderas,,,,,,,,,,,,,,,
"['1069022574568402944', '1139726071898824704']",,1068009064141062144,1068706773223223296,,"['11435', '11562', '11565', '11567', '11579', '11582', '11625', '11626', '11630', '11638', '2309', '4017', '4080', '4663', '4950', '5001', '5248', '5995', '6806', '6824', '6847', '7002', '7083', '7562', '8119', '8134', '8167', '9997']","['11565', '11567', '4017', '4663', '4950', '6806']",8,"['0', '5248', '11435', '11626', '2309', '7002', '11638', '8134', '8167']","['11562', '11579', '11582', '11630']",LLWLLWLLLWLLLL,4L,1175,1780,6,70,11,1467,68,0,0,860,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,on,off,on,,,,,,,,,,,
,,1068009064141062144,595331324689047552,,"['10232', '10859', '11600', '11624', '11636', '11647', '1479', '2359', '3163', '4035', '4111', '4137', '4149', '4381', '4983', '5857', '6938', '6945', '7526', '8125', '8150', '8161', '9487', '9494', '9506', '9999']",['4381'],9,"['3163', '2359', '8150', '4983', '11624', '10859', '1479', '6938', '4137']","['11600', '11636', '11647']",WWLWLLLWLLWWWL,1L,1748,1687,0,36,7,1939,68,0,0,834,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1068009064141062144,595421624581287936,,"['10216', '10444', '10871', '11557', '11566', '11576', '11617', '11631', '11655', '1339', '2449', '3321', '4082', '5844', '5846', '5870', '6770', '7021', '7496', '7527', '7670', '8126', '8129', '8132', '9479', '9508', '9509']",['2449'],10,"['6770', '9509', '7021', '5846', '3321', '5844', '11655', '11631', '11566']","['10216', '10871', '11557', '9479']",WLWLWWWWWLLWWW,3W,1868,1571,20,22,4,2097,4,0,0,930,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
