round,season,roster_id,owner_id,previous_owner_id
1,2024,1,5,1
2,2024,1,8,5
3,2024,1,3,1
4,2024,1,12,1
1,2025,1,8,1
3,2025,1,5,1
1,2024,2,2,8
2,2024,2,5,6
3,2024,2,7,2
1,2025,2,4,7
2,2025,2,1,7
2,2026,2,7,2
1,2024,3,6,3
2,2024,3,10,3
3,2024,3,5,8
1,2025,3,1,3
2,2025,3,7,3
3,2025,3,5,3
4,2025,3,8,3
2,2026,3,12,3
3,2026,3,5,3
4,2026,3,8,3
2,2027,3,8,3
1,2024,4,1,12
2,2024,4,7,12
3,2024,4,1,12
1,2025,4,8,12
2,2025,4,7,4
3,2025,4,8,5
3,2026,4,7,4
2,2024,5,1,5
3,2024,5,11,5
1,2025,5,6,5
2,2025,5,1,5
4,2025,5,4,5
2,2024,6,5,8
3,2024,6,5,6
4,2024,6,5,6
1,2025,6,12,6
2,2025,6,5,6
3,2025,6,5,6
4,2025,6,5,6
2,2026,6,5,6
3,2026,6,5,6
3,2027,6,5,6
1,2024,7,6,3
3,2024,7,10,7
2,2025,7,7,2
1,2024,8,4,8
2,2024,8,6,8
3,2024,8,8,3
4,2024,8,11,7
2,2025,8,7,4
3,2025,8,7,8
2,2024,9,8,9
3,2024,9,8,9
1,2024,10,10,6
2,2024,10,6,10
3,2025,10,7,10
1,2024,11,1,5
2,2024,11,5,8
3,2024,11,8,7
3,2025,11,12,7
1,2024,12,8,12
2,2024,12,8,12
3,2024,12,2,12
4,2024,12,7,10
1,2025,12,7,2
2,2025,12,7,4
3,2025,12,12,3
4,2025,12,4,12
4,2026,12,4,12
