status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5086,adds_8132,metadata,settings,adds,drops_5970,adds_4943,drops_4943,adds_11637,adds_6801,drops_11637,drops_6801,drops_8132,drops_5937,drops_6130,adds_11596,adds_8148,drops_11596,drops_8148,adds_1479,drops_829,drops_4464,drops_11571,drops_11570,adds_3357,adds_4234,drops_1479,drops_6886,drops_6960,drops_6151,drops_3200,adds_7496,drops_4993
complete,waiver,1732689177047,12,[],451807541647634432,1167386655834288128,[1],,[1],1732720144400,[],Your waiver claim was processed successfully!,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1732689099159,12,[],451807541647634432,1167386329148207104,[1],,[1],1732757947420,[],This player was claimed by another owner.,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732626847376,12,[],594730254984077312,1167125226241511424,[4],,[4],1732626847376,[],,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1732592407827,12,"[{'round': 3, 'season': '2026', 'league_id': None, 'roster_id': 4, 'owner_id': 7, 'previous_owner_id': 4}]",548317142968336384,1166980776308412416,"[4, 7]",,"[4, 7]",1732593269407,[],,,,,,,,,,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1732592389055,12,[],548317142968336384,1166980697572540416,"[6, 7]",,"[6, 7]",1732592416432,[],,,,,,,,,,,,7.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732588481549,12,[],548317142968336384,1166964308300009472,[7],,[7],1732588481549,[],,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732567953734,12,[],548317142968336384,1166878208407490560,[7],,[7],1732567953734,[],,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732469676621,12,[],451807541647634432,1166466004319465472,[1],,[1],1732469676621,[],,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
complete,trade,1732469083900,12,[],548317142968336384,1166463518268215296,"[7, 11]",,"[7, 11]",1732469299453,[],,,,,,,,,,,,,,,,,,,7.0,11.0,11.0,7.0,,,,,,,,,,,,,,
complete,free_agent,1732464215359,12,[],595331324689047552,1166443098126405632,[9],,[9],1732464215359,[],,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,
complete,free_agent,1732463211630,12,[],561715408029736960,1166438888181706752,[2],,[2],1732463211630,[],,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
complete,free_agent,1732463203928,12,[],561715408029736960,1166438855877177344,[2],,[2],1732463203928,[],,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
complete,free_agent,1732463196894,12,[],561715408029736960,1166438826370248704,[2],,[2],1732463196894,[],,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
complete,free_agent,1732317519825,12,[],451807541647634432,1165827812461232128,[1],,[1],1732317519825,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,1732236767260,12,[],561715408029736960,1165489111654985728,[2],,[2],1732236767260,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
complete,free_agent,1732236441242,12,[],561715408029736960,1165487744236384256,[2],,[2],1732236441242,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
complete,free_agent,1732236372462,12,[],561715408029736960,1165487455752146944,[2],,[2],1732236372462,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
complete,free_agent,1732235324849,12,[],561715408029736960,1165483061744758784,[2],,[2],1732235324849,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
complete,free_agent,1732235307794,12,[],561715408029736960,1165482990210904064,[2],,[2],1732235307794,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
complete,free_agent,1732233583172,12,[],451807541647634432,1165475756621950976,[1],,[1],1732233583172,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
complete,free_agent,1732168652556,12,[],595421624581287936,1165203417879396352,[10],,[10],1732168652556,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
