league_id,user_id,roster_id,player_id,fantasy_positions,full_name,status,active,age,display_name,metadata_team_name,Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,Per_Year_M,2025,2026,2027,2028,player_type
1.2074519527078134e+18,5.953313246890476e+17,9.0,5859,WR,A.J. Brown,Active,True,28.0,RunTheBrews,,Chad,1.0,RFA,2024.0,WR,$25.00,$25.00,  ,  ,  ,  
1.2074519527078134e+18,5.947302549840773e+17,4.0,4199,RB,Aaron Jones,Active,True,30.0,Darkwater59,Solana 🚀 ,Marcus,2.0,FM,2024.0,RB,$20.50,$20.50,$20.50,  ,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,96,QB,Aaron Rodgers,Active,True,41.0,RunTheBrews,,Chad,4.0,FM,2025.0,QB,$18.00,$18.00,$18.00,$18.00,$18.00,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,11625,WR,Adonai Mitchell,Active,True,22.0,Tski25,The Warden,Tommy,2.0,2024-R2,2024.0,WR,$5.50,$5.50,$5.50,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,10866,QB,Aidan OConnell,Active,True,26.0,TMISH31,Chubba Lubba Dub Dub,Tyler,1.0,UFA,2024.0,QB,$11.50,$11.50,  ,  ,  ,  
1.2074519527078134e+18,5.954641587748782e+17,11.0,5987,RB,Alexander Mattison,Active,True,27.0,Koko3321,Kupp the balls,Mike K,1.0,FM,2023.0,RB,$9.25,$9.25,  ,  ,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,4035,RB,Alvin Kamara,Active,True,29.0,RunTheBrews,,Chad,2.0,FM,2025.0,RB,$28.50,$28.50,$28.50,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,2309,WR,Amari Cooper,Active,True,30.0,Tski25,The Warden,Tommy,1.0,UFA,2022.0,WR,$15.25,$15.25,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,7547,WR,Amon-Ra St. Brown,Active,True,25.0,kevo1022,Hobblin Dobbins,Kevin,3.0,FM,2024.0,WR,$46.50,$46.50,$46.50,$46.50,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,9229,QB,Anthony Richardson,Active,True,23.0,beebudda,Ezekiel's nasty house,Zeke,1.0,2023-R1,2023.0,QB,$8.00,$8.00,  ,  ,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,6945,RB,Antonio Gibson,Active,True,27.0,RunTheBrews,,Chad,1.0,UFA,2023.0,RB,$10.50,$10.50,  ,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,12527,RB,Ashton Jeanty,Active,True,21.0,Tski25,The Warden,Tommy,3.0,2025-R1,2025.0,RB,$9.75,$9.75,$9.75,$9.75,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,11579,RB,Audric Estime,Active,True,21.0,Tski25,The Warden,Tommy,2.0,2024-R3,2024.0,RB,$3.75,$3.75,$3.75,  ,  ,TS
1.2074519527078134e+18,1.0687067732232233e+18,8.0,4663,RB,Austin Ekeler,Active,True,30.0,Tski25,The Warden,Tommy,1.0,FM,2024.0,RB,$27.00,$27.00,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,4892,QB,Baker Mayfield,Active,True,30.0,kevo1022,Hobblin Dobbins,Kevin,2.0,RFA,2025.0,QB,$40.00,$40.00,$40.00,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,11596,TE,Ben Sinnott,Active,True,23.0,Tski25,The Warden,Tommy,2.0,2024-R3,2024.0,TE,$3.25,$3.25,$3.25,  ,  ,  
1.2074519527078134e+18,5.483171429683364e+17,7.0,12490,RB,Bhayshul Tuten,Active,True,23.0,MikeNorys,Can't Stand Mike,Mike N,3.0,2025-R2,2025.0,RB,$4.25,$4.25,$4.25,$4.25,  ,TS
1.2074519527078134e+18,5.95421624581288e+17,10.0,9509,RB,Bijan Robinson,Active,True,23.0,MileHighMorty,Bijan* Mustard,Matt,2.0,2023-R1,2023.0,RB,$8.50,$8.50,$23.50,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,11586,RB,Blake Corum,Active,True,24.0,kevo1022,Hobblin Dobbins,Kevin,2.0,2024-R2,2024.0,RB,$5.75,$5.75,$5.75,  ,  ,TS
1.2074519527078134e+18,5.6174719668064256e+17,5.0,11563,QB,Bo Nix,Active,True,25.0,TMISH31,Chubba Lubba Dub Dub,Tyler,2.0,2024-R1,2024.0,QB,$8.25,$8.25,$8.25,  ,  ,  
1.2074519527078134e+18,5.95421624581288e+17,10.0,11576,RB,Braelon Allen,Active,True,21.0,MileHighMorty,Bijan* Mustard,Matt,2.0,2024-R3,2024.0,RB,$3.00,$3.00,$3.00,  ,  ,  
1.2074519527078134e+18,5.947302549840773e+17,4.0,6803,WR,Brandon Aiyuk,Active,True,27.0,Darkwater59,Solana 🚀 ,Marcus,1.0,RFA,2024.0,WR,$19.50,$19.50,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,12455,RB,Brashard Smith,Active,True,22.0,kevo1022,Hobblin Dobbins,Kevin,3.0,2025-R3,2025.0,RB,$2.75,$2.75,$2.75,$2.75,  ,TS
1.2074519527078134e+18,5.584833889966367e+17,6.0,8155,RB,Breece Hall,Active,True,24.0,socalifjimmy,Marvin’s Naberhood,Jim,1.0,2022-R1,2022.0,RB,$7.75,$23.50,  ,  ,  ,  
,,,,,Brenden Rice,,,,,,Tyler,2.0,2024-R4,2024.0,WR,$1.75,$0.00,$0.00,  ,0,Cut
1.2074519527078134e+18,4.518075416476344e+17,1.0,9480,TE,Brenton Strange,Active,True,24.0,kevo1022,Hobblin Dobbins,Kevin,2.0,RFA,2025.0,TE,$9.25,$9.25,$9.25,  ,  ,  
1.2074519527078134e+18,5.483171429683364e+17,7.0,8154,RB,Brian Robinson,Active,True,26.0,MikeNorys,Can't Stand Mike,Mike N,2.0,RFA,2025.0,RB,$22.00,$22.00,$22.00,  ,  ,  
1.2074519527078134e+18,5.95421624581288e+17,10.0,11631,WR,Brian Thomas,Active,True,22.0,MileHighMorty,Bijan* Mustard,Matt,2.0,2024-R2,2024.0,WR,$6.00,$6.00,$6.00,  ,  ,  
1.2074519527078134e+18,5.584833889966367e+17,6.0,11604,TE,Brock Bowers,Active,True,22.0,socalifjimmy,Marvin’s Naberhood,Jim,2.0,2024-R1,2024.0,TE,$8.00,$8.00,$8.00,  ,  ,  
1.2074519527078134e+18,5.6171540802973696e+17,2.0,8183,QB,Brock Purdy,Active,True,25.0,chavo317,Jamar Javarison-Lamar,Ruben,2.0,RFA,2025.0,QB,$39.00,$39.00,$39.00,  ,  ,  
1.2074519527078134e+18,5.483171429683364e+17,7.0,9228,QB,Bryce Young,Active,True,23.0,MikeNorys,Can't Stand Mike,Mike N,1.0,2023-R1,2023.0,QB,$8.25,$8.25,$23.75,  ,  ,  
1.2074519527078134e+18,4.721360335263457e+17,3.0,11584,RB,Bucky Irving,Active,True,22.0,mrTman,SuckMyDitka,Nick,2.0,2024-R3,2024.0,RB,$3.00,$3.00,$3.00,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,9758,QB,C.J. Stroud,Active,True,23.0,kevo1022,Hobblin Dobbins,Kevin,2.0,2023-R1,2023.0,QB,$7.25,$7.25,$23.75,  ,  ,  
1.2074519527078134e+18,5.6171540802973696e+17,2.0,8111,TE,Cade Otton,Active,True,26.0,chavo317,Jamar Javarison-Lamar,Ruben,3.0,UFA,2024.0,TE,$0.75,$0.75,$0.75,$0.75,  ,  
1.2074519527078134e+18,5.947302549840773e+17,4.0,11599,TE,Cade Stover,Active,True,25.0,Darkwater59,Solana 🚀 ,Marcus,2.0,2024-R4,2024.0,TE,$1.00,$1.00,$1.00,  ,  ,TS
1.2074519527078134e+18,5.483171429683364e+17,7.0,11560,QB,Caleb Williams,Active,True,23.0,MikeNorys,Can't Stand Mike,Mike N,2.0,2024-R1,2024.0,QB,$9.50,$9.50,$9.50,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,4981,WR,Calvin Ridley,Active,True,30.0,TMISH31,Chubba Lubba Dub Dub,Tyler,2.0,FM,2024.0,WR,$16.50,$16.50,$16.50,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,12481,RB,Cam Skattebo,Active,True,23.0,TMISH31,Chubba Lubba Dub Dub,Tyler,3.0,2025-R2,2025.0,RB,$6.75,$6.75,$6.75,$6.75,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,12522,QB,Cameron Ward,Active,True,23.0,RunTheBrews,,Chad,3.0,2025-R1,2025.0,QB,$8.75,$8.75,$8.75,$8.75,  ,  
