Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Chad,4,FM,2025,QB,Aaron Rodgers,$18.00,$18.00,$18.00,$18.00,$18.00,,$9.00,$40.50,,1
Chad,3,2025-R1,2025,QB,Cameron Ward,$8.75,$8.75,$8.75,$8.75,,,$4.50,$8.75,,1
Chad,1,RFA,2024,QB,Jared Goff,$42.00,$42.00,,,,,$21.00,,,1
Chad,1,2023-R1,2023,QB,Will Levis,$5.75,$5.75,,,,,$3.00,,,1
Chad,2,FM,2025,RB,Alvin Kamara,$28.50,$28.50,$28.50,,,,$14.25,$7.25,,1
Chad,1,UFA,2023,RB,Antonio Gibson,$10.50,$10.50,,,,,$5.25,,,1
Chad,2,UFA,2025,RB,Elijah Mitchell,$3.50,$3.50,$3.50,,,,$1.75,$1.00,,1
Chad,2,UFA,2024,RB,James Conner,$15.00,$15.00,$15.00,,,,$7.50,$3.75,,1
Chad,2,RFA,2025,RB,Kyren Williams,$38.00,$38.00,$38.00,,,,$19.00,$9.50,,1
Chad,3,2025-R4,2025,RB,Woody Marks,$1.75,$1.75,$1.75,$1.75,,,$1.00,$1.75,,1
Chad,2,UFA,2025,TE,Cole Kmet,$3.00,$3.00,$3.00,,,,$1.50,$0.75,,1
Chad,3,UFA,2025,TE,Jonnu Smith,$6.00,$6.00,$6.00,$6.00,,,$3.00,$6.00,,1
Chad,1,2023-R2,2023,TE,Sam LaPorta,$3.25,$3.25,,,,,$1.75,,,1
Chad,3,2025-R2,2025,TE,Tyler Warren,$5.75,$5.75,$5.75,$5.75,,,$3.00,$5.75,,1
Chad,1,RFA,2024,WR,A.J. Brown,$25.00,$25.00,,,,,$12.50,,,1
Chad,1,RFA,2024,WR,DJ Moore,$26.50,$26.50,,,,,$13.25,,,1
Chad,3,2025-R2,2025,WR,Jalen Royals,$4.00,$4.00,$4.00,$4.00,,,$2.00,$4.00,,1
Chad,2,RFA,2025,WR,Jaylen Waddle,$30.00,$30.00,$30.00,,,,$15.00,$7.50,,1
Chad,1,2023-R2,2023,WR,Marvin Mims,$4.25,$4.25,,,,,$2.25,,,1
Chad,1,2023-R3,2023,WR,Michael Wilson,$1.75,$1.75,,,,,$1.00,,,1
Chad,3,2025-R3,2025,WR,Pat Bryant,$3.25,$3.25,$3.25,$3.25,,,$1.75,$3.25,,1
Chad-TS,2,2024-R3,2024,RB,Kimani Vidal,$4.00,$4.00,$4.00,,,,$2.00,$1.00,,1
Chad-TS,2,2024-R3,2024,TE,Ja'Tavion Sanders,$2.50,$2.50,$2.50,,,,$1.25,$0.75,,1
Chad-TS,2,2024-R4,2024,WR,Johnny Wilson,$1.00,$1.00,$1.00,,,,$0.50,$0.25,,1
Chad-TS,3,2025-R4,2025,WR,Tory Horton,$1.50,$1.50,$1.50,$1.50,,,$0.75,$1.50,,1
Jim,1,FT,2025,QB,Jalen Hurts,$47.25,$47.25,,,,,$23.75,,,1
Jim,3,FM,2024,QB,Matthew Stafford,$26.00,$26.00,$26.00,$26.00,,,$13.00,$26.00,,1
Jim,2,2024-R2,2024,QB,Michael Penix,$6.50,$6.50,$6.50,,,,$3.25,$1.75,,1
Jim,1,2022-R1,2022,RB,Breece Hall,$7.75,$23.50,,,,,$11.75,,,1
Jim,2,RFA,2025,RB,Jonathan Taylor,$40.00,$40.00,$40.00,,,,$20.00,$10.00,,1
Jim,1,FM,2022,RB,Tony Pollard,$10.00,$10.00,,,,,$5.00,,,1
Jim,3,2025-R1,2025,RB,TreVeyon Henderson,$9.00,$9.00,$9.00,$9.00,,,$4.50,$9.00,,1
Jim,2,2023-R1,2023,RB,Zach Charbonnet,$6.00,$6.00,$23.50,,,,$3.00,$6.00,,1
Jim,2,2024-R1,2024,TE,Brock Bowers,$8.00,$8.00,$8.00,,,,$4.00,$2.00,,1
Jim,1,UFA,2022,TE,David Njoku,$6.25,$6.25,,,,,$3.25,,,1
Jim,1,RFA,2024,WR,Elijah Moore,$12.25,$12.25,,,,,$6.25,,,1
Jim,1,2022-R1,2022,WR,Garrett Wilson,$5.75,$18.00,,,,,$9.00,,,1
Jim,1,UFA,2023,WR,Hollywood Brown,$15.00,$15.00,,,,,$7.50,,,1
Jim,2,2024-R1/Rstr,2024,WR,Malik Nabers,$9.00,$4.50,$13.50,,,,$2.25,$3.50,,1
Jim,2,2024-R1,2024,WR,Marvin Harrison,$9.75,$9.75,$9.75,,,,$5.00,$2.50,,1
Jim,2,2023-R1,2023,WR,Quentin Johnston,$6.75,$6.75,$18.00,,,,$3.50,$4.50,,1
Jim,1,FM,2024,WR,Rashod Bateman,$3.00,$3.00,,,,,$1.50,,,1
Jim,3,2025-R4,2025,WR,Tai Felton,$1.00,$1.00,$1.00,$1.00,,,$0.50,$1.00,,1
Jim,1,RFA,2024,WR,Tee Higgins,$18.25,$18.25,,,,,$9.25,,,1
Jim,1,RFA,2024,WR,Terry McLaurin,$18.25,$18.25,,,,,$9.25,,,1
Jim,1,2023-R4,2023,WR,Tre Tucker,$1.50,$1.50,,,,,$0.75,,,1
Kevin,2,RFA,2025,QB,Baker Mayfield,$40.00,$40.00,$40.00,,,,$20.00,$10.00,,1
Kevin,2,2023-R1,2023,QB,C.J. Stroud,$7.25,$7.25,$23.75,,,,$3.75,$6.00,,1
Kevin,2,2024-R1,2024,QB,Drake Maye,$7.50,$7.50,$7.50,,,,$3.75,$2.00,,1
Kevin,2,FM,2024,RB,David Montgomery,$21.50,$21.50,$21.50,,,,$10.75,$5.50,,1
Kevin,2,UFA,2025,RB,Isaiah Davis,$2.00,$2.00,$2.00,,,,$1.00,$0.50,,1
Kevin,2,2023-R1,2023,RB,Jahmyr Gibbs,$7.75,$7.75,$23.50,,,,$4.00,$6.00,,1
Kevin,2,UFA,2023,RB,Jerome Ford,$4.50,$4.50,$4.50,,,,$2.25,$1.25,,1
Kevin,1,UFA,2025,RB,Kareem Hunt,$9.50,$9.50,,,,,$4.75,,,1
Kevin,1,UFA,2022,RB,Saquon Barkley,$33.50,$33.50,,,,,$16.75,,,1
Kevin,2,RFA,2025,TE,Brenton Strange,$9.25,$9.25,$9.25,,,,$4.75,$2.25,,1
Kevin,3,FM,2024,TE,Travis Kelce,$18.00,$18.00,$18.00,$18.00,,,$9.00,$18.00,,1
Kevin,3,FM,2024,WR,Amon-Ra St. Brown,$46.50,$46.50,$46.50,$46.50,,,$23.25,$46.50,,1
Kevin,3,UFA/Rstr2024,2024,WR,Chris Godwin,$22.00,$11.00,$11.00,$11.00,,,$5.50,$11.00,,1
Kevin,3,2025-R1,2025,WR,Emeka Egbuka,$7.25,$7.25,$7.25,$7.25,,,$3.75,$7.25,,1
Kevin-TS,3,2025-R2,2025,WR,Jayden Higgins,$6.00,$6.00,$6.00,$6.00,,,$3.00,$6.00,,1
Kevin,1,2023-R2,2023,WR,Josh Downs,$3.50,$3.50,,,,,$1.75,,,1
Kevin,2,FM,2025,WR,Keenan Allen,$5.25,$5.25,$5.25,,,,$2.75,$1.25,,1
Kevin,2,2024-R1,2024,WR,Ladd McConkey,$7.00,$7.00,$7.00,,,,$3.50,$1.75,,1
Kevin,1,2023-R4,2023,WR,Puka Nacua,$1.00,$1.00,,,,,$0.50,,,1
Kevin,3,2025-R4,2025,WR,Savion Williams,$1.00,$1.00,$1.00,$1.00,,,$0.50,$1.00,,1
Kevin,2,2024-R1,2024,WR,Xavier Worthy,$7.25,$7.25,$7.25,,,,$3.75,$1.75,,1
Kevin-TS,2,2024-R2,2024,RB,Blake Corum,$5.75,$5.75,$5.75,,,,$3.00,$1.50,,1
Kevin-TS,3,2025-R3,2025,RB,Brashard Smith,$2.75,$2.75,$2.75,$2.75,,,$1.50,$2.75,,1
