league_id,name,season
1073689516336119808,The Dynasty League,2024
1068009064141062144,"Mo Money, Mo Contracts",2024
1119014965844770816,Barrels and Drams,2024
1207453765716692992,The Dynasty League,2025
1207451952707813376,"Mo Money, Mo Contracts",2025
1207453765716692992,The Dynasty League,2025
1207451952707813376,"Mo Money, Mo Contracts",2025
1207453765716692992,The Dynasty League,2025
1207451952707813376,"Mo Money, Mo Contracts",2025
1073689516336119808,The Dynasty League,2024
1068009064141062144,"Mo Money, Mo Contracts",2024
1119014965844770816,Barrels and Drams,2024
993378040933564416,"Sex, Drugs, and Fantasy Football",2023
941950843643863040,The Dynasty League,2023
942315883328843776,"Mo Money, Mo Contracts",2023
859952155191279616,"Sex, Drugs, and Fantasy Football",2022
830578719792963584,The Dynasty League,2022
806801792825397248,"Mo Money, Mo Contracts",2022
723777975434158080,The Dynasty League,2021
650070203996131328,"Mo Money, Mo Contracts",2021
594416924201373696,"Mo Money, Mo Contracts",2020
452281998677897216,Trade Enthusiasts,2019
1207453765716692992,The Dynasty League,2025
1207451952707813376,"Mo Money, Mo Contracts",2025
1073689516336119808,The Dynasty League,2024
1068009064141062144,"Mo Money, Mo Contracts",2024
1119014965844770816,Barrels and Drams,2024
993378040933564416,"Sex, Drugs, and Fantasy Football",2023
941950843643863040,The Dynasty League,2023
942315883328843776,"Mo Money, Mo Contracts",2023
859952155191279616,"Sex, Drugs, and Fantasy Football",2022
830578719792963584,The Dynasty League,2022
806801792825397248,"Mo Money, Mo Contracts",2022
723777975434158080,The Dynasty League,2021
650070203996131328,"Mo Money, Mo Contracts",2021
594416924201373696,"Mo Money, Mo Contracts",2020
452281998677897216,Trade Enthusiasts,2019
