status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4082,drops_5947,adds_4224,drops_6788,adds_3363,drops_2330,adds_3166,drops_5348,adds_7627,drops_6124,adds_2307,drops_4033,drops_3172,adds_6911,drops_6711,drops,adds_8228,drops_8339,drops_5038,drops_8168,adds_7670,drops_8153,drops_2431,adds_3423,drops_4017,adds_4427,drops_4077,adds_2251,drops_5056,drops_8118,adds_4055,drops_8130,drops_8167,adds_6845,metadata,settings,adds_1825,adds_1905,adds_2064,drops_3222,adds_6711,drops_4427,adds_1387,adds_5284,drops_4454,adds_6951,drops_6847,adds_4973,drops_2078,adds_2078,drops_5857,adds_2330,drops_8290,adds_6124,drops_7627,adds_5928,drops_7585,adds_7666,drops_8160,adds_6125,drops_4152,adds_6847,drops_1825,adds_4197,drops_8205,adds_5944,drops_3291,adds_3291,adds,drops_5030,adds_830,adds_4032,drops_8289,adds_2749,drops_8230,adds_2431,adds_3242,drops_1067,adds_8230,drops_4602,adds_8121,drops_2307,adds_3222,drops_4981,adds_7066,drops_3303,adds_3233,drops_6128,adds_8205,drops_5944,adds_3230,drops_2036,adds_2389,drops_8355,adds_947,adds_2353,drops_8121,adds_4110,drops_4063,adds_367,drops_7594,adds_5056,drops_6809,adds_3202,drops_3233,adds_956,drops_5052,adds_3163,drops_4965
failed,waiver,1663134356083,1,[],862499213718704128,875652592045305856,[11],[11],1663139185849,[],This player was claimed by another owner.,5.0,5.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663134246534,1,[],862499213718704128,875652132563685376,[11],[11],1663139185849,[],Your waiver claim was processed successfully!,22.0,0.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663134217464,1,[],862499213718704128,875652010635202560,[11],[11],1663139185849,[],This player was claimed by another owner.,21.0,0.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663134175371,1,[],862499213718704128,875651834084229120,[11],[11],1663139185849,[],This player was claimed by another owner.,20.0,0.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663134079891,1,[],862499213718704128,875651433612189696,[11],[11],1663139185849,[],Your waiver claim was processed successfully!,19.0,0.0,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663133926701,1,[],862499213718704128,875650791086718976,[11],[11],1663139185849,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663132661084,1,[],451807541647634432,875645482704326656,[1],[1],1663139185849,[],Your waiver claim was processed successfully!,17.0,0.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663132623978,1,[],451807541647634432,875645327070572544,[1],[1],1663139185849,[],Your waiver claim was processed successfully!,11.0,0.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663131147877,1,[],548317142968336384,875639135854157824,[8],[8],1663139185849,[],Your waiver claim was processed successfully!,6.0,5.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663126495511,1,[],861798755085692928,875619622416707584,[9],[9],1663139185849,[],This player was claimed by another owner.,15.0,0.0,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
