status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3214,drops_4180,drops,adds_4976,adds_8167,drops_8150,adds_7113,drops_2036,adds_5248,drops_2161,adds_4017,drops_4177,settings_priority,adds_7757,metadata,settings,adds,drops_1192,drops_8112,adds_4081,drops_6291,adds_6807,drops_5334,adds_5880,adds_6149,adds_6880,drops_4033,drops_7666,adds_1837,drops_96,drops_4381,drops_4066,adds_5348,drops_2353,drops_2711,adds_5847,drops_4036,adds_6996,adds_7569,drops_5880,adds_3163,adds_7672,drops_4335,drops_2505,drops_8121,drops_1837,adds_5985,drops_7002,adds_4191,adds_4118,drops_5348,adds_5876,adds_2353,drops_5248,adds_843,drops_2319,adds_5893,drops_4427,adds_4980,drops_5894,adds_2311,drops_7627,adds_3256,drops_7527,adds_1233,drops_3423,adds_8228,drops_6220,adds_1737,drops_5959,drops_8131,adds_7002,drops_3214,drops_6880,adds_5334,drops_6807
complete,waiver,1668571686532,10,[],558483388996636672,898458408897056768,[3],[3],1668586017369,[],Your waiver claim was processed successfully!,6.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668571404847,10,[],558483388996636672,898457227424362496,[3],[3],1668586017369,[],Your waiver claim was processed successfully!,9.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668569964544,10,[],451807541647634432,898451186355912704,[1],[1],1668586017369,[],Your waiver claim was processed successfully!,0.0,69.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668566387270,10,[],862559746694205440,898436182181187584,[13],[13],1668586017369,[],Your waiver claim was processed successfully!,16.0,1.0,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668565817494,10,[],862559746694205440,898433792367439872,[13],[13],1668586017369,[],This player was claimed by another owner.,15.0,1.0,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668565657463,10,[],862559746694205440,898433121148776448,[13],[13],1668586017369,[],Your waiver claim was processed successfully!,12.0,1.0,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1668565077543,10,[],595464158774878208,898430688788090880,[7],[7],1668586017369,[],Your waiver claim was processed successfully!,18.0,0.0,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668565062846,10,[],595464158774878208,898430627144208384,[7],[7],1668586017369,[],This player was claimed by another owner.,17.0,0.0,,,,,7.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1668565050309,10,[],595464158774878208,898430574560292864,[7],[7],1668586017369,[],This player was claimed by another owner.,20.0,0.0,,,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668564950393,10,[],595464158774878208,898430155482079232,[7],[7],1668564950393,[],,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
