status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7023,drops_3166,adds_4381,drops_5010,adds_8119,drops_6847,adds_3558,drops_5154,adds_3174,adds_4066,drops_5985,adds_4177,drops_1837,drops,adds_4147,adds_24,drops_3163,metadata,settings,adds,drops_533,adds_6938,drops_8228,drops_6853,adds_5347,drops_6996,adds_533,drops_5347,adds_7049,drops_6886,adds_2036,drops_1737,adds_4033,drops_871,drops_8119,adds_7002,drops_5871,adds_5154,adds_8150,drops_6951,adds_5334,adds_5133,drops_4602,adds_3634,drops_3160,adds_2711,adds_5580,drops_5332,adds_8160,drops_2306,drops_4449,adds_5880,drops_3202,adds_8130,drops_5857
complete,waiver,1669181914828,11,[],862559746694205440,901017891879776256,[13],[13],1669190844464,[],Your waiver claim was processed successfully!,8.0,1.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669181828508,11,[],862559746694205440,901017529827356672,[13],[13],1669190844464,[],This player was claimed by another owner.,7.0,1.0,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669181756057,11,[],862559746694205440,901017225945968640,[13],[13],1669190844464,[],Your waiver claim was processed successfully!,5.0,1.0,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669167375425,11,[],862499213718704128,900956909203554304,[11],[11],1669190844464,[],"Unfortunately, your roster will have too many players after this transaction.",13.0,0.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669167367213,11,[],862499213718704128,900956874759979008,[11],[11],1669190844464,[],Your waiver claim was processed successfully!,9.0,0.0,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669163392085,11,[],578293895956312064,900940201864634368,[14],[14],1669190844464,[],Your waiver claim was processed successfully!,6.0,1.0,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669163281247,11,[],578293895956312064,900939736976441344,[14],[14],1669190844464,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669153075557,11,[],561715408029736960,900896931210182656,[10],[10],1669190844464,[],This player was claimed by another owner.,14.0,0.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669153031886,11,[],561715408029736960,900896748040732672,[10],[10],1669190844464,[],Your waiver claim was processed successfully!,10.0,0.0,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669148276193,11,[],453691856656527360,900876801218322432,[15],[15],1669148276193,[],,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669147847988,11,[],548317142968336384,900875005196603392,[8],[8],1669190844464,[],Your waiver claim was processed successfully!,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669147830167,11,[],548317142968336384,900874930449723392,[8],[8],1669190844464,[],This player was claimed by another owner.,1.0,14.0,,,,,,,,,,,,,,,8.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669031668758,11,[],830975786608619520,900387714187505664,[12],[12],1669190844464,[],Your waiver claim was processed successfully!,3.0,5.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669008978405,11,[],861798755085692928,900292543949144064,[9],[9],1669190844464,[],Your waiver claim was processed successfully!,0.0,20.0,,,,,,,,,,,,,,,9.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669008934469,11,[],861798755085692928,900292359668195328,[9],[9],1669190844464,[],Your waiver claim was processed successfully!,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669008891931,11,[],861798755085692928,900292181250867200,[9],[9],1669190844464,[],This player was claimed by another owner.,11.0,0.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668979470931,11,[],453691856656527360,900168780632801280,[15],[15],1668979470931,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668979405073,11,[],453691856656527360,900168504404332544,[15],[15],1668979405073,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668965487529,11,[],451807541647634432,900110129993859072,[1],[1],1668965487529,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668961858195,11,[],741144911407095808,900094907463745536,[6],[6],1668961858195,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668955033172,11,[],830975786608619520,900066281242378240,[12],[12],1668955033172,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668925983396,11,[],548317142968336384,899944437650702336,[8],[8],1668925983396,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668924489437,11,[],862881247247052800,899938171532492800,[16],[16],1668924489437,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1668924426530,11,[],862881247247052800,899937907681411072,[16],[16],1668924426530,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1668914855678,11,[],862499213718704128,899897764618584064,[11],[11],1668914855678,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
complete,free_agent,1668794673348,11,[],595464158774878208,899393683391135744,[7],[7],1668794673348,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,
complete,free_agent,1668794424917,11,[],595464158774878208,899392641395998720,[7],[7],1668794424917,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
complete,free_agent,1668729998792,11,[],451807541647634432,899122418642305024,[1],[1],1668729998792,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
complete,free_agent,1668729618643,11,[],830975786608619520,899120824181833728,[12],[12],1668729618643,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,
complete,free_agent,1668729444915,11,[],741144911407095808,899120095513788416,[6],[6],1668729444915,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
complete,free_agent,1668720920329,11,[],561715408029736960,899084340808531968,[10],[10],1668720920329,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,
complete,free_agent,1668717210389,11,[],862881247247052800,899068780192350208,[16],[16],1668717210389,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,,,,
complete,free_agent,1668633456145,11,[],453691856656527360,898717489431724032,[15],[15],1668633456145,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
