status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6886,drops_8168,adds_8122,adds_8266,drops_7565,adds_8363,adds_7651,drops_2330,adds_5332,drops_8112,metadata,settings,adds,drops_1992,adds_6996,drops_5347,drops,adds_3163,drops_3257,drops_5916,adds_7551,drops_7561,adds_6885,adds_8168,adds_3271,drops_5133,adds_4136,drops_7594,adds_2359,drops_5056,adds_6847,adds_3257,adds_7210,drops_7757,adds_1837,drops_5248,drops_3271,drops_1339,adds_7136,drops_6291,drops_2320,adds_8138,adds_4602,drops_5876,drops_3156,drops_6820,drops_24,drops_5655
complete,waiver,1669789943621,12,[],548317142968336384,903568149478277120,[8],[8],1669795646765,[],Your waiver claim was processed successfully!,9.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669789910828,12,[],548317142968336384,903568011934633984,[8],[8],1669795646765,[],This player was claimed by another owner.,3.0,8.0,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669789839419,12,[],548317142968336384,903567712423530496,[8],[8],1669795646765,[],"Unfortunately, your roster will have too many players after this transaction.",8.0,0.0,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669789749442,12,[],548317142968336384,903567335032692736,[8],[8],1669795646765,[],Your waiver claim was processed successfully!,7.0,1.0,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669789728828,12,[],548317142968336384,903567248571260928,[8],[8],1669795646765,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,1.0,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669789713720,12,[],548317142968336384,903567185203699712,[8],[8],1669795646765,[],Your waiver claim was processed successfully!,5.0,4.0,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669781470356,12,[],578293895956312064,903532610029182976,[14],[14],1669795646765,[],Your waiver claim was processed successfully!,1.0,38.0,,,14.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669760366653,12,[],453691856656527360,903444094683070464,[15],[15],1669760366653,[],,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669758828549,12,[],861798755085692928,903437643407441920,[9],[9],1669795646765,[],Your waiver claim was processed successfully!,2.0,8.0,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1669741009894,12,[],453691856656527360,903362906551521280,[15],[15],1669795646765,[],This player was claimed by another owner.,4.0,7.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669740851980,12,[],453691856656527360,903362244212043776,[15],[15],1669740851980,[],,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1669734135751,12,[],861702367484178432,903334074306121728,[2],[2],1669795646765,[],Your waiver claim was processed successfully!,0.0,50.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669596480320,12,[],453691856656527360,902756705581117440,[15],[15],1669596480320,[],,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669591627011,12,[],558483388996636672,902736349327765504,[3],[3],1669591627011,[],,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669567465468,12,[],595464158774878208,902635008471314432,[7],[7],1669567465468,[],,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669566864305,12,[],548317142968336384,902632487010938880,[8],[8],1669566864305,[],,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669564155411,12,[],451807541647634432,902621125085999104,[1],[1],1669564155411,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669560559324,12,[],862499213718704128,902606042003812352,[11],[11],1669560559324,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669557172124,12,[],595464158774878208,902591835057303552,[7],[7],1669557172124,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669501519244,12,[],561747196680642560,902358409960108032,[5],[5],1669501519244,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1669411250625,12,[],453691856656527360,901979795930361856,[15],[15],1669411250625,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
complete,free_agent,1669411219909,12,[],453691856656527360,901979667098120192,[15],[15],1669411219909,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,
complete,free_agent,1669410969121,12,[],595464158774878208,901978615217008640,[7],[7],1669410969121,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,
failed,waiver,1669328171580,12,[],453691856656527360,901631337159712768,[15],[15],1669360598618,[],This player was claimed by another owner.,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,
complete,free_agent,1669299611923,12,[],830975786608619520,901511549276106752,[12],[12],1669299611923,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
complete,free_agent,1669299600476,12,[],830975786608619520,901511501263908864,[12],[12],1669299600476,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
complete,free_agent,1669297195987,12,[],578293895956312064,901501416105979904,[14],[14],1669297195987,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,
complete,free_agent,1669293410784,12,[],741144911407095808,901485539813896192,[6],[6],1669293410784,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
complete,free_agent,1669264072915,12,[],561715408029736960,901362487872598016,[10],[10],1669264072915,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
failed,waiver,1669247065393,12,[],595464158774878208,901291153155186688,[7],[7],1669360598618,[],This player was claimed by another owner.,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,
complete,free_agent,1669226473416,12,[],594730254984077312,901204784143540224,[4],[4],1669226473416,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
complete,free_agent,1669226434415,12,[],558483388996636672,901204620561489920,[3],[3],1669226434415,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
complete,free_agent,1669225957953,12,[],558483388996636672,901202622135017472,[3],[3],1669225957953,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
complete,waiver,1669221677755,12,[],561715408029736960,901184669683499008,[10],[10],1669360598618,[],Your waiver claim was processed successfully!,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,
complete,free_agent,1669208365650,12,[],453691856656527360,901128834668175360,[15],[15],1669208365650,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
