status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8183,drops_3256,adds_8289,drops_4032,adds_6781,drops_96,adds_8314,drops_6291,adds_5857,drops_7601,adds_4951,drops_2359,drops_6853,adds_4177,adds_4036,adds_3399,drops_7136,adds_6125,drops_3172,adds_6931,drops_3242,drops_4993,drops_1837,drops_6782,metadata,settings,adds_6850,drops_5032,adds_7527,drops_421,drops,adds_2353,adds_6809,drops_544,adds_2359,drops_4177,adds,drops_6885,drops_7210,adds_6291,drops_4081,adds_7787,drops_6781,adds_8219,drops_2036,adds_2445,adds_7651,drops_5580,adds_5032,drops_3271,adds_5876,drops_5893,adds_5985,adds_8228,drops_7090,adds_6853,adds_5089,drops_6847,drops_7551,drops_6955,adds_5133,drops_5010,adds_8112,drops_8119
failed,waiver,1670374674881,13,[],595464158774878208,906020690141126656,[7],[7],1670400442151,[],This player was claimed by another owner.,10.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670365135342,13,[],561747196680642560,905980678414532608,[5],[5],1670400442151,[],Your waiver claim was processed successfully!,15.0,0.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670365114173,13,[],561747196680642560,905980589625372672,[5],[5],1670400442151,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670365084437,13,[],561747196680642560,905980464903565312,[5],[5],1670400442151,[],Your waiver claim was processed successfully!,9.0,1.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670365016827,13,[],561747196680642560,905980181326553088,[5],[5],1670400442151,[],Your waiver claim was processed successfully!,6.0,3.0,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670355778954,13,[],578293895956312064,905941434879008768,[14],[14],1670400442151,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1670355699902,13,[],453691856656527360,905941103310721024,[15],[15],1670400442151,[],"Unfortunately, your roster will have too many players after this transaction.",12.0,0.0,,,,,,,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670355624769,13,[],453691856656527360,905940788180205568,[15],[15],1670400442151,[],Your waiver claim was processed successfully!,4.0,5.0,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1670342000514,13,[],578293895956312064,905883643912855552,[14],[14],1670400442151,[],This player was claimed by another owner.,5.0,4.0,,,,,,,,,,,,14.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670341865532,13,[],578293895956312064,905883077757435904,[14],[14],1670400442151,[],Your waiver claim was processed successfully!,7.0,3.0,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670341432796,13,[],578293895956312064,905881262730932224,[14],[14],1670400442151,[],Your waiver claim was processed successfully!,8.0,2.0,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670303492187,13,[],861798755085692928,905722128283041792,[9],[9],1670400442151,[],Your waiver claim was processed successfully!,0.0,18.0,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670303471443,13,[],861798755085692928,905722041276362752,[9],[9],1670400442151,[],Your waiver claim was processed successfully!,3.0,6.0,,,,,,,,,,,,,,,9.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1670300376444,13,[],561715408029736960,905709059909828608,[10],[10],1670400442151,[],This player was claimed by another owner.,2.0,13.0,10.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670240900671,13,[],830975786608619520,905459600437133312,[12],[12],1670400442151,[],Your waiver claim was processed successfully!,1.0,15.0,12.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670173118899,13,[],451807541647634432,905175303079575552,[1],[1],1670173118899,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670116401101,13,[],561715408029736960,904937411392638976,[10],[10],1670400442151,[],Your waiver claim was processed successfully!,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670112788252,13,[],453691856656527360,904922258005442560,[15],[15],1670112788252,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670111761259,13,[],558483388996636672,904917950484594688,[3],[3],1670111761259,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670087050156,13,[],578293895956312064,904814304606642176,[14],[14],1670112413997,[],Your waiver claim was processed successfully!,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669942828651,13,[],595464158774878208,904209395771219968,[7],[7],1669942828651,[],,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669942821608,13,[],595464158774878208,904209366230736896,[7],[7],1669942821608,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669942815994,13,[],595464158774878208,904209342683914240,[7],[7],1669942815994,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669942746365,13,[],561747196680642560,904209050638721024,[5],[5],1669942746365,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669942627487,13,[],830975786608619520,904208552028250112,[12],[12],1669942627487,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669940891692,13,[],741144911407095808,904201271576338432,[6],[6],1669940891692,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1669940654005,13,[],561715408029736960,904200274644799488,[10],[10],1669940654005,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1669940449576,13,[],561715408029736960,904199417207431168,[10],[10],1669940449576,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,
complete,free_agent,1669876259673,13,[],451807541647634432,903930185240428544,[1],[1],1669876259673,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
complete,free_agent,1669876193163,13,[],451807541647634432,903929906277269504,[1],[1],1669876193163,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
complete,free_agent,1669844114105,13,[],862881247247052800,903795356955983872,[16],[16],1669844114105,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,
complete,free_agent,1669843815688,13,[],862881247247052800,903794105304367104,[16],[16],1669843815688,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,
complete,free_agent,1669843781123,13,[],862881247247052800,903793960328249344,[16],[16],1669843781123,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,
complete,free_agent,1669840312451,13,[],453691856656527360,903779411663405056,[15],[15],1669840312451,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
complete,free_agent,1669824615947,13,[],453691856656527360,903713575753891840,[15],[15],1669824615947,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,
complete,free_agent,1669824536897,13,[],453691856656527360,903713244194160640,[15],[15],1669824536897,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,
complete,free_agent,1669824064573,13,[],453691856656527360,903711263123718144,[15],[15],1669824064573,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
complete,free_agent,1669822345123,13,[],548317142968336384,903704051227705344,[8],[8],1669822345123,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
complete,free_agent,1669819225102,13,[],862559746694205440,903690964911144960,[13],[13],1669819225102,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,
complete,waiver,1669819177913,13,[],862559746694205440,903690766986219520,[13],[13],1669965399657,[],Your waiver claim was processed successfully!,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0
