status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7594,drops_5872,adds_6920,drops_8341,drops_6996,drops_6927,adds_4032,drops_7113,adds_5947,drops_8112,adds_8135,drops_7083,drops,adds_4892,metadata,settings,adds,drops_6984,adds_533,settings_priority,drops_3256,adds_4976,adds_2064,adds_3156,adds_2036,drops_957,adds_7045,drops_2036,adds_5318,drops_7012,drops_8219,adds_8341,drops_6931,adds_3558,drops_5871,adds_8225,drops_6850,adds_6125,drops_2197,drops_7606,adds_1343,drops_1213,adds_3202,drops_7601,adds_6927,drops_5947,adds_5154,drops_2307,adds_7601,drops_2064,drops_4976,adds_5297,drops_8135,drops_5928,adds_3256,drops_6125,adds_4081,drops_3399,adds_6012,drops_8150,adds_8210,drops_5248,adds_7757,drops_7049,adds_6291,drops_2445,adds_5061,drops_4168,adds_6984,adds_7083,drops_6886,adds_4136,drops_8323,adds_5871,drops_2427,adds_5056,drops_3174,adds_5655,drops_4136,adds_3271,drops_1343,drops_5209
complete,waiver,1671000895333,14,[],862499213718704128,908647249087893504,[11],[11],1671005244453,[],Your waiver claim was processed successfully!,0.0,40.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671000792993,14,[],861798755085692928,908646819842719744,[9],[9],1671005244453,[],This player was claimed by another owner.,9.0,1.0,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671000753087,14,[],861798755085692928,908646652464865280,[9],[9],1671005244453,[],This player was claimed by another owner.,3.0,5.0,9.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671000752314,14,[],862499213718704128,908646649222553600,[11],[11],1671005244453,[],Your waiver claim was processed successfully!,2.0,10.0,,,11.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670991184212,14,[],862559746694205440,908606517694128128,[13],[13],1671005244453,[],Your waiver claim was processed successfully!,8.0,2.0,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670991137121,14,[],862559746694205440,908606320180236288,[13],[13],1671005244453,[],Your waiver claim was processed successfully!,7.0,2.0,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670987154328,14,[],548317142968336384,908589615135612928,[8],[8],1671005244453,[],Your waiver claim was processed successfully!,1.0,11.0,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670979864417,14,[],595464158774878208,908559039032664064,[7],[7],1671005244453,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1670979838088,14,[],595464158774878208,908558928600776704,[7],[7],1670979838088,[],,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1670979102377,14,[],595464158774878208,908555842805358592,[7],[7],1671005244453,[],Your waiver claim was processed successfully!,10.0,0.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
