status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_2505,drops_5133,adds_8119,drops_5880,adds_2330,drops_5655,adds_7635,drops_3558,drops_7569,adds_6845,drops_8116,settings_priority,adds_3172,drops_4976,drops_6807,adds_2427,adds_7113,adds_3399,drops_4081,drops_4973,drops,metadata,settings,adds_2064,adds_8323,adds_5580,drops_2353,adds,drops_3233,adds_7596,adds_2617,drops_7651,adds_8112,drops_4177,adds_96,drops_5089,drops_2227,adds_5032,drops_5348,adds_8116,drops_7635,drops_5154
failed,waiver,1671601070897,15,[],862559746694205440,911164567856877568,[13],[13],1671610042531,[],This player was claimed by another owner.,3.0,8.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671589146800,15,[],862499213718704128,911114554568994816,[11],[11],1671610042531,[],This player was claimed by another owner.,12.0,0.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671589072918,15,[],862499213718704128,911114244685639680,[11],[11],1671610042531,[],This player was claimed by another owner.,11.0,0.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671588864444,15,[],862499213718704128,911113370282278912,[11],[11],1671610042531,[],Your waiver claim was processed successfully!,10.0,0.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671588836599,15,[],862499213718704128,911113253491826688,[11],[11],1671610042531,[],Your waiver claim was processed successfully!,9.0,0.0,,,11.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671588792100,15,[],862499213718704128,911113066849435648,[11],[11],1671610042531,[],Your waiver claim was processed successfully!,0.0,32.0,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671582658508,15,[],578293895956312064,911087340699967488,[14],[14],1671610042531,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,,,,,,1.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1671582642402,15,[],578293895956312064,911087273146482688,[14],[14],1671610042531,[],Your waiver claim was processed successfully!,4.0,7.0,,,,,14.0,,,,,,,0.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671577613427,15,[],578293895956312064,911066180096659456,[14],[14],1671610042531,[],"Unfortunately, your roster will have too many players after this transaction.",7.0,3.0,,,,,,,,,,,,3.0,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1671577583504,15,[],578293895956312064,911066054590476288,[14],[14],1671610042531,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,3.0,,,,,,,,,,,,2.0,,14.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
