status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3160,drops_5880,adds_4999,drops_5056,metadata,settings,adds,drops_5655,adds_2197,drops_6012,adds_1192,drops_4118,drops_8129,drops,adds_6011,adds_3233,drops_5071,adds_7551,drops_4892,adds_7562,drops_5955,drops_6996,drops_533
complete,waiver,1672187614307,16,[],862499213718704128,913624709227577344,[11],[11],1672214825959,[],Your waiver claim was processed successfully!,1.0,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1672037657279,16,[],862499213718704128,912995743865290752,[11],[11],1672214825959,[],Your waiver claim was processed successfully!,0.0,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1671903372090,16,[],862499213718704128,912432510959800320,[11],[11],1671903372090,[],,,,,,,,,,,11.0,,,,,,,,,,,,,,,
complete,free_agent,1671900566726,16,[],595464158774878208,912420744406159360,[7],[7],1671900566726,[],,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,
complete,free_agent,1671822975424,16,[],862499213718704128,912095302901944320,[11],[11],1671822975424,[],,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,
complete,free_agent,1671780870044,16,[],862881247247052800,911918700138188800,[16],[16],1671780870044,[],,,,,,,,,,,,,,,,16.0,,,,,,,,,,
complete,free_agent,1671767787663,16,[],558483388996636672,911863828655296512,[3],[3],1671767787663,[],,,,,,,,,,,,,,,,,,3.0,,,,,,,,
complete,free_agent,1671755659979,16,[],861702367484178432,911812961461784576,[2],[2],1671755659979,[],,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,
complete,free_agent,1671715713163,16,[],595464158774878208,911645412371550208,[7],[7],1671715713163,[],,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,
complete,free_agent,1671689782088,16,[],861798755085692928,911536649559953408,[9],[9],1671689782088,[],,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,
complete,free_agent,1671689684027,16,[],861798755085692928,911536238262308864,[9],[9],1671689684027,[],,,,,,,,,,,,,,,,,,,,,,,,,9.0,
complete,free_agent,1671630723483,16,[],595464158774878208,911288939816767488,[7],[7],1671630723483,[],,,,,,,,,,,,,,,,,,,,,,,,,,7.0
