status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5520,drops_4224,adds_7637,drops_7113,adds_6065,drops_5348,adds_5970,drops_7066,drops,adds_4234,adds_3200,adds_4973,drops_7523,adds_1837,drops_1352,drops_4892,adds_7811,drops_3233,metadata,settings,adds_6056,drops_367,adds_2410,drops_7606,adds_6911,drops_6711,adds_1905,adds_5960,drops_4032,adds_4191,adds,drops_830,adds_7569,adds_6826,drops_8168,adds_6711,drops_6911,adds_5882,adds_2251,drops_6826,drops_1905,adds_4036,drops_8339,adds_4091,drops_4056,adds_3172,drops_4063,adds_4063,drops_8139,adds_7113,drops_2330,adds_4381,drops_4973
complete,waiver,1663742674406,2,[],862499213718704128,878204064020946944,[11],[11],1663744002291,[],Your waiver claim was processed successfully!,9.0,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663742354406,2,[],862499213718704128,878202721843490816,[11],[11],1663744002291,[],Your waiver claim was processed successfully!,8.0,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663742219063,2,[],862499213718704128,878202154173874176,[11],[11],1663744002291,[],Your waiver claim was processed successfully!,7.0,1.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663741998489,2,[],862499213718704128,878201229019480064,[11],[11],1663744002291,[],Your waiver claim was processed successfully!,2.0,5.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663716941047,2,[],594730254984077312,878096130490224640,[4],[4],1663744002291,[],Your waiver claim was processed successfully!,1.0,6.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663716914725,2,[],594730254984077312,878096020087824384,[4],[4],1663744002291,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663713311729,2,[],561747196680642560,878080908027162624,[5],[5],1663744002291,[],Your waiver claim was processed successfully!,6.0,3.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663705045544,2,[],741144911407095808,878046237134323712,[6],[6],1663744002291,[],Your waiver claim was processed successfully!,0.0,10.0,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1663687198248,2,[],578293895956312064,877971380149522432,[14],[14],1663744002291,[],This player was claimed by another owner.,4.0,4.0,,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1663589275168,2,[],741144911407095808,877560660983185408,[6],[6],1663744002291,[],Your waiver claim was processed successfully!,3.0,5.0,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
