status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4978,drops_7651,adds_5056,adds_7113,adds_6141,adds_7066,drops_3200,adds_4080,adds_1352,drops,adds_4962,adds_1387,adds_7677,adds_4033,drops_4066,drops_6826,drops_6951,adds_4602,drops_6843,adds_4574,drops_1837,metadata,settings,adds,drops_8110,settings_priority,adds_8314,drops_4135,drops_5041,drops_2227,drops_3202,adds_6847,drops_5917,drops_956,drops_3214,adds_8110,adds_7823,drops_7666,adds_3200,drops_8228,adds_6788,drops_3242,adds_5133,drops_4381,adds_8408,adds_8139,drops_1387,adds_7012,drops_1213,adds_7647,drops_4967,adds_7523,drops_4892,adds_4066,drops_7569,adds_3233,drops_6872,adds_4063,drops_2311,adds_2036,drops_3172,adds_3303,drops_2410,adds_6711,drops_6911,drops_7601
failed,waiver,1664341770532,3,[],548317142968336384,880716855298469888,[8],[8],1664348823348,[],"Unfortunately, your roster will have too many players after this transaction.",22.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664341750578,3,[],548317142968336384,880716771605352448,[8],[8],1664348823348,[],"Unfortunately, your roster will have too many players after this transaction.",21.0,0.0,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664341745269,3,[],548317142968336384,880716749337841664,[8],[8],1664348823348,[],This player was claimed by another owner.,20.0,0.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664341725247,3,[],548317142968336384,880716665359482880,[8],[8],1664348823348,[],Your waiver claim was processed successfully!,8.0,2.0,,8.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664341642655,3,[],548317142968336384,880716318943637504,[8],[8],1664348823348,[],"Unfortunately, your roster will have too many players after this transaction.",19.0,0.0,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664341635296,3,[],548317142968336384,880716288077697024,[8],[8],1664348823348,[],Your waiver claim was processed successfully!,7.0,2.0,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664341611209,3,[],548317142968336384,880716187049390080,[8],[8],1664348823348,[],This player was claimed by another owner.,6.0,4.0,,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664338109484,3,[],558483388996636672,880701499750313984,[3],[3],1664348823348,[],"Unfortunately, your roster will have too many players after this transaction.",11.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664337988946,3,[],558483388996636672,880700994177298432,[3],[3],1664348823348,[],Your waiver claim was processed successfully!,2.0,11.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664337842106,3,[],453691856656527360,880700378285608960,[15],[15],1664348823348,[],Your waiver claim was processed successfully!,17.0,0.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664337561855,3,[],453691856656527360,880699202827636736,[15],[15],1664348823348,[],This player was claimed by another owner.,3.0,11.0,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664330658897,3,[],594730254984077312,880670249723351040,[4],[4],1664348823348,[],Your waiver claim was processed successfully!,4.0,11.0,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664326385137,3,[],595464158774878208,880652324274647040,[7],[7],1664348823348,[],This player was claimed by another owner.,18.0,0.0,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664302129941,3,[],561747196680642560,880550590609203200,[5],[5],1664348823348,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,7.0,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664302118798,3,[],561747196680642560,880550543871954944,[5],[5],1664348823348,[],Your waiver claim was processed successfully!,0.0,14.0,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664301648930,3,[],741144911407095808,880548573102723072,[6],[6],1664348823348,[],Your waiver claim was processed successfully!,10.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1664298581049,3,[],453691856656527360,880535705477328896,[15],[15],1664298581049,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664297828731,3,[],862559746694205440,880532550026731520,[13],[13],1664348823348,[],Your waiver claim was processed successfully!,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664297721323,3,[],862559746694205440,880532099525046272,[13],[13],1664348823348,[],This player was claimed by another owner.,15.0,1.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,4.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664297659521,3,[],862559746694205440,880531840308740096,[13],[13],1664348823348,[],Your waiver claim was processed successfully!,14.0,1.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664297449094,3,[],862559746694205440,880530957713879040,[13],[13],1664348823348,[],This player was claimed by another owner.,12.0,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,1.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664297393807,3,[],862559746694205440,880530725823373312,[13],[13],1664348823348,[],Your waiver claim was processed successfully!,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
