status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8160,drops_4574,adds_1373,adds_5209,drops_4131,adds_7117,drops_8314,adds_5334,drops_5041,adds_5010,drops_3202,drops,adds_3423,adds_1476,drops_6951,adds_7601,drops_4080,drops_24,drops_7527,metadata,settings,adds_2750,adds_2592,adds_2251,drops_3214,adds_4171,adds_4177,drops_3423,adds_6120,drops_8167,adds_5056,drops_4110,adds,drops_8408,adds_4381,drops_5536,adds_4118,drops_6065,adds_4978,drops_7637,adds_5137,drops_7567,drops_4191,adds_2227,drops_7677,drops_1825,adds_7662,drops_5017,adds_4602,drops_2251,adds_5346,drops_3363,adds_1213,drops_6711,drops_3303,drops_8139
complete,waiver,1664939895839,4,[],741144911407095808,883225574666219520,[6],[6],1664953641290,[],Your waiver claim was processed successfully!,6.0,2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664939834136,4,[],741144911407095808,883225315865128960,[6],[6],1664953641290,[],This player was claimed by another owner.,8.0,1.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664937032379,4,[],594730254984077312,883213564444540928,[4],[4],1664953641290,[],Your waiver claim was processed successfully!,0.0,36.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664936023611,4,[],862559746694205440,883209333364715520,[13],[13],1664953641290,[],Your waiver claim was processed successfully!,10.0,1.0,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664935945544,4,[],862559746694205440,883209005928013824,[13],[13],1664953641290,[],Your waiver claim was processed successfully!,9.0,1.0,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664935765520,4,[],862559746694205440,883208250852663296,[13],[13],1664953641290,[],Your waiver claim was processed successfully!,7.0,1.0,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664905779185,4,[],561715408029736960,883082479047704576,[10],[10],1664953641290,[],Your waiver claim was processed successfully!,3.0,7.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664905652457,4,[],561715408029736960,883081947511992320,[10],[10],1664953641290,[],This player was claimed by another owner.,2.0,11.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1664901864855,4,[],595464158774878208,883066061157752832,[7],[7],1664953641290,[],This player was claimed by another owner.,11.0,0.0,,,,,,,,,,7.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1664897383548,4,[],548317142968336384,883047265194094592,[8],[8],1664953641290,[],Your waiver claim was processed successfully!,4.0,6.0,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
