status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4381,drops_3214,adds_6065,drops_5928,adds_8314,drops_7823,adds_4174,drops_6125,adds_5041,drops_6141,adds_6826,drops_4171,drops,adds_7601,adds_5017,drops_7136,adds_8228,metadata,settings,adds,drops_8289,drops_4985,drops_7536,adds_2378,drops_6845,adds_4224,drops_4091,adds_6291,settings_expires_at,adds_5927,adds_5967,drops_5927,drops_5967,adds_2078,drops_8138,adds_2161,drops_2078,adds_1837,drops_6711,adds_7536,drops_2251,adds_4080,adds_7637,adds_8111,drops_4234,adds_5857,drops_4177,adds_4191,adds_3214,drops_4381,adds_7136,drops_4427,adds_8289,drops_7601,drops_2750,adds_6711,adds_8205,adds_5959,drops_5520,adds_5839,drops_7627,adds_7741,drops_5970
failed,waiver,1665554178518,5,[],862499213718704128,885802062963900416,[11],[11],1665558410035,[],This player was claimed by another owner.,12.0,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665549892801,5,[],561715408029736960,885784087363751936,[10],[10],1665558410035,[],Your waiver claim was processed successfully!,15.0,0.0,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665549798012,5,[],561715408029736960,885783689790074880,[10],[10],1665558410035,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665549523401,5,[],561715408029736960,885782537987932160,[10],[10],1665558410035,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665548189820,5,[],548317142968336384,885776944539566080,[8],[8],1665558410035,[],Your waiver claim was processed successfully!,6.0,4.0,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1665548134404,5,[],548317142968336384,885776712112197632,[8],[8],1665558410035,[],This player was claimed by another owner.,8.0,2.0,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1665536867730,5,[],561747196680642560,885729456256565248,[5],[5],1665558410035,[],This player was claimed by another owner.,5.0,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665536853481,5,[],561747196680642560,885729396491878400,[5],[5],1665558410035,[],Your waiver claim was processed successfully!,0.0,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665536833182,5,[],561747196680642560,885729311351681024,[5],[5],1665558410035,[],Your waiver claim was processed successfully!,11.0,1.0,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665536767370,5,[],561747196680642560,885729035316224000,[5],[5],1665558410035,[],Your waiver claim was processed successfully!,1.0,7.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665536709711,5,[],561747196680642560,885728793476829184,[5],[5],1665536709711,[],,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665536700036,5,[],561747196680642560,885728752896946176,[5],[5],1665536700036,[],,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665525363663,5,[],578293895956312064,885681204702277632,[14],[14],1665558410035,[],Your waiver claim was processed successfully!,7.0,3.0,,,,,,,,,,,14.0,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665502166959,5,[],548317142968336384,885583910674268160,[8],[8],1665558410035,[],Your waiver claim was processed successfully!,2.0,6.0,,,,,,,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665456180997,5,[],558483388996636672,885391031569498112,[3],[3],1665558410035,[],Your waiver claim was processed successfully!,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1665439663798,5,[],578293895956312064,885321753415770112,[14],[14],1665558410035,[],"Unfortunately, your roster will have too many players after this transaction.",10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1665439641781,5,[],578293895956312064,885321661069668352,[14],[14],1665558410035,[],Your waiver claim was processed successfully!,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,trade,1665421659924,5,[],830975786608619520,885246239694831616,"[12, 15]","[12, 15]",1665421945030,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665594459.0,15.0,12.0,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1665411999473,5,[],578293895956312064,885205720826744832,[14],[14],1665558410035,[],This player was claimed by another owner.,4.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665368096570,5,[],558483388996636672,885021578705170432,[3],[3],1665368096570,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665337394582,5,[],558483388996636672,884892805233905664,[3],[3],1665337394582,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665337268757,5,[],558483388996636672,884892277485645824,[3],[3],1665337268757,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665332019507,5,[],453691856656527360,884870260535414784,[15],[15],1665332019507,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665331658107,5,[],578293895956312064,884868744714223616,[14],[14],1665331658107,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665330081124,5,[],595464158774878208,884862130368090112,[7],[7],1665330081124,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1665330034482,5,[],595464158774878208,884861934737055744,[7],[7],1665330034482,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
