status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3242,drops_4036,adds_24,drops_1213,drops,adds_8188,adds_6886,adds_8172,drops_6126,drops_2078,adds_5928,drops_2161,adds_2711,drops_7591,drops_6826,adds_5133,drops_8118,metadata,settings,adds,drops_2214,drops_5137,adds_4224,drops_5959,adds_6824,drops_2353,adds_3303,drops_5133,adds_2214,drops_4054,adds_5170,drops_3262,adds_7551,adds_6141,adds_2588,adds_5816,drops_8205,adds_1213,drops_3664,drops_7637,adds_5071,adds_8150,drops_5816,adds_6711,adds_6124,drops_7006,adds_7006,drops_3303,adds_6911,adds_544,drops_5882,adds_4054,drops_1387,adds_3172,drops_1999,adds_4017,drops_6886,adds_5536,drops_8117,adds_4171,drops_4055,drops_4191,drops_2592,adds_4449,drops_4118,adds_8266,drops_5334,adds_4158,drops_8314,adds_3257,drops_8160
failed,waiver,1666149831093,6,[],861798755085692928,888300410941861888,[9],[9],1666163214806,[],This player was claimed by another owner.,6.0,5.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666145703188,6,[],595464158774878208,888283097253318656,[7],[7],1666163214806,[],This player was claimed by another owner.,14.0,0.0,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666145579493,6,[],451807541647634432,888282578438828032,[1],[1],1666163214806,[],"Unfortunately, your roster will have too many players after this transaction.",4.0,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666145529755,6,[],451807541647634432,888282369822642176,[1],[1],1666163214806,[],Your waiver claim was processed successfully!,2.0,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666139219674,6,[],561715408029736960,888255903424557056,[10],[10],1666163214806,[],Your waiver claim was processed successfully!,3.0,7.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666137266820,6,[],558483388996636672,888247712561156096,[3],[3],1666163214806,[],This player was claimed by another owner.,7.0,4.0,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666137213761,6,[],558483388996636672,888247490015813632,[3],[3],1666163214806,[],Your waiver claim was processed successfully!,8.0,3.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666135516654,6,[],561747196680642560,888240371832971264,[5],[5],1666163214806,[],This player was claimed by another owner.,5.0,6.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666135412415,6,[],561747196680642560,888239934622855168,[5],[5],1666163214806,[],Your waiver claim was processed successfully!,0.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666109357924,6,[],548317142968336384,888130654167089152,[8],[8],1666163214806,[],Your waiver claim was processed successfully!,10.0,1.0,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
