status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_1213,drops_4081,drops,adds_6850,adds_6126,adds_6149,adds_8314,drops_5010,adds_5347,drops_956,adds_4335,drops_5071,adds_7583,adds_5880,drops_8121,adds_5955,drops_6989,adds_6118,drops_5840,settings_priority,drops_7637,adds_7585,drops_7527,metadata,settings,adds,drops_6938,drops_8111,adds_7591,drops_4017,adds_8225,drops_7551,adds_2617,adds_8205,drops_2389,adds_6125,adds_8132,adds_5248,adds_5985,drops_2378,adds_3257,drops_3161,adds_7594,drops_7741,adds_1837,drops_5170,adds_4111,drops_8132,drops_5955,adds_8111,drops_5133,adds_5876,drops_6911,adds_7637,drops_4197,drops_1233,drops_5137,adds_8160,drops_2078,adds_3303,drops_4063,adds_5894,adds_6989,drops_4951,drops_5347,adds_8188,drops_1837,drops_3303,drops_3257,adds_7527,drops_1213
complete,waiver,1666764584139,7,[],548317142968336384,890878872101531648,[8],[8],1666768009165,[],Your waiver claim was processed successfully!,10.0,1.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666764408608,7,[],548317142968336384,890878135871176704,[8],[8],1666768009165,[],Your waiver claim was processed successfully!,9.0,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666764380534,7,[],548317142968336384,890878018120290304,[8],[8],1666768009165,[],This player was claimed by another owner.,5.0,4.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666764323757,7,[],548317142968336384,890877779980333056,[8],[8],1666768009165,[],Your waiver claim was processed successfully!,6.0,2.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666759191123,7,[],862559746694205440,890856252153085952,[13],[13],1666768009165,[],Your waiver claim was processed successfully!,8.0,1.0,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666758248825,7,[],862559746694205440,890852299868684288,[13],[13],1666768009165,[],This player was claimed by another owner.,7.0,1.0,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666746523594,7,[],453691856656527360,890803120685490176,[15],[15],1666768009165,[],Your waiver claim was processed successfully!,4.0,6.0,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666746508498,7,[],453691856656527360,890803057368231936,[15],[15],1666768009165,[],Your waiver claim was processed successfully!,3.0,6.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666744835540,7,[],741144911407095808,890796040473849856,[6],[6],1666768009165,[],"Unfortunately, your roster will have too many players after this transaction.",2.0,10.0,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666744684135,7,[],741144911407095808,890795405435265024,[6],[6],1666768009165,[],Your waiver claim was processed successfully!,1.0,10.0,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666743085735,7,[],862499213718704128,890788701259702272,[11],[11],1666768009165,[],Your waiver claim was processed successfully!,0.0,10.0,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666740608419,7,[],861798755085692928,890778310643257344,[9],[9],1666768009165,[],Your waiver claim was processed successfully!,11.0,0.0,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666720693883,7,[],595464158774878208,890694783025422336,[7],[7],1666768009165,[],Your waiver claim was processed successfully!,15.0,0.0,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666716067882,7,[],595464158774878208,890675380170866688,[7],[7],1666768009165,[],This player was claimed by another owner.,12.0,0.0,,,,,7.0,,,,,,,,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1666715960845,7,[],595464158774878208,890674931225153536,[7],[7],1666768009165,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666715901766,7,[],595464158774878208,890674683429715968,[7],[7],1666715901766,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1666673055912,7,[],578293895956312064,890494974892986368,[14],[14],1666768009165,[],This player was claimed by another owner.,14.0,0.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666573321880,7,[],453691856656527360,890076660043939840,[15],[15],1666573321880,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666540189377,7,[],862881247247052800,889937692254044160,[16],[16],1666540189377,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1666540127099,7,[],862881247247052800,889937431041253376,[16],[16],1666540127099,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
