status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3242,drops_5880,adds_2711,drops_1233,drops,adds_1992,adds_2036,drops_7113,adds_7002,drops_8314,drops_956,drops_3257,drops_8205,adds_6853,drops_1817,drops_6880,adds_4081,drops_6291,adds_7666,drops_5017,adds_4032,adds_7527,drops_5010,adds_2330,drops_6850,drops_6996,metadata,settings,adds,drops_6126,drops_3202,adds_1817,drops_7596,adds_3202,adds_4197,drops_4234,adds_7637,drops_8211,adds_4234,adds_1233,drops_1992,adds_8121,drops_5985,adds_4335,adds_8138,adds_3214,drops_7002,adds_6996,drops_6149,adds_4118,adds_6938,drops_8160,adds_4168,drops_4174,adds_7677,drops_6065,adds_1346,drops_8228,adds_8111,drops_829,adds_829,drops_24,drops_8111,drops_8188,adds_5520,adds_7606,drops_7538,adds_7601,drops_3242,drops_7601,drops_2711,adds_6871,drops_5876,drops_2036,drops_8155,adds_2389,drops_4449,adds_5917,drops_3214,adds_5010,drops_7585,drops_7637,drops_8225
failed,waiver,1667364304734,8,[],862499213718704128,893394282592038912,[11],[11],1667372829323,[],This player was claimed by another owner.,2.0,15.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667363443649,8,[],451807541647634432,893390670939746304,[1],[1],1667372829323,[],Your waiver claim was processed successfully!,8.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667362934657,8,[],453691856656527360,893388536072613888,[15],[15],1667372829323,[],Your waiver claim was processed successfully!,0.0,30.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667361770025,8,[],862559746694205440,893383651252137984,[13],[13],1667372829323,[],Your waiver claim was processed successfully!,15.0,1.0,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667360818684,8,[],862559746694205440,893379661038706688,[13],[13],1667372829323,[],Your waiver claim was processed successfully!,13.0,1.0,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667360649516,8,[],862559746694205440,893378951496544256,[13],[13],1667372829323,[],This player was claimed by another owner.,12.0,1.0,13.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667358047340,8,[],594730254984077312,893368037179551744,[4],[4],1667372829323,[],This player was claimed by another owner.,17.0,0.0,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667357963677,8,[],594730254984077312,893367686271258624,[4],[4],1667372829323,[],This player was claimed by another owner.,3.0,12.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667350070691,8,[],861798755085692928,893334580688629760,[9],[9],1667372829323,[],Your waiver claim was processed successfully!,7.0,7.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667349682413,8,[],861798755085692928,893332952132632576,[9],[9],1667372829323,[],This player was claimed by another owner.,6.0,10.0,,,,,,9.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667349633025,8,[],861798755085692928,893332744984334336,[9],[9],1667372829323,[],Your waiver claim was processed successfully!,1.0,25.0,9.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667343580697,8,[],578293895956312064,893307359680716800,[14],[14],1667372829323,[],Your waiver claim was processed successfully!,9.0,3.0,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667338967025,8,[],561747196680642560,893288008537792512,[5],[5],1667372829323,[],Your waiver claim was processed successfully!,14.0,1.0,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667338917967,8,[],561747196680642560,893287802773811200,[5],[5],1667372829323,[],Your waiver claim was processed successfully!,11.0,2.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667338803836,8,[],561747196680642560,893287324073721856,[5],[5],1667372829323,[],This player was claimed by another owner.,5.0,12.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667329712558,8,[],595464158774878208,893249192490041344,[7],[7],1667372829323,[],Your waiver claim was processed successfully!,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667320483089,8,[],548317142968336384,893210481291345920,[8],[8],1667372829323,[],Your waiver claim was processed successfully!,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667320427256,8,[],548317142968336384,893210247110782976,[8],[8],1667372829323,[],This player was claimed by another owner.,4.0,12.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667309371689,8,[],453691856656527360,893163876701667328,[15],[15],1667309371689,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667183660103,8,[],558483388996636672,892636604093972480,[3],[3],1667372829323,[],This player was claimed by another owner.,10.0,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667168408371,8,[],861798755085692928,892572633693429760,[9],[9],1667168408371,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667146750024,8,[],558483388996636672,892481792002174976,[3],[3],1667146750024,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667146487592,8,[],594730254984077312,892480691282251776,[4],[4],1667146487592,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
