status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7551,adds_3166,drops_7647,adds_5041,adds_5876,drops_4081,adds_6291,adds_4177,drops_3163,adds_7565,drops_4973,metadata,settings,adds,drops_843,drops_1346,drops_8266,adds_5816,drops_2036,adds_5010,drops_7002,adds_2161,drops_3664,adds_6220,drops_4118,drops_6996,adds_6826,drops_7891,drops_7527,drops_3214,adds_5655,drops_6711,adds_7891,drops_5041,adds_8131,adds_8205,drops_7551,adds_6880,drops_8138,adds_2389,drops_8205,adds_5871,drops_2617,adds_2750,adds_4180,drops_6125,drops_6220,drops_1817,adds_5071,drops_7641,adds_2028,drops_3257,adds_4449,drops_2028,adds_3286,drops_2588,adds_5959,drops_5816,drops_7583,adds_7627,drops_6124,adds_4427,drops_6871,adds_3664,drops_956,adds_5348,drops_5839,adds_2427,drops_2389,adds_8323,drops_4224,drops_3166,drops_6938
failed,waiver,1667974255300,9,[],548317142968336384,895952600690958336,[8],,[8],1667981225379,[],"Unfortunately, your roster will have too many players after this transaction.",4.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667948546388,9,[],578293895956312064,895844769698488320,[14],,[14],1667981225379,[],This player was claimed by another owner.,17.0,0.0,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667948475397,9,[],578293895956312064,895844471940517888,[14],,[14],1667981225379,[],Your waiver claim was processed successfully!,9.0,2.0,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667948223572,9,[],578293895956312064,895843415710023680,[14],,[14],1667981225379,[],"Unfortunately, your roster will have too many players after this transaction.",8.0,2.0,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667948207915,9,[],578293895956312064,895843350039851008,[14],,[14],1667981225379,[],Your waiver claim was processed successfully!,7.0,2.0,,,,,,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667936159039,9,[],862559746694205440,895792813390958592,[13],,[13],1667981225379,[],Your waiver claim was processed successfully!,14.0,1.0,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667936101033,9,[],561747196680642560,895792570096078848,[5],,[5],1667981225379,[],This player was claimed by another owner.,5.0,6.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667935882490,9,[],561747196680642560,895791653460271104,[5],,[5],1667935882490,[],,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667935754592,9,[],561747196680642560,895791117017178112,[5],,[5],1667935754592,[],,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667935702611,9,[],862559746694205440,895790898993090560,[13],,[13],1667981225379,[],Your waiver claim was processed successfully!,13.0,1.0,,13.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667935524725,9,[],862559746694205440,895790152885268480,[13],,[13],1667981225379,[],This player was claimed by another owner.,12.0,1.0,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667935472276,9,[],862559746694205440,895789932898156544,[13],,[13],1667981225379,[],Your waiver claim was processed successfully!,11.0,1.0,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667935276262,9,[],862559746694205440,895789110755938304,[13],,[13],1667981225379,[],Your waiver claim was processed successfully!,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667930581968,9,[],548317142968336384,895769421459664896,[8],,[8],1667981225379,[],Your waiver claim was processed successfully!,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667930566810,9,[],548317142968336384,895769357882466304,[8],,[8],1667981225379,[],Your waiver claim was processed successfully!,2.0,10.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667930540076,9,[],548317142968336384,895769245752012800,[8],,[8],1667981225379,[],Your waiver claim was processed successfully!,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667930516590,9,[],548317142968336384,895769147244662784,[8],,[8],1667981225379,[],Your waiver claim was processed successfully!,1.0,14.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667928877372,9,[],561715408029736960,895762271865864192,[10],,[10],1667981225379,[],This player was claimed by another owner.,15.0,0.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667927097450,9,[],595464158774878208,895754806331998208,[7],,[7],1667981225379,[],This player was claimed by another owner.,16.0,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1667840702851,9,[],578293895956312064,895392441119936512,[14],,[14],1667981225379,[],This player was claimed by another owner.,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667749491804,9,[],453691856656527360,895009874256314368,[15],,[15],1667749491804,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667723423150,9,[],548317142968336384,894900534400663552,[8],,[8],1667723423150,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667708042246,9,[],741144911407095808,894836022213492736,[6],,[6],1667708042246,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1667689198191,9,[],453691856656527360,894756984518430720,[15],,[15],1667750218709,[],Your waiver claim was processed successfully!,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667655087999,9,[],741144911407095808,894613916003483648,[6],,[6],1667655087999,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667582606598,9,[],453691856656527360,894309906973343744,[15],,[15],1667582606598,[],,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667580585163,9,[],594730254984077312,894301428460437504,[4],,[4],1667580585163,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667525854581,9,[],862881247247052800,894071871761530880,[16],,[16],1667525854581,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667525771304,9,[],862881247247052800,894071522468282368,[16],,[16],1667525771304,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667518133186,9,[],561747196680642560,894039485883596800,[5],,[5],1667518133186,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667517764182,9,[],558483388996636672,894037938168643584,[3],,[3],1667517764182,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1667517697471,9,[],558483388996636672,894037658362429441,[3],,[3],1667517697471,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
