avatar,display_name,is_bot,is_owner,league_id,settings,user_id,metadata_allow_pn,metadata_archived,metadata_avatar,metadata_mascot_item_type_id_leg_1,metadata_mascot_item_type_id_leg_10,metadata_mascot_item_type_id_leg_11,metadata_mascot_item_type_id_leg_12,metadata_mascot_item_type_id_leg_13,metadata_mascot_item_type_id_leg_14,metadata_mascot_item_type_id_leg_15,metadata_mascot_item_type_id_leg_16,metadata_mascot_item_type_id_leg_17,metadata_mascot_item_type_id_leg_18,metadata_mascot_item_type_id_leg_2,metadata_mascot_item_type_id_leg_3,metadata_mascot_item_type_id_leg_4,metadata_mascot_item_type_id_leg_5,metadata_mascot_item_type_id_leg_6,metadata_mascot_item_type_id_leg_7,metadata_mascot_item_type_id_leg_8,metadata_mascot_item_type_id_leg_9,metadata_mascot_message_emotion_leg_1,metadata_mention_pn,metadata_team_name,metadata_allow_sms,metadata_join_voice_pn,metadata_mascot_message,metadata_player_like_pn,metadata_player_nickname_update,metadata_team_name_update,metadata_trade_block_pn,metadata_transaction_commissioner,metadata_transaction_free_agent,metadata_transaction_trade,metadata_transaction_waiver,metadata_user_message_pn,metadata_mascot_message_emotion_leg_2,metadata_show_mascots
ee3e73b18699571f00c9bdcc21fe8f66,kevo1022,False,True,993378040933564416,,451807541647634432,on,on,https://sleepercdn.com/uploads/55b983309f1c69a08496e7365daa4b57.jpg,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,trash,idle,on,Dementors,,,,,,,,,,,,,,
b704c78e6eb470cb0a43cdc9626638da,chavo317,False,False,993378040933564416,,561715408029736960,on,,https://sleepercdn.com/uploads/93f1939d8f2379ebdad3b5c031fad5da.jpg,,,,,,,,,,,,,,,,,,,,on,& FFB,on,,,,,,,,,,,,,
686132e52d69fd41fa95a30eb480b857,TMISH31,False,False,993378040933564416,,561747196680642560,on,,https://sleepercdn.com/uploads/f37a9e8154f3432d6c5bd46620e2f9ff.jpg,,,,,,,,,,,,,,,,,,,,on,Brock Purdy To Me Baby,,,,,,,,,,,,,,
4d029bf89fb4be9d97e5b2094b5f7cb7,Sadowski44,False,False,993378040933564416,,578293895956312064,on,,https://sleepercdn.com/uploads/1a95ef9e4406aff321a6ffc192c74187.jpg,,,,,,,,,,,,,,,,,,,,on,All for the Rookie,on,,,,,,,,,,,,,
b7a486917eb76fc6b018fdd343fcf4e4,Koko3321,False,False,993378040933564416,,595464158774878208,on,,https://sleepercdn.com/uploads/294bc9b3777cd64af2bf3d155644e3b7.jpg,,,,,,,,,,,,,,,,,,,,on,S-M-R-T,,off,off,on,off,off,off,off,off,off,off,off,,
b3338675f635c2c1f42b469621d38ec6,rwenrich7,False,,993378040933564416,,740751073198948352,on,,https://sleepercdn.com/uploads/cff314a62847ec86ccc55c8c82785c9c,,,,,,,,,,,,,,,,,,,,on,Olave Garden,,,,,,,,,,,,,,
60b73c655497471a136da68767aaedca,beebudda,False,True,993378040933564416,,741144911407095808,on,,https://sleepercdn.com/uploads/60b73c655497471a136da68767aaedca,pizza,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,frog-fu,dancing,on,Trey Lanced,on,on,on,on,on,on,on,on,on,on,on,on,dancing,on
4f4090e5e9c3941414db40a871e3e909,gtjackets13,False,,993378040933564416,,830975786608619520,on,,,,,,,,,,,,,,,,,,,,,,on,,,off,off,off,off,off,off,off,off,off,off,off,,
b319fdf8b7b5b0359d3c78622ba4d70c,BeaverboySeg,False,False,993378040933564416,,861798755085692928,on,,https://sleepercdn.com/uploads/fc7d40ea929c6b9a6fd1f33bfc7a9ac2.jpg,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,doge,idle,on,Senior Seg,on,on,off,on,on,on,on,on,on,on,on,on,,on
f0edbf4278f53f9425db175073df6584,Shon21,False,False,993378040933564416,,862499213718704128,on,,,,,,,,,,,,,,,,,,,,,,on,HonSolo,,,,,,,,,,,,,,
8eb8f8bf999945d523f2c4033f70473e,TylerSeggerman,False,False,993378040933564416,,862559746694205440,on,,https://sleepercdn.com/uploads/9832a14cce52442ed6ea88adb5e0bb2f.jpg,,,,,,,,,,,,,,,,,,,,on,A Huddle Of Losers,,,,,,,,,,,,,,on
f0edbf4278f53f9425db175073df6584,Cmeditz,False,False,993378040933564416,,862881247247052800,on,,,,,,,,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,
