status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8150,drops_8210,drops,adds_4080,adds_9493,metadata,settings,adds,drops_6806,adds_7567,drops_1373,drops_8110,adds_7594,drops_8131,adds_10235,adds_7045,adds_5248,adds_2350,drops_7117,adds_7596,drops_1689,drops_7551,adds_9494,adds_5372,drops_7069,adds_8110,drops_96,adds_8131,drops_7571,adds_4963,drops_6291,adds_8135,adds_4089,drops_2350,adds_6807,drops_5001,adds_1343,drops_9757,adds_5015,drops_7567,adds_7828,adds_3271,drops_5906,adds_7069,drops_4963,adds_7569,drops_8148,adds_3164,drops_7596,adds_6853,drops_4973,adds_6220,drops_4985,adds_6845,drops_9754,adds_8266,drops_9225,adds_2389,drops_8267,adds_5580,drops_7113,drops_6807,adds_8142,drops_8135,adds_7090,drops_9482,adds_7551,drops_8266,adds_3276,drops_3164,adds_2617,drops_3303,adds_1689,drops_6804,adds_5947,drops_8172,adds_7002,drops_9228,adds_2161,drops_10888
complete,waiver,1694586492504,1,[],740751073198948352,1007572413648461824,[12],[12],1694588849060,[],Your waiver claim was processed successfully!,2.0,16.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694584550524,1,[],578293895956312064,1007564268390199296,[2],[2],1694588849060,[],This player was claimed by another owner.,12.0,5.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694584413547,1,[],578293895956312064,1007563693866999808,[2],[2],1694588849060,[],This player was claimed by another owner.,8.0,9.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694584271263,1,[],578293895956312064,1007563097084612608,[2],[2],1694584271263,[],,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694582821733,1,[],740751073198948352,1007557017316806656,[12],[12],1694588849060,[],Your waiver claim was processed successfully!,1.0,16.0,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694576722923,1,[],451807541647634432,1007531437053513728,[1],[1],1694588849060,[],Your waiver claim was processed successfully!,6.0,10.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694575248806,1,[],561747196680642560,1007525254159941632,[5],[5],1694588849060,[],"Unfortunately, your roster will have too many players after this transaction.",13.0,4.0,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694575237752,1,[],561747196680642560,1007525207796985856,[5],[5],1694588849060,[],"Unfortunately, your roster will have too many players after this transaction.",9.0,8.0,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694575226598,1,[],561747196680642560,1007525161012957184,[5],[5],1694588849060,[],"Unfortunately, your roster will have too many players after this transaction.",7.0,10.0,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694575214500,1,[],561747196680642560,1007525110269669376,[5],[5],1694588849060,[],This player was claimed by another owner.,4.0,12.0,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694575200794,1,[],561747196680642560,1007525052783755264,[5],[5],1694588849060,[],Your waiver claim was processed successfully!,3.0,14.0,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694570196244,1,[],862499213718704128,1007504062177800192,[11],[11],1694588849060,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694563276168,1,[],862881247247052800,1007475037273698304,[4],[4],1694588849060,[],Your waiver claim was processed successfully!,5.0,11.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1694551381061,1,[],595464158774878208,1007425145578930176,[7],[7],1694588849060,[],Your waiver claim was processed successfully!,0.0,31.0,,,,,7.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694519446272,1,[],741144911407095808,1007291201368760320,[6],[6],1694588849060,[],This player was claimed by another owner.,11.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1694519425109,1,[],741144911407095808,1007291112605032448,[6],[6],1694588849060,[],This player was claimed by another owner.,10.0,5.0,,,,,6.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694373654559,1,[],740751073198948352,1006679706600706048,[12],[12],1694373654559,[],,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694364762267,1,[],451807541647634432,1006642409624735744,[1],[1],1694364762267,[],,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694364612906,1,[],451807541647634432,1006641783159296000,[1],[1],1694364612906,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694320124397,1,[],561747196680642560,1006455184827965440,[5],[5],1694320124397,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694312995496,1,[],862881247247052800,1006425284049985536,[4],[4],1694312995496,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694300588368,1,[],740751073198948352,1006373244783386624,[12],[12],1694300588368,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694269588620,1,[],741144911407095808,1006243222416351232,[6],[6],1694269588620,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694269312654,1,[],561715408029736960,1006242064931053568,[10],[10],1694269312654,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694269285822,1,[],561715408029736960,1006241952389488640,[10],[10],1694269285822,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694269248844,1,[],561715408029736960,1006241797292515328,[10],[10],1694269248844,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1694125237197,1,[],862881247247052800,1005637768665501696,[4],[4],1694125237197,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693976630528,1,[],578293895956312064,1005014467119222784,[2],[2],1693976630528,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693932764572,1,[],451807541647634432,1004830479964512256,[1],[1],1693932764572,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693778730334,1,[],862881247247052800,1004184413543931904,[4],[4],1693778730334,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693693022668,1,[],595464158774878208,1003824929537597440,[7],[7],1693693022668,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693656512292,1,[],830975786608619520,1003671793921499136,[8],[8],1693656512292,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693511363777,1,[],861798755085692928,1003062996924440576,[9],[9],1693511363777,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693511195621,1,[],861798755085692928,1003062291627057152,[9],[9],1693511195621,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1693502167787,1,[],595464158774878208,1003024426146988032,[7],[7],1693561592330,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693426364057,1,[],740751073198948352,1002706482258845696,[12],[12],1693426364057,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693426087406,1,[],740751073198948352,1002705321896255488,[12],[12],1693426087406,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1693392953162,1,[],741144911407095808,1002566346808299520,[6],[6],1693392953162,[],,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1693392552785,1,[],741144911407095808,1002564667505446912,[6],[6],1693392552785,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,
complete,free_agent,1693392413321,1,[],741144911407095808,1002564082551033856,[6],[6],1693392413321,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
complete,free_agent,1693392299680,1,[],741144911407095808,1002563605906132992,[6],[6],1693392299680,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,
