status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_2617,drops_2389,adds_5334,adds_6056,adds_3233,drops_5015,metadata,settings,drops,adds_5849,adds_7662,adds,drops_7117,adds_8134,drops_6141,adds_9753,drops_11199,adds_4118,drops_8311,adds_4892,drops_2711,adds_4234,drops_7596,adds_6788,drops_5655,adds_957,drops_4999,adds_8323,drops_3233,adds_8343,drops_6120,adds_8111,drops_2617,adds_9511,drops_10235,adds_4179,drops_2251,drops_5916,adds_4427,drops_8286,adds_3225,drops_6949
failed,waiver,1699993500176,10,[],578293895956312064,1030251047551344640,[2],[2],1700035664518,[],"Unfortunately, your roster will have too many players after this transaction.",3.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1699993484799,10,[],578293895956312064,1030250983055536128,[2],[2],1700035664518,[],"Unfortunately, your roster will have too many players after this transaction.",2.0,0.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699993471783,10,[],578293895956312064,1030250928462487552,[2],[2],1700035664518,[],Your waiver claim was processed successfully!,1.0,0.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699977997414,10,[],862559746694205440,1030186024254758912,[3],[3],1700035664518,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699811633200,10,[],740751073198948352,1029488242166562816,[12],[12],1699811633200,[],,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699807351459,10,[],595464158774878208,1029470283243159552,[7],[7],1699807351459,[],,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699793703269,10,[],595464158774878208,1029413038585249792,[7],[7],1699793703269,[],,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699770045945,10,[],451807541647634432,1029313812576419840,[1],[1],1699770045945,[],,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699769912727,10,[],451807541647634432,1029313253819629568,[1],[1],1699769912727,[],,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699762621810,10,[],862881247247052800,1029282673497292800,[4],[4],1699762621810,[],,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699664417823,10,[],862881247247052800,1028870776121802752,[4],[4],1699664417823,[],,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699664192348,10,[],862881247247052800,1028869830411108352,[4],[4],1699664192348,[],,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699548708674,10,[],451807541647634432,1028385456775319552,[1],[1],1699548708674,[],,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
complete,free_agent,1699548689846,10,[],451807541647634432,1028385377804963840,[1],[1],1699548689846,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
complete,free_agent,1699508506671,10,[],862881247247052800,1028216837353328640,[4],[4],1699508506671,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,
complete,free_agent,1699508415986,10,[],862881247247052800,1028216456992870400,[4],[4],1699508415986,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,
complete,free_agent,1699508361597,10,[],862881247247052800,1028216228868870144,[4],[4],1699508361597,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,
complete,free_agent,1699456376730,10,[],740751073198948352,1027998188529078272,[12],[12],1699456376730,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
complete,free_agent,1699456261653,10,[],740751073198948352,1027997705865351168,[12],[12],1699456261653,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
complete,free_agent,1699453273137,10,[],561715408029736960,1027985171120738304,[10],[10],1699453273137,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,
complete,free_agent,1699449968346,10,[],595464158774878208,1027971309822627840,[7],[7],1699449968346,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
complete,free_agent,1699446323203,10,[],741144911407095808,1027956020984762368,[6],[6],1699446323203,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,
complete,free_agent,1699445928572,10,[],741144911407095808,1027954365782380544,[6],[6],1699445928572,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
