status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6828,settings_priority,adds_7562,drops_8339,adds_10222,metadata,settings,adds,drops_4892,adds_8111,adds_2197,drops_3199,adds_7601,adds_8119,adds_7811,drops_4990,drops_7662,adds_5916,drops_7811,drops_1373,drops_6783,drops_8119,adds_4032,drops_957,adds_1476,drops_7651,adds_2617,drops_8111,adds_9481,drops_2028,adds_8230,drops_4017,adds_8311,drops_1192,adds_4967,drops_4135,adds_2251,adds_8339,drops_7066,drops_4144,adds_2036,drops_5912
complete,waiver,1700628808222,11,[],740751073198948352,1032915722629963776,[12],,[12],1700640449821,[],Your waiver claim was processed successfully!,2.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1700568871298,11,[],741144911407095808,1032664328949915648,[6],,[6],1700640449821,[],"Unfortunately, your roster will have too many players after this transaction.",1.0,1.0,,2.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1700568847600,11,[],741144911407095808,1032664229553221632,[6],,[6],1700640449821,[],Your waiver claim was processed successfully!,0.0,1.0,,0.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700424838869,11,[],862881247247052800,1032060213156880384,[4],,[4],1700424838869,[],,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700415496471,11,[],561747196680642560,1032021028299579392,[5],,[5],1700415496471,[],,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700415457023,11,[],561747196680642560,1032020862842675200,[5],,[5],1700415457023,[],,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700415373582,11,[],561747196680642560,1032020512865755136,[5],,[5],1700415373582,[],,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700411943626,11,[],740751073198948352,1032006126587584512,[12],,[12],1700411943626,[],,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700411761892,11,[],740751073198948352,1032005364339941376,[12],,[12],1700411761892,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700405037698,11,[],595464158774878208,1031977161026002944,[7],,[7],1700405037698,[],,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700404752617,11,[],595464158774878208,1031975965309624320,[7],,[7],1700404752617,[],,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700186808707,11,[],861798755085692928,1031061842296283136,[9],,[9],1700186808707,[],,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700182838377,11,[],561747196680642560,1031045189525282816,[5],,[5],1700182838377,[],,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700181462786,11,[],740751073198948352,1031039419878449152,[12],,[12],1700181462786,[],,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700181438978,11,[],740751073198948352,1031039320020459520,[12],,[12],1700181438978,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1700179486427,11,[],451807541647634432,1031031130427990016,[1],,[1],1700179486427,[],,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1700104940199,11,[],862881247247052800,1030718460885557248,[4],,[4],1700104940199,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,
complete,free_agent,1700104742467,11,[],862881247247052800,1030717631537438720,[4],,[4],1700104742467,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,
complete,free_agent,1700064551827,11,[],862499213718704128,1030549059775324160,[11],,[11],1700064551827,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,
complete,free_agent,1700064511072,11,[],862499213718704128,1030548888836464640,[11],,[11],1700064511072,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,
complete,free_agent,1700063313372,11,[],741144911407095808,1030543865318563840,[6],,[6],1700063313372,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,
complete,free_agent,1700063265225,11,[],741144911407095808,1030543663375409152,[6],,[6],1700063265225,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,
complete,free_agent,1700062941028,11,[],741144911407095808,1030542303594635264,[6],,[6],1700062941028,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
complete,free_agent,1700062841997,11,[],741144911407095808,1030541888228515840,[6],,[6],1700062841997,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
complete,free_agent,1700062775503,11,[],741144911407095808,1030541609332465664,[6],,[6],1700062775503,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
complete,free_agent,1700062744823,11,[],741144911407095808,1030541480651218944,[6],,[6],1700062744823,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
complete,free_agent,1700057068266,11,[],561715408029736960,1030517671441293312,[10],,[10],1700057068266,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
