status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5334,metadata,settings,adds,drops_5916,adds_6945,drops_7044,drops_8676,adds_5580,drops_6485,adds_3172,drops_1234,adds_6217,drops_5580,adds_7672,drops_7113,adds_8676,drops_8119,adds_4180,adds_6804,adds_7113,drops_7601
complete,waiver,1701192901998,12,[],861798755085692928,1035281703410970624,[9],,[9],1701245290804,[],Your waiver claim was processed successfully!,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701192748435,12,[],861798755085692928,1035281059321044992,[9],,[9],1701192748435,[],,,,,,,,9.0,,,,,,,,,,,,,,,,,
complete,waiver,1701187885169,12,[],862559746694205440,1035260661305110528,[3],,[3],1701245290804,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,3.0,3.0,,,,,,,,,,,,,,,
complete,free_agent,1701020916375,12,[],740751073198948352,1034560343424598016,[12],,[12],1701020916375,[],,,,,,,,,,,12.0,,,,,,,,,,,,,,
complete,free_agent,1700980057867,12,[],862499213718704128,1034388970420912128,[11],,[11],1700980057867,[],,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,
complete,free_agent,1700926890086,12,[],862499213718704128,1034165968584392704,[11],,[11],1700926890086,[],,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,
complete,free_agent,1700759375068,12,[],740751073198948352,1033463359674482688,[12],,[12],1700759375068,[],,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,
complete,free_agent,1700759291808,12,[],740751073198948352,1033463010456731648,[12],,[12],1700759291808,[],,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,
complete,free_agent,1700759173188,12,[],740751073198948352,1033462512928391168,[12],,[12],1700759173188,[],,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,
complete,free_agent,1700753843493,12,[],595464158774878208,1033440158567333888,[7],,[7],1700753843493,[],,,,,,,,,,,,,,,,,,,,,,7.0,,,
complete,free_agent,1700751387348,12,[],862499213718704128,1033429856748388352,[11],,[11],1700751387348,[],,,,,,,,,,,,,,,,,,,,,,,11.0,,
complete,free_agent,1700665137434,12,[],740751073198948352,1033068098389106688,[12],,[12],1700665137434,[],,,,,,,,,,,,,,,,,,,,,,,,12.0,
complete,free_agent,1700664969920,12,[],740751073198948352,1033067395784466432,[12],,[12],1700664969920,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0
