status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7594,adds_8131,drops_7002,adds_1373,drops_4171,metadata,settings,adds_6485,drops_6217,adds_7002,adds_10880,drops_7647,adds_7634,drops_7594,adds_843,adds_4381,drops_9508,adds_1234,drops_5894,adds_5580,drops_4118,adds_6811,drops_8134,adds_8406,drops_6788,adds_6120,drops_4032,adds_2350,drops_6151,adds_3369,drops_5580,adds_4223,drops_1343,adds_4892,drops_9999,adds_7117,adds,drops_6958,drops_7816,adds_4963,drops_8323,adds_8129,drops_1476,adds_6949,drops_6807,adds_6888,drops_7715,drops_8129,adds_4147,drops_4381
complete,waiver,1701840925920,13,[],740751073198948352,1037999712739258368,,[12],[12],1701850062621,[],Your waiver claim was processed successfully!,1.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1701840892585,13,[],740751073198948352,1037999572922003456,,[12],[12],1701850062621,[],Your waiver claim was processed successfully!,2.0,5.0,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1701808097557,13,[],578293895956312064,1037862020604989440,,[2],[2],1701850062621,[],Your waiver claim was processed successfully!,0.0,8.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701625761500,13,[],740751073198948352,1037097247751766016,,[12],[12],1701625761500,[],,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701625665726,13,[],740751073198948352,1037096846046494720,,[12],[12],1701625665726,[],,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701623551887,13,[],830975786608619520,1037087979963121664,,[8],[8],1701623551887,[],,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701618545592,13,[],561747196680642560,1037066982039830528,,[5],[5],1701618545592,[],,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701618503870,13,[],561747196680642560,1037066807045079040,,[5],[5],1701618503870,[],,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701615278843,13,[],595464158774878208,1037053280301432832,,[7],[7],1701615278843,[],,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701615254390,13,[],595464158774878208,1037053177738117120,,[7],[7],1701615254390,[],,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1701557062588,13,[],862881247247052800,1036809103630344192,,[4],[4],1701560289945,[],Your waiver claim was processed successfully!,0.0,14.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1701391982603,13,[],451807541647634432,1036116707988967424,,[1],[1],1701391982603,[],,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
