status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7816,drops_4963,adds_5912,drops_6214,adds_5372,drops_8406,adds_7342,drops_6120,adds_3164,drops_4089,adds_7662,drops_10927,drops_6945,metadata,settings,drops,adds_6820,adds_9487,adds_6111,drops_6828,adds_8323,drops_4081,adds_8329,drops_6485,adds_1343,drops_843,adds,drops_7634,adds_4089,drops_6811,drops_5001,adds_10927,drops_4223
complete,waiver,1702448185345,14,[],862881247247052800,1040546743374450688,[4],[4],1702454882936,[],Your waiver claim was processed successfully!,3.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1702444270960,14,[],451807541647634432,1040530325253853184,[1],[1],1702454882936,[],Your waiver claim was processed successfully!,6.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1702444254220,14,[],451807541647634432,1040530255041241088,[1],[1],1702454882936,[],Your waiver claim was processed successfully!,5.0,0.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1702444236560,14,[],451807541647634432,1040530180969725952,[1],[1],1702454882936,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1702444208276,14,[],451807541647634432,1040530062338109440,[1],[1],1702454882936,[],Your waiver claim was processed successfully!,0.0,55.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1702442943107,14,[],862499213718704128,1040524755834675200,[11],[11],1702454882936,[],Your waiver claim was processed successfully!,2.0,0.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1702402483198,14,[],862559746694205440,1040355054672474112,[3],[3],1702454882936,[],This player was claimed by another owner.,1.0,8.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1702229886357,14,[],740751073198948352,1039631131055984640,[12],[12],1702229886357,[],,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,
complete,free_agent,1702058635690,14,[],861798755085692928,1038912853698236416,[9],[9],1702058635690,[],,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
complete,free_agent,1701984956537,14,[],740751073198948352,1038603820932091904,[12],[12],1701984956537,[],,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,
complete,free_agent,1701984728776,14,[],740751073198948352,1038602865633218560,[12],[12],1701984728776,[],,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,
complete,free_agent,1701984662836,14,[],740751073198948352,1038602589060812800,[12],[12],1701984662836,[],,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,
complete,free_agent,1701920900309,14,[],561747196680642560,1038335149638766592,[5],[5],1701920900309,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,
complete,free_agent,1701920270756,14,[],561747196680642560,1038332509102100480,[5],[5],1701920270756,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
complete,free_agent,1701879553992,14,[],451807541647634432,1038161730615984128,[1],[1],1701879553992,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
complete,free_agent,1701879439178,14,[],740751073198948352,1038161249051164672,[12],[12],1701879439178,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,
complete,free_agent,1701854301001,14,[],862499213718704128,1038055811894820864,[11],[11],1701854301001,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0
