status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5001,drops_1343,adds_5017,drops_7662,metadata,settings,adds_96,drops_2251,adds,drops_9753,adds_6963,drops_5056,drops_9487,adds_6901,drops_5372,drops,adds_843,adds_8139,drops_3225,adds_11086,drops_5912,adds_6807,drops_6119,adds_6120,drops_8343,adds_8159,adds_2078,drops_1373,adds_7648,drops_9501
complete,waiver,1703046214518,15,[],561747196680642560,1043055059526844416,[5],[5],1703059688276,[],Your waiver claim was processed successfully!,0.0,15.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1703027580357,15,[],862499213718704128,1042976902190886912,[11],[11],1703059688276,[],Your waiver claim was processed successfully!,1.0,0.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1702835607014,15,[],741144911407095808,1042171707630522368,[6],[6],1702835607014,[],,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1702831009484,15,[],451807541647634432,1042152424192053248,[1],[1],1702831009484,[],,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1702827587958,15,[],861798755085692928,1042138073271717888,[9],[9],1702827587958,[],,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1702827566554,15,[],861798755085692928,1042137983496835072,[9],[9],1702827566554,[],,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
complete,free_agent,1702700504345,15,[],451807541647634432,1041605045965377536,[1],[1],1702700504345,[],,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
complete,free_agent,1702685624880,15,[],595464158774878208,1041542636965810176,[7],[7],1702685624880,[],,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
complete,free_agent,1702600822430,15,[],741144911407095808,1041186949710712832,[6],[6],1702600822430,[],,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,
complete,free_agent,1702572680286,15,[],451807541647634432,1041068913003417600,[1],[1],1702572680286,[],,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
complete,free_agent,1702571223144,15,[],578293895956312064,1041062801306898432,[2],[2],1702571223144,[],,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
complete,waiver,1702540313593,15,[],862881247247052800,1040933157253591040,[4],[4],1702625249156,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,
complete,free_agent,1702487508741,15,[],741144911407095808,1040711677655162880,[6],[6],1702487508741,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
complete,free_agent,1702487418894,15,[],578293895956312064,1040711300805906432,[2],[2],1702487418894,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
complete,free_agent,1702487325083,15,[],578293895956312064,1040710907334053888,[2],[2],1702487325083,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
