status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_3172,drops_3973,adds_8143,drops_6945,drops,adds_7562,adds_1339,drops_6826,adds_6804,drops_7002,adds_8135,drops_4040,adds_9502,adds_4171,adds_10222,adds_1373,drops_8142,adds_4455,drops_7551,drops_2197,drops_6809,drops_10229,drops_4988,metadata,settings,adds_5655,adds_9508,adds_6056,drops_2350,adds_7045,drops_2161,adds_5726,drops_4990,adds_10235,adds,drops_7828,adds_4454,drops_7606,drops_8135,drops_9494,adds_5995,adds_3214,drops_4089
complete,waiver,1695184926338,2,[],451807541647634432,1010082427068321792,[1],[1],1695193660999,[],Your waiver claim was processed successfully!,18.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695184820874,2,[],451807541647634432,1010081984720281600,[1],[1],1695193660999,[],This player was claimed by another owner.,3.0,41.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695180193574,2,[],740751073198948352,1010062576417431552,[12],[12],1695193660999,[],Your waiver claim was processed successfully!,8.0,6.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695180145827,2,[],740751073198948352,1010062376152023040,[12],[12],1695193660999,[],This player was claimed by another owner.,2.0,41.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695179086512,2,[],862499213718704128,1010057933062852608,[11],[11],1695193660999,[],Your waiver claim was processed successfully!,17.0,1.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695179004931,2,[],862499213718704128,1010057590887337984,[11],[11],1695193660999,[],This player was claimed by another owner.,16.0,1.0,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695169368261,2,[],561747196680642560,1010017171766550528,[5],[5],1695193660999,[],"Unfortunately, your roster will have too many players after this transaction.",13.0,4.0,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695169359423,2,[],561747196680642560,1010017134696587264,[5],[5],1695193660999,[],"Unfortunately, your roster will have too many players after this transaction.",11.0,5.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695169351506,2,[],561747196680642560,1010017101489934336,[5],[5],1695193660999,[],This player was claimed by another owner.,9.0,6.0,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695169326443,2,[],561747196680642560,1010016996366323712,[5],[5],1695193660999,[],Your waiver claim was processed successfully!,7.0,7.0,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695169180078,2,[],561747196680642560,1010016382470324224,[5],[5],1695193660999,[],Your waiver claim was processed successfully!,14.0,3.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695169098178,2,[],741144911407095808,1010016038956171264,[6],[6],1695193660999,[],This player was claimed by another owner.,12.0,5.0,,,,,,,,,,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695169079362,2,[],741144911407095808,1010015960037036032,[6],[6],1695193660999,[],Your waiver claim was processed successfully!,10.0,5.0,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695169035854,2,[],741144911407095808,1010015777550221312,[6],[6],1695193660999,[],This player was claimed by another owner.,19.0,0.0,,,,,,,,,,,,,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695168976320,2,[],741144911407095808,1010015527844020224,[6],[6],1695193660999,[],This player was claimed by another owner.,5.0,10.0,,,6.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
