status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6888,drops_8339,adds_7816,drops_8314,adds_1689,drops_9488,drops_4068,adds_2161,adds_7670,metadata,settings,drops,adds_7562,adds_421,adds_6065,adds_10235,adds_9757,adds_6984,adds_6799,drops_7553,adds_7523,drops_7562,adds_7117,drops_6781,adds,drops_3164,adds_4381,drops_2078,adds_3973,adds_7113,drops_8355,drops_10235,drops_2389,drops_421,adds_7666,drops_8323,adds_9502,drops_7090,adds_4098,drops_7523,adds_1234,drops_7002,drops_4988
complete,waiver,1695785639904,3,[],561747196680642560,1012602002381156352,[5],[5],1695798467541,[],Your waiver claim was processed successfully!,0.0,2.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695773743037,3,[],862559746694205440,1012552103304245248,[3],[3],1695798467541,[],Your waiver claim was processed successfully!,2.0,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695773448025,3,[],862559746694205440,1012550865934282752,[3],[3],1695798467541,[],Your waiver claim was processed successfully!,1.0,1.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695742365211,3,[],861798755085692928,1012420495163207680,[9],[9],1695798467541,[],This player was claimed by another owner.,6.0,0.0,,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695661577095,3,[],861798755085692928,1012081645245067264,[9],[9],1695798467541,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,0.0,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1695661539727,3,[],861798755085692928,1012081488514564096,[9],[9],1695798467541,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695661517021,3,[],861798755085692928,1012081393276461056,[9],[9],1695798467541,[],This player was claimed by another owner.,3.0,0.0,,,,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695572690671,3,[],740751073198948352,1011708828561420288,[12],[12],1695572690671,[],,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695572655458,3,[],740751073198948352,1011708680867393536,[12],[12],1695572655458,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695571746663,3,[],451807541647634432,1011704869104889856,[1],[1],1695571746663,[],,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695502852051,3,[],561747196680642560,1011415904158048256,[5],[5],1695502852051,[],,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695446890428,3,[],578293895956312064,1011181184098852864,[2],[2],1695446890428,[],,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695426933051,3,[],595464158774878208,1011097476792672256,[7],[7],1695426933051,[],,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695414784798,3,[],862559746694205440,1011046523326525440,[3],[3],1695414784798,[],,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1695332185076,3,[],740751073198948352,1010700074982178816,[12],[12],1695395261807,[],"Unfortunately, your roster will have too many players after this transaction.",0.0,25.0,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695332067902,3,[],595464158774878208,1010699583518760960,[7],[7],1695332067902,[],,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695324538948,3,[],595464158774878208,1010668004796882944,[7],[7],1695324538948,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
complete,free_agent,1695291352840,3,[],830975786608619520,1010528812171354112,[8],[8],1695291352840,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,
complete,waiver,1695274987860,3,[],740751073198948352,1010460172470292480,[12],[12],1695363460312,[],Your waiver claim was processed successfully!,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,12.0,,,,,,,,,,,,,,
complete,free_agent,1695273834106,3,[],740751073198948352,1010455333275262976,[12],[12],1695273834106,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,
complete,free_agent,1695273621204,3,[],740751073198948352,1010454440299552768,[12],[12],1695273621204,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
complete,free_agent,1695273540812,3,[],740751073198948352,1010454103111065600,[12],[12],1695273540812,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
complete,waiver,1695270270637,3,[],451807541647634432,1010440387003031552,[1],[1],1695395261807,[],Your waiver claim was processed successfully!,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
complete,free_agent,1695270251615,3,[],451807541647634432,1010440307218931712,[1],[1],1695270251615,[],,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1695225977392,3,[],741144911407095808,1010254607668305920,[6],[6],1695225977392,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,
complete,free_agent,1695225860607,3,[],741144911407095808,1010254117836513280,[6],[6],1695225860607,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,
complete,free_agent,1695225726665,3,[],741144911407095808,1010253556043046912,[6],[6],1695225726665,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,
complete,free_agent,1695214644732,3,[],862499213718704128,1010207075047137280,[11],[11],1695214644732,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,
complete,free_agent,1695201663201,3,[],578293895956312064,1010152626559737856,[2],[2],1695201663201,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
