status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_421,drops_7567,adds_8280,drops_5816,adds_6826,drops_7600,adds_8311,drops_3303,adds_3558,adds_5841,adds_4118,drops_6119,metadata,settings,drops,adds_4455,adds_3256,drops_3156,adds_7633,drops_3172,adds_4089,drops_4033,adds_2350,drops_5334,adds_8110,drops_6853,adds_8314,drops_4971,adds_8148,drops_2028,adds_7562,adds_7647,adds,drops_7562,drops_421,adds_4990,drops_3256,drops_4063,drops_6984,drops_6065,drops_5870,adds_2389,drops_3276,adds_3303,drops_4455,adds_7553,drops_1339,adds_9758,drops_6828
complete,waiver,1696402376303,4,[],740751073198948352,1015188782326378496,[12],[12],1696403268326,[],Your waiver claim was processed successfully!,5.0,0.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696350931517,4,[],862559746694205440,1014973007254712320,[3],[3],1696403268326,[],Your waiver claim was processed successfully!,2.0,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696350746981,4,[],862559746694205440,1014972233254604800,[3],[3],1696403268326,[],Your waiver claim was processed successfully!,1.0,1.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1696335917881,4,[],741144911407095808,1014910035501154304,[6],[6],1696403268326,[],"Unfortunately, your roster will have too many players after this transaction.",7.0,0.0,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1696335811785,4,[],741144911407095808,1014909590502232064,[6],[6],1696403268326,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,0.0,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696335765235,4,[],741144911407095808,1014909395257425920,[6],[6],1696403268326,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1696328794133,4,[],830975786608619520,1014880156336451584,[8],[8],1696403268326,[],Your waiver claim was processed successfully!,3.0,0.0,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696188180343,4,[],595464158774878208,1014290379354636288,[7],[7],1696188180343,[],,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696175208804,4,[],595464158774878208,1014235972776722432,[7],[7],1696175208804,[],,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696173573211,4,[],451807541647634432,1014229112602460160,[1],[1],1696173573211,[],,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696152351263,4,[],861798755085692928,1014140101300928512,[9],[9],1696152351263,[],,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1696111595684,4,[],862881247247052800,1013969160012914688,[4],[4],1696111595684,[],,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
