status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_421,drops_2197,adds_8408,drops_9753,adds_4223,drops_7889,adds_9488,drops_10232,adds_6119,drops_8314,adds_8162,drops_6056,drops,adds_4082,drops_7816,metadata,settings,adds_6065,drops_4111,adds_7113,adds_7594,adds_6947,drops_4381,adds_3973,drops_421,adds_10235,drops_10229,adds,drops_7045,adds_5056,drops_6220,adds_3172,drops_7672,adds_6888,drops_5372,drops_7715,drops_957,adds_5001,adds_4180,adds_5284,drops_7113,adds_4111,drops_9758,adds_7066,drops_6118,adds_11199,drops_4098
failed,waiver,1697598943205,6,[],861798755085692928,1020207547669737472,[9],[9],1697612866774,[],This player was claimed by another owner.,1.0,18.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697598881956,6,[],861798755085692928,1020207290772774912,[9],[9],1697612866774,[],Your waiver claim was processed successfully!,2.0,15.0,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697595224242,6,[],862499213718704128,1020191949208272896,[11],[11],1697612866774,[],Your waiver claim was processed successfully!,7.0,0.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697595060979,6,[],578293895956312064,1020191264433643520,[2],[2],1697612866774,[],Your waiver claim was processed successfully!,4.0,8.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697594991275,6,[],578293895956312064,1020190972073922560,[2],[2],1697612866774,[],Your waiver claim was processed successfully!,3.0,14.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697594940158,6,[],862499213718704128,1020190757673627648,[11],[11],1697612866774,[],Your waiver claim was processed successfully!,6.0,0.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697575662332,6,[],862881247247052800,1020109900610928640,[4],[4],1697612866774,[],Your waiver claim was processed successfully!,0.0,25.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1697557222223,6,[],862559746694205440,1020032557188100096,[3],[3],1697612866774,[],Your waiver claim was processed successfully!,5.0,1.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697388982060,6,[],862499213718704128,1019326906799456256,[11],[11],1697388982060,[],,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697356198413,6,[],740751073198948352,1019189402217562112,[12],[12],1697356198413,[],,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
