status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_5015,drops_8280,adds_6056,drops_6065,adds_9758,drops_8162,adds_4381,drops_8408,metadata,settings,adds_4892,drops_6938,adds,drops_11439,adds_8126,drops_2251,adds_7765,drops_5841,adds_10229,drops_8290,drops,adds_5046,adds_4454,drops_8168,adds_5916,drops_4455,adds_6220,drops_4149,adds_5726,drops_5928,adds_5928,drops_8119,adds_5840,drops_5015,drops_7594,adds_4111,drops_5001,adds_7600,drops_1339,adds_4144,drops_11199,adds_4098,drops_3214,adds_9222,drops_10892,drops_4180,adds_2133,adds_6768,drops_2133,drops_6768
complete,waiver,1698215785731,7,[],862559746694205440,1022794772743933952,[3],[3],1698217693450,[],Your waiver claim was processed successfully!,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698177919516,7,[],862499213718704128,1022635950326951936,[11],[11],1698217693450,[],Your waiver claim was processed successfully!,3.0,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698177775111,7,[],862499213718704128,1022635344648482816,[11],[11],1698217693450,[],Your waiver claim was processed successfully!,0.0,5.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698141845196,7,[],861798755085692928,1022484643662143488,[9],[9],1698217693450,[],Your waiver claim was processed successfully!,1.0,2.0,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697993282116,7,[],740751073198948352,1021861524941537280,[12],[12],1697993282116,[],,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697992740108,7,[],561747196680642560,1021859251595214848,[5],[5],1697992740108,[],,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697991926838,7,[],451807541647634432,1021855840493600768,[1],[1],1697991926838,[],,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697977697828,7,[],741144911407095808,1021796159699894272,[6],[6],1697977697828,[],,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697975208608,7,[],830975786608619520,1021785719154491392,[8],[8],1697975208608,[],,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697975174099,7,[],830975786608619520,1021785574413254656,[8],[8],1697975174099,[],,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697951846764,7,[],862881247247052800,1021687732478754816,[4],[4],1697951846764,[],,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697897994531,7,[],595464158774878208,1021461859842473984,[7],[7],1697897994531,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697897228892,7,[],561747196680642560,1021458648515559424,[5],[5],1697897228892,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697897165241,7,[],561747196680642560,1021458381548109824,[5],[5],1697897165241,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697758762695,7,[],451807541647634432,1020877879195967488,[1],[1],1697758762695,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1697758731512,7,[],451807541647634432,1020877748404985856,[1],[1],1697758731512,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1697757712394,7,[],561715408029736960,1020873473914281984,[10],[10],1697757712394,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,
complete,free_agent,1697757694946,7,[],561747196680642560,1020873400727871488,[5],[5],1697757694946,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
complete,free_agent,1697729286409,7,[],862881247247052800,1020754246691545088,[4],[4],1697729286409,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,
complete,free_agent,1697693248349,7,[],861798755085692928,1020603092112334848,[9],[9],1697693248349,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,
complete,free_agent,1697663562824,7,[],741144911407095808,1020478581996085248,[6],[6],1697663562824,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,
complete,free_agent,1697663482829,7,[],741144911407095808,1020478246472736768,[6],[6],1697663482829,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,
complete,free_agent,1697663202017,7,[],578293895956312064,1020477068661841920,[2],[2],1697663202017,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,
complete,free_agent,1697651960144,7,[],862881247247052800,1020429916828950528,[4],[4],1697651960144,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
complete,trade,1697649323900,7,[],861798755085692928,1020418859620237312,"[3, 9]","[3, 9]",1697650014690,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,9.0,3.0
