status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7594,adds_8130,drops_6945,adds_5870,drops_8126,adds_9231,adds_9999,adds_8314,adds_6220,drops_6056,adds_6804,drops_9758,adds_2028,metadata,settings,adds,drops_7765,drops_9502,adds_3276,drops_4118,drops_3163,drops_1166,adds_8162,drops_4943,adds_7816,drops_6947,adds_8286,drops_7666,drops_4892,adds_4943,drops_5284,drops_6220,adds_11199,drops_7648,adds_4999,drops_3172,adds_7715,drops_1343,adds_5912,drops_5840,adds_10867,drops_6804
complete,waiver,1698810119332,8,[],561747196680642560,1025287588543893504,[5],,[5],1698822475075,[],Your waiver claim was processed successfully!,2.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698810016387,8,[],451807541647634432,1025287156761223168,[1],,[1],1698822475075,[],Your waiver claim was processed successfully!,0.0,25.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698809934153,8,[],451807541647634432,1025286811846864896,[1],,[1],1698822475075,[],Your waiver claim was processed successfully!,12.0,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1698809581878,8,[],861798755085692928,1025285334298476544,[9],,[9],1698822475075,[],"Unfortunately, your roster will have too many players after this transaction.",9.0,1.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1698809568830,8,[],861798755085692928,1025285279571132416,[9],,[9],1698822475075,[],This player was claimed by another owner.,4.0,5.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698808843890,8,[],861798755085692928,1025282238952460288,[9],,[9],1698822475075,[],Your waiver claim was processed successfully!,7.0,2.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698774942682,8,[],862499213718704128,1025140046980038656,[11],,[11],1698822475075,[],Your waiver claim was processed successfully!,8.0,2.0,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1698774796475,8,[],862499213718704128,1025139433743429632,[11],,[11],1698822475075,[],"Unfortunately, your roster will have too many players after this transaction.",10.0,1.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698774788844,8,[],862499213718704128,1025139401736761344,[11],,[11],1698822475075,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1698752322020,8,[],741144911407095808,1025045169046900736,[6],,[6],1698752322020,[],,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1698752266646,8,[],741144911407095808,1025044936791511040,[6],,[6],1698752266646,[],,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698748003143,8,[],830975786608619520,1025027054363906048,[8],,[8],1698822475075,[],Your waiver claim was processed successfully!,6.0,3.0,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698747927814,8,[],830975786608619520,1025026738411171840,[8],,[8],1698822475075,[],Your waiver claim was processed successfully!,1.0,12.0,,,,,,,8.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1698641978770,8,[],578293895956312064,1024582355912691712,[2],,[2],1698822475075,[],This player was claimed by another owner.,3.0,8.0,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1698621358039,8,[],578293895956312064,1024495866298204160,[2],,[2],1698822475075,[],Your waiver claim was processed successfully!,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1698606497254,8,[],561747196680642560,1024433535647715328,[5],,[5],1698606497254,[],,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1698584385878,8,[],830975786608619520,1024340793810571264,[8],,[8],1698584385878,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,
complete,free_agent,1698543601815,8,[],741144911407095808,1024169733056188416,[6],,[6],1698543601815,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
complete,free_agent,1698365096226,8,[],740751073198948352,1023421026350370816,[12],,[12],1698365096226,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
complete,free_agent,1698362773388,8,[],561747196680642560,1023411283661656064,[5],,[5],1698362773388,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
complete,free_agent,1698362738736,8,[],561747196680642560,1023411138320633856,[5],,[5],1698362738736,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
complete,free_agent,1698362707883,8,[],561747196680642560,1023411008913772544,[5],,[5],1698362707883,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
complete,free_agent,1698360247992,8,[],451807541647634432,1023400691383111680,[1],,[1],1698360247992,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
complete,free_agent,1698360163453,8,[],451807541647634432,1023400336800845824,[1],,[1],1698360163453,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
complete,free_agent,1698360113306,8,[],451807541647634432,1023400126469083136,[1],,[1],1698360113306,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
complete,free_agent,1698351410762,8,[],561715408029736960,1023363625353826304,[10],,[10],1698351410762,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,
complete,free_agent,1698351243994,8,[],561715408029736960,1023362925878136832,[10],,[10],1698351243994,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,
complete,free_agent,1698218375379,8,[],741144911407095808,1022805634514763776,[6],,[6],1698218375379,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
