status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8119,drops_8339,adds_5001,drops_7113,drops,adds_6485,adds_4033,drops_3271,adds_3163,drops_8148,drops_4082,metadata,settings,adds_9502,adds_5894,adds_1192,drops_10867,adds_7647,drops_5046,adds_6958,drops_4968,adds_6130,drops_2197,adds_7651,drops_5318,adds_2711,drops_5185,adds_4063,drops_5334,adds_2251,drops_4029,adds_6141,adds_5655,drops_6888,adds_9758,drops_5870,adds_3233,drops_4963,adds_5318,adds_9501,drops_6130,drops_9222,adds_1343,drops_4223,adds_4135,drops_4063,adds_6949
complete,waiver,1699418873733,9,[],740751073198948352,1027840889562972160,[12],[12],1699430889518,[],Your waiver claim was processed successfully!,1.0,13.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699418845361,9,[],740751073198948352,1027840770562265088,[12],[12],1699430889518,[],Your waiver claim was processed successfully!,0.0,14.0,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699408337211,9,[],862499213718704128,1027796696186630144,[11],[11],1699430889518,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699396972389,9,[],578293895956312064,1027749028668350464,[2],[2],1699430889518,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1699396933124,9,[],578293895956312064,1027748863978987520,[2],[2],1699430889518,[],This player was claimed by another owner.,3.0,4.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1699376798943,9,[],862559746694205440,1027664415103029248,[3],[3],1699430889518,[],Your waiver claim was processed successfully!,2.0,8.0,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699204689195,9,[],740751073198948352,1026942534498615296,[12],[12],1699204689195,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699202884515,9,[],595464158774878208,1026934965122072576,[7],[7],1699202884515,[],,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699188393824,9,[],741144911407095808,1026874186758848512,[6],[6],1699188393824,[],,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699188270038,9,[],830975786608619520,1026873667562733568,[8],[8],1699188270038,[],,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699188211198,9,[],830975786608619520,1026873420769886208,[8],[8],1699188211198,[],,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699164417085,9,[],861798755085692928,1026773621026406400,[9],[9],1699164417085,[],,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699164075843,9,[],862881247247052800,1026772189753720832,[4],[4],1699164075843,[],,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699163998481,9,[],862881247247052800,1026771865273974784,[4],[4],1699163998481,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1699047151434,9,[],595464158774878208,1026281773237354496,[7],[7],1699047151434,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1699031601935,9,[],561715408029736960,1026216553911521280,[10],[10],1699031601935,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,
complete,free_agent,1698967348967,9,[],451807541647634432,1025947057430970368,[1],[1],1698967348967,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
complete,free_agent,1698967292406,9,[],451807541647634432,1025946820196941824,[1],[1],1698967292406,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
complete,waiver,1698967231921,9,[],451807541647634432,1025946566504665088,[1],[1],1698991680198,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
complete,free_agent,1698959365853,9,[],862881247247052800,1025913573823832064,[4],[4],1698959365853,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,
complete,free_agent,1698959256237,9,[],862881247247052800,1025913114061004801,[4],[4],1698959256237,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
complete,free_agent,1698952858099,9,[],578293895956312064,1025886278325198848,[2],[2],1698952858099,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,
complete,free_agent,1698952794215,9,[],578293895956312064,1025886010376282112,[2],[2],1698952794215,[],,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,
complete,free_agent,1698871991386,9,[],862499213718704128,1025547098747396096,[11],[11],1698871991386,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,
complete,free_agent,1698863830844,9,[],741144911407095808,1025512870953443328,[6],[6],1698863830844,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,
complete,free_agent,1698863644543,9,[],741144911407095808,1025512089550413824,[6],[6],1698863644543,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
complete,free_agent,1698863557668,9,[],741144911407095808,1025511725170253824,[6],[6],1698863557668,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
