birth_date,practice_description,team,team_abbr,oddsjam_id,age,injury_notes,search_rank,search_full_name,swish_id,active,practice_participation,espn_id,competitions,fantasy_data_id,number,birth_country,status,years_exp,high_school,hashtag,first_name,yahoo_id,fantasy_positions,gsis_id,stats_id,rotowire_id,team_changed_at,injury_body_part,college,search_last_name,depth_chart_order,weight,birth_city,news_updated,full_name,depth_chart_position,rotoworld_id,search_first_name,sport,position,player_id,pandascore_id,birth_state,height,opta_id,sportradar_id,last_name,injury_start_date,injury_status,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
1995-02-12,,,,,26.0,,9999999.0,ellisrichardson,,True,,3926590.0,[],21427.0,45.0,,Active,3.0,Douglas County,#ellisrichardson-NFL-FA-45,Ellis,32262.0,['TE'], 00-0035057,887183.0,14134.0,,,Georgia Southern,richardson,,245,,,Ellis Richardson,,,ellis,nfl,TE,6462,,,75,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,Richardson,,,1116853254748110848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9999999.0,nickamoah,1052592.0,True,,,[],,0.0,,Active,0.0,Davis (CA),#nickamoah-NFL-FA-0,Nick,,['OL'],,,,,,UC Davis,amoah,,306,,,Nick Amoah,,,nick,nfl,OL,11255,,,74,,55510c00-ead2-11ed-999e-03b49558b5db,Amoah,,,1116852669114220544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9999999.0,malkelmmorrison,1131137.0,True,,,[],,0.0,,Injured Reserve,1.0,Iona Prep (NY),#malkelmmorrison-NFL-FA-0,Malkelm,,['DB'],,,16558.0,,,Army,morrison,,186,,1653351613345.0,Malkelm Morrison,,,malkelm,nfl,CB,8842,,,70,,3c804b10-d3a8-11ec-96a0-c3471a31202c,Morrison,,,1116853537213513728,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-02-06,,,,,24.0,,426.0,carltucker,866047.0,True,,,[],,0.0,,Active,1.0,Hough (NC),#carltucker-NFL-FA-0,Carl,,['TE'],,,15412.0,,,Alabama,tucker,,250,,1631568053348.0,Carl Tucker,,,carl,nfl,TE,7926,,,74,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,Tucker,,,1116853436709601280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-19,,,,97CDFFA7FA4D,32.0,,216.0,cjmosley,557173.0,True,,16720.0,[],16093.0,57.0,,Active,11.0,Theodore (AL),#cjmosley-NFL-FA-57,C.J.,27545.0,['LB'],00-0031296,,9380.0,,Neck,Alabama,mosley,,231,,1750349738286.0,C.J. Mosley,,9631.0,cj,nfl,LB,1875,,,74,,bf5f7564-349a-439a-a8a9-4ddb10448a8d,Mosley,,Questionable,1113708745461886977,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-07,,IND,,0823DA35726D,25.0,,9999999.0,samuelwomack,1085180.0,True,,,[],,33.0,,Active,3.0,East English Village Prep (MI),#samuelwomack-NFL-IND-33,Samuel,,['DB'],,,16274.0,,,Toledo,womack,2.0,189,,1737226242174.0,Samuel Womack,NB,,samuel,nfl,CB,8478,,,71,,75c1ed8d-4f05-43c1-b398-f212984b6b8b,Womack,,,1113708876978483201,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-17,,,,,34.0,,9999999.0,ronparker,,False,,14297.0,[],13476.0,0.0,,Injured Reserve,11.0,Beaufort (SC),#ronparker-NFL-FA-0,Ron,25090.0,['DB'],00-0028445,512802.0,7817.0,,,Newberry,parker,,206,,1578330037366.0,Ron Parker,,6811.0,ron,nfl,FS,995,,,72,,e9a0297a-0b34-4c55-af1f-ca113d672195,Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-18,,TB,,,29.0,,235.0,leveonbell,543654.0,True,,15825.0,[],14967.0,6.0,,Active,9.0,Groveport Madison (OH),#leveonbell-NFL-TB-6,Le'Veon,26671.0,['RB'],00-0030496,543654.0,8617.0,,,Michigan State,bell,,225,,1707165960874.0,Le'Veon Bell,,8390.0,leveon,nfl,RB,1408,,,73,,7735c02a-ee75-447c-86e6-6c2168500050,Bell,,,1116852736248250368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-02,,,,,24.0,,,mattseybert,,True,,,[],,41.0,,Active,1.0,St. Francis (MI),#mattseybert-NFL-FA-41,Matt,,['TE'],,,15785.0,,,Michigan State,seybert,,252,,1629836727949.0,Matt Seybert,,,matt,nfl,TE,8074,,,76,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,Seybert,,,1116853462399713280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-01,,,,,35.0,,9999999.0,williamgay,,False,,10613.0,[],4122.0,25.0,,Inactive,13.0,James R. Rickards (FL),#williamgay-NFL-FA-25,William,8424.0,['DB'],00-0025557,229499.0,6211.0,,,Louisville,gay,,187,,1534088707204.0,William Gay,,4319.0,william,nfl,CB,156,,,"5'10""",,a2907a39-139b-483f-8369-e278c26a6951,Gay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
