status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4144,drops_3233,adds_10891,drops_9508,adds_8333,drops_11052,adds_6783,drops_8143,adds_5871,drops_2749,adds_5071,drops_7648,adds_4943,drops_7523,metadata,settings,adds,drops_4943,adds_4118,drops_7136,adds_7672,adds_3286,drops_11620,drops,adds_9225,adds_10898,drops_5847,adds_4234,adds_6218,drops_8267,adds_5580,drops_7562,adds_4449,drops_8266,adds_9754,drops_9225,drops_5937,drops_8364,adds_6131,drops_7672,adds_4381,adds_8330,adds_8311,drops_6130,drops_6315,drops_10891,adds_6911,drops_8408,settings_expires_at,adds_1426,adds_6797,adds_6806,adds_6904,drops_1426,drops_6797,drops_6806,drops_6904,drops_1479,adds_7136,drops_6826
complete,waiver,1731481919649,10,[],578293895956312064,1162323051300880384,[2],[2],1731485086085,[],Your waiver claim was processed successfully!,7.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731474474672,10,[],861798755085692928,1162291824803844096,[9],[9],1731485086085,[],Your waiver claim was processed successfully!,1.0,5.0,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731452454529,10,[],862499213718704128,1162199465630130176,[11],[11],1731485086085,[],Your waiver claim was processed successfully!,3.0,1.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731440979065,10,[],1130644355074629632,1162151334045655040,[5],[5],1731485086085,[],Your waiver claim was processed successfully!,0.0,6.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731432877960,10,[],578293895956312064,1162117355548463104,[2],[2],1731485086085,[],Your waiver claim was processed successfully!,5.0,0.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731430819489,10,[],862559746694205440,1162108721695350784,[3],[3],1731485086085,[],Your waiver claim was processed successfully!,2.0,3.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731430537822,10,[],862559746694205440,1162107540298252288,[3],[3],1731597294835,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731427525981,10,[],741144911407095808,1162094907721363456,[6],[6],1731427525981,[],,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1731390935052,10,[],594730254984077312,1161941434241785856,[4],[4],1731485086085,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,0.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1731390923306,10,[],594730254984077312,1161941384975405056,[4],[4],1731485086085,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731288074510,10,[],861798755085692928,1161510005858889728,[9],[9],1731288074510,[],,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731260588123,10,[],740751073198948352,1161394719595950080,[12],[12],1731260588123,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731256296727,10,[],1130644355074629632,1161376720176541696,[5],[5],1731256296727,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731189040790,10,[],561715408029736960,1161094628330811392,[10],[10],1731189040790,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731187356324,10,[],862499213718704128,1161087563168329728,[11],[11],1731187356324,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731069405330,10,[],1045522732957417472,1160592840842395648,[1],[1],1731069405330,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731066716264,10,[],830975786608619520,1160581562082115584,[8],[8],1731066716264,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731041983216,10,[],861798755085692928,1160477824160104448,[9],[9],1731041983216,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731027847400,10,[],740751073198948352,1160418534250512384,[12],[12],1731027847400,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731027839728,10,[],740751073198948352,1160418502071812096,[12],[12],1731027839728,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731025988142,10,[],830975786608619520,1160410735957245952,[8],[8],1731025988142,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731025618974,10,[],595464158774878208,1160409187554426880,[7],[7],1731025618974,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730919134477,10,[],561715408029736960,1159962559202582528,[10],[10],1730919134477,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1730919127129,10,[],561715408029736960,1159962528382836736,[10],[10],1730919127129,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
complete,free_agent,1730919106614,10,[],561715408029736960,1159962442336690176,[10],[10],1730919106614,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
complete,free_agent,1730918966889,10,[],561715408029736960,1159961856287563776,[10],[10],1730918966889,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,
complete,free_agent,1730918959714,10,[],561715408029736960,1159961826193432576,[10],[10],1730918959714,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,
complete,free_agent,1730898774398,10,[],741144911407095808,1159877162841780224,[6],[6],1730898774398,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,
complete,trade,1730894240813,10,[],594730254984077312,1159858147608293376,"[4, 10]","[4, 10]",1730918943728,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1731067040.0,10.0,10.0,10.0,4.0,4.0,4.0,4.0,10.0,,,
