status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4967,drops_4118,adds_9229,drops_7841,adds_3233,drops_8333,adds_8167,drops_11579,metadata,settings,adds,drops_6214,adds_5348,drops_5071,adds_7627,drops_2036,adds_6872,drops_7553,adds_6485,drops_2350,adds_5010,drops_8147,adds_6768,drops_1166,drops_6888,drops_9225,adds_10935,drops_5348,adds_8266,drops_6131,drops,adds_4118,adds_11579,drops_8121,adds_8147,drops_5882
complete,waiver,1732083351104,11,[],594730254984077312,1164845637658095616,[4],[4],1732089894784,[],Your waiver claim was processed successfully!,2.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732076035955,11,[],862499213718704128,1164814955699552256,[11],[11],1732089894784,[],Your waiver claim was processed successfully!,1.0,2.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732046148789,11,[],862499213718704128,1164689599839678464,[11],[11],1732089894784,[],Your waiver claim was processed successfully!,4.0,0.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732036401035,11,[],578293895956312064,1164648714796003328,[2],[2],1732089894784,[],Your waiver claim was processed successfully!,3.0,0.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732034336620,11,[],1130644355074629632,1164640056011771904,[5],[5],1732034336620,[],,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732034241691,11,[],862559746694205440,1164639657850822656,[3],[3],1732089894784,[],Your waiver claim was processed successfully!,0.0,3.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731865834923,11,[],740751073198948352,1163933308670185472,[12],[12],1731865834923,[],,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1731865781393,11,[],740751073198948352,1163933084149092352,[12],[12],1731865781393,[],,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1731865607338,11,[],740751073198948352,1163932354109509632,[12],[12],1731865607338,[],,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,
complete,free_agent,1731713666171,11,[],861798755085692928,1163295066664849408,[9],[9],1731713666171,[],,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,
complete,free_agent,1731702835719,11,[],1045522732957417472,1163249640456704000,[1],[1],1731702835719,[],,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
complete,free_agent,1731632732651,11,[],740751073198948352,1162955606878326784,[12],[12],1731632732651,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,
complete,free_agent,1731632708158,11,[],740751073198948352,1162955504147238912,[12],[12],1731632708158,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
complete,free_agent,1731629978850,11,[],561715408029736960,1162944056599777280,[10],[10],1731629978850,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,
complete,free_agent,1731624554791,11,[],830975786608619520,1162921306447265792,[8],[8],1731624554791,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,
complete,free_agent,1731541329926,11,[],594730254984077312,1162572236063092736,[4],[4],1731541329926,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
complete,free_agent,1731485680094,11,[],578293895956312064,1162338823750135808,[2],[2],1731485680094,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
complete,free_agent,1731485485873,11,[],861798755085692928,1162338009128218624,[9],[9],1731485485873,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
