status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_5086,drops_8167,adds_11834,adds_5248,drops_11626,adds_7828,adds_4274,adds_1689,adds_1479,metadata,settings,adds,drops_5871,adds_10892,drops_7627,drops,adds_6888,adds_7921,drops_3303,drops_11560,adds_7648,adds_8280,adds_10914,drops_5894,adds_4976,drops_4967,adds_10871,drops_6880,adds_2036,drops_10892,adds_6131,drops_4449,adds_3558,drops_7543,adds_8121,drops_10236,adds_421,drops_11637,adds_6141,drops_8311
failed,waiver,1732690545379,12,[],578293895956312064,1167392395034730496,[2],[2],1732694702675,[],"Unfortunately, your roster will have too many players after this transaction.",4.0,4.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732690494481,12,[],578293895956312064,1167392181552918528,[2],[2],1732694702675,[],Your waiver claim was processed successfully!,1.0,1.0,0.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1732685378047,12,[],578293895956312064,1167370721673269248,[2],[2],1732694702675,[],Your waiver claim was processed successfully!,0.0,0.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1732685328028,12,[],578293895956312064,1167370511878545408,[2],[2],1732694702675,[],"Unfortunately, your roster will have too many players after this transaction.",3.0,3.0,0.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1732685191961,12,[],578293895956312064,1167369941172191232,[2],[2],1732694702675,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,5.0,0.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1732685012315,12,[],578293895956312064,1167369187682066432,[2],[2],1732694702675,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,6.0,0.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1732684847351,12,[],578293895956312064,1167368495772995584,[2],[2],1732694702675,[],"Unfortunately, your roster will have too many players after this transaction.",2.0,2.0,0.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732683464333,12,[],578293895956312064,1167362694974918656,[2],[2],1732683464333,[],,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732470824737,12,[],740751073198948352,1166470819867000832,[12],[12],1732470824737,[],,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732465278712,12,[],595464158774878208,1166447558152159233,[7],[7],1732465278712,[],,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732465264376,12,[],595464158774878208,1166447498022617088,[7],[7],1732465264376,[],,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732465241929,12,[],595464158774878208,1166447403873075200,[7],[7],1732465241929,[],,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732465216091,12,[],595464158774878208,1166447295500648448,[7],[7],1732465216091,[],,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732465167370,12,[],595464158774878208,1166447091149963264,[7],[7],1732465167370,[],,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1732462414042,12,[],1130644355074629632,1166435542855172096,[5],[5],1732462414042,[],,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1732461273886,12,[],741144911407095808,1166430760694300672,[6],[6],1732461273886,[],,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,
complete,free_agent,1732326365937,12,[],594730254984077312,1165864915744182272,[4],[4],1732326365937,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,
complete,free_agent,1732309900695,12,[],594730254984077312,1165795855513796608,[4],[4],1732309900695,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,
complete,free_agent,1732234763485,12,[],830975786608619520,1165480707213496320,[8],[8],1732234763485,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,
