status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_11651,drops_6872,adds_1339,drops_9500,adds_2350,drops_6218,metadata,settings,adds,drops_6911,drops,adds_8311,drops_10880,adds_4999,drops_4663,drops_10935,adds_10236,adds_1479,drops_9502,adds_11674,drops_8339,adds_1052,drops_2393,adds_2306,drops_3286,drops_4037,drops_4381,drops_6845,adds_5995,adds_5894,drops_6880,adds_8228,adds_6217,drops_6485,adds_6880,drops_6949,adds_5086,drops_11638,drops_1052
failed,waiver,1733296096620,13,[],740751073198948352,1169932261026951168,[12],[12],1733299459921,[],This player was claimed by another owner.,1.0,47.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733261518600,13,[],862499213718704128,1169787230299389952,[11],[11],1733299459921,[],Your waiver claim was processed successfully!,3.0,25.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733261266406,13,[],862499213718704128,1169786172521086976,[11],[11],1733299459921,[],Your waiver claim was processed successfully!,9.0,2.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733260074474,13,[],741144911407095808,1169781173195747328,[6],[6],1733260074474,[],,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1733260029294,13,[],741144911407095808,1169780983697141760,[6],[6],1733299459921,[],This player was claimed by another owner.,2.0,40.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1733241704115,13,[],862559746694205440,1169704122325696512,[3],[3],1733299459921,[],This player was claimed by another owner.,8.0,3.0,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733241620359,13,[],862559746694205440,1169703771027521536,[3],[3],1733299459921,[],Your waiver claim was processed successfully!,7.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1733241377542,13,[],862559746694205440,1169702752579203072,[3],[3],1733299459921,[],This player was claimed by another owner.,6.0,3.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1733231996326,13,[],561715408029736960,1169663404907462656,[10],[10],1733299459921,[],This player was claimed by another owner.,13.0,0.0,,,,,,,,,,,,10.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733231968547,13,[],561715408029736960,1169663288393891840,[10],[10],1733299459921,[],Your waiver claim was processed successfully!,11.0,0.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
